"","X","plot","id","species","height_cm","date","month","community"
"1",648,2461,3,"SAAP",40.7,2023-09-22,9,"1"
"2",649,2461,4,"ARCA",45.1,2023-09-22,9,"1"
"3",650,2461,5,"SAAP",83.3,2023-09-22,9,"1"
"4",651,2461,6,"ENCA",62.9,2023-09-22,9,"1"
"5",652,2461,7,"ARCA",73,2023-09-22,9,"1"
"6",653,2461,8,"SALE",90.1,2023-09-22,9,"1"
"7",654,2461,9,"ARCA",92.8,2023-09-22,9,"1"
"8",655,2461,10,"ARCA",147.8,2023-09-22,9,"1"
"9",656,2461,11,"SAAP",49.6,2023-09-22,9,"1"
"10",657,2461,12,"SAME",71.5,2023-09-22,9,"1"
"11",658,2461,13,"ARCA",116.5,2023-09-22,9,"1"
"12",659,2461,14,"ARCA",102,2023-09-22,9,"1"
"13",660,2461,15,"SAAP",54.5,2023-09-22,9,"1"
"14",661,2461,16,"ARCA",103.5,2023-09-22,9,"1"
"15",662,2461,17,"ARCA",148.8,2023-09-22,9,"1"
"16",663,2461,18,"ENCA",56,2023-09-22,9,"1"
"17",664,2461,19,"ARCA",95.8,2023-09-22,9,"1"
"18",665,2461,21,"SAAP",98.2,2023-09-22,9,"1"
"19",666,2461,22,"SALE",81.6,2023-09-22,9,"1"
"20",667,2461,23,"SAAP",44.6,2023-09-22,9,"1"
"21",668,2461,24,"SALE",79.2,2023-09-22,9,"1"
"22",669,2461,25,"SAME",53.7,2023-09-22,9,"1"
"23",670,2461,26,"ENCA",56.7,2023-09-22,9,"1"
"24",671,2461,27,"ARCA",81.9,2023-09-22,9,"1"
"25",672,2461,28,"SALE",83,2023-09-22,9,"1"
"26",673,2461,29,"ENCA",58.7,2023-09-22,9,"1"
"27",674,2461,NA,"ENCA",63.8,2023-09-22,9,"1"
"28",675,2460,1,"ARCA",69.5,2023-09-22,9,"2"
"29",676,2460,2,"SALE",88.7,2023-09-22,9,"2"
"30",677,2460,3,"SAAP",51.1,2023-09-22,9,"2"
"31",678,2460,4,"ENCA",72.5,2023-09-22,9,"2"
"32",679,2460,5,"SAAP",29.4,2023-09-22,9,"2"
"33",680,2460,6,"ARCA",65.4,2023-09-22,9,"2"
"34",681,2460,7,"ENCA",69.5,2023-09-22,9,"2"
"35",682,2460,8,"SAAP",34.6,2023-09-22,9,"2"
"36",683,2460,9,"SAAP",62.3,2023-09-22,9,"2"
"37",684,2460,10,"SALE",67.7,2023-09-22,9,"2"
"38",685,2460,11,"RHOV",17,2023-09-22,9,"2"
"39",686,2460,12,"SAME",84.5,2023-09-22,9,"2"
"40",687,2460,13,"SAAP",39.9,2023-09-22,9,"2"
"41",688,2460,14,"SALE",92.1,2023-09-22,9,"2"
"42",689,2460,15,"ENCA",79.4,2023-09-22,9,"2"
"43",690,2460,16,"ARCA",66.3,2023-09-22,9,"2"
"44",691,2460,17,"SAME",81.2,2023-09-22,9,"2"
"45",692,2460,18,"ENCA",82.2,2023-09-22,9,"2"
"46",693,2460,19,"SALE",64.1,2023-09-22,9,"2"
"47",694,2460,20,"RHOV",37.2,2023-09-22,9,"2"
"48",695,2460,21,"ARCA",71.5,2023-09-22,9,"2"
"49",696,2460,22,"SAME",93,2023-09-22,9,"2"
"50",697,2460,23,"ARCA",97.9,2023-09-22,9,"2"
"51",698,2460,24,"ENCA",101,2023-09-22,9,"2"
"52",699,2460,25,"ARCA",89.5,2023-09-22,9,"2"
"53",700,2460,26,"SALE",65.3,2023-09-22,9,"2"
"54",701,2460,27,"SAAP",59.1,2023-09-22,9,"2"
"55",702,2460,28,"ARCA",54.3,2023-09-22,9,"2"
"56",703,2460,29,"MALA",120.5,2023-09-22,9,"2"
"57",704,2460,30,"SALE",70.5,2023-09-22,9,"2"
"58",705,2460,31,"ENCA",50.3,2023-09-22,9,"2"
"59",706,2460,32,"ENCA",89.6,2023-09-22,9,"2"
"60",707,2460,33,"ARCA",67.4,2023-09-22,9,"2"
"61",708,2460,34,"ERFA",85.5,2023-09-22,9,"2"
"62",709,2460,35,"SAME",123.2,2023-09-22,9,"2"
"63",710,2460,36,"ENCA",60.1,2023-09-22,9,"2"
"64",711,2460,37,"SALE",126.5,2023-09-22,9,"2"
"65",712,2460,38,"SAME",109.6,2023-09-22,9,"2"
"66",713,2460,39,"ARCA",122,2023-09-22,9,"2"
"67",714,2460,40,"ERFA",35.7,2023-09-22,9,"2"
"68",715,2460,41,"SAAP",31,2023-09-22,9,"2"
"69",716,2460,42,"ERFA",60.6,2023-09-22,9,"2"
"70",717,2460,43,"ARCA",53.5,2023-09-22,9,"2"
"71",718,2460,44,"SAAP",59.5,2023-09-22,9,"2"
"72",719,2460,45,"SALE",104.2,2023-09-22,9,"2"
"73",720,2460,46,"ENCA",106,2023-09-22,9,"2"
"74",721,2460,47,"SAAP",20.9,2023-09-22,9,"2"
"75",722,2403,2,"ARCA",59.1,2023-09-22,9,"1"
