"","species","sla","ldmc","leaf_thickness","petiole_length","leaf_lamina_length","leaf_width","leaf_c_n","leaf_n_area","leaf_c_area","wood_density","wue"
"1","adfa",4152.481732,0.494633274,0.000486865,0,0.7,0.115,35.28418884,3.270586461,0.117308635,0.75305,-27.17363648
"2","arca",10913.7117,0.396701031,0.000230975,0,5.5,0.075,19.9541152,2.52145698,0.034530504,0.6857,-27.23881359
"3","cecu",5581.835768,0.428191489,0.000418393,0.232,1.8,1.05,31.7948352,3.61307019,0.086440093,0.682014286,-27.69980392
"4","ceol",12373.41135,0.399155227,0.000202474,0.557,2.05,1.5,19.94307944,2.416662968,0.037464292,0.612916667,-28.18983077
"5","enca",13994.10562,0.212381771,0.000336463,1.121,4.5,4.5,16.16746741,1.705298509,0.027570358,0.6378,-30.80158177
"6","erfa",9100.448596,0.353423337,0.000310915,0.364,1.05,0.225,24.31757276,2.964782353,0.046890453,0.626456556,-28.34922126
"7","hear",4534.604111,0.535868311,0.000411531,1.363,7.5,1.95,38.35876636,2.602146006,0.113977397,0.62,-26.81063172
"8","mala",4469.907123,0.483520337,0.000462686,2.5,6.5,3.25,57.55456233,2.083309954,0.117403939,0.4768,-30.56134198
"9","rhil",5288.984089,0.489382239,0.000386349,0.46,3,2.34,30.6178625,3.015552449,0.089910452,0.631333333,-27.43189843
"10","rhov",3223.005864,0.51813153,0.000598824,1.178,5.5,5.5,50.35284596,3.23035248,0.151883472,0.524866667,-25.81511881
"11","saap",7359.017573,0.324641078,0.000418578,1.142,6,1.81,24.45168254,2.894991712,0.069981562,0.407830343,-28.3138355
"12","sale",10355.77971,0.342948718,0.000281571,0.704,5,1.61,25.25889876,1.752232066,0.041782899,0.5031,-29.36757328
"13","same",9039.658456,0.374418605,0.000295454,0.947,4.75,1.19,31.30777368,2.17213135,0.052233274,0.555316049,-28.18714057
