"","plot","species","date","number_alive","community","number_planted","percent_alive","month"
"1",2458,"mala",2022-04-29,6,"chaparral_only",12,0.5,"Apr"
"2",2458,"ceol",2022-04-29,11,"chaparral_only",13,0.846153846153846,"Apr"
"3",2458,"rhil",2022-04-29,11,"chaparral_only",12,0.916666666666667,"Apr"
"4",2458,"adfa",2022-04-29,4,"chaparral_only",13,0.307692307692308,"Apr"
"5",2458,"cecu",2022-04-29,0,"chaparral_only",5,0,"Apr"
"6",2458,"rhov",2022-04-29,13,"chaparral_only",13,1,"Apr"
"7",2458,"hear",2022-04-29,13,"chaparral_only",13,1,"Apr"
"8",2401,"hear",2022-04-20,5,"sage_obligate_seeder/resprouter",7,0.714285714285714,"Apr"
"9",2401,"saap",2022-04-20,9,"sage_obligate_seeder/resprouter",10,0.9,"Apr"
"10",2401,"rhil",2022-04-20,5,"sage_obligate_seeder/resprouter",7,0.714285714285714,"Apr"
"11",2401,"arca",2022-04-20,7,"sage_obligate_seeder/resprouter",10,0.7,"Apr"
"12",2401,"ceol",2022-04-20,5,"sage_obligate_seeder/resprouter",7,0.714285714285714,"Apr"
"13",2401,"same",2022-04-20,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Apr"
"14",2401,"sale",2022-04-20,9,"sage_obligate_seeder/resprouter",10,0.9,"Apr"
"15",2401,"erfa",2022-04-20,2,"sage_obligate_seeder/resprouter",7,0.285714285714286,"Apr"
"16",2401,"cecu",2022-04-20,4,"sage_obligate_seeder/resprouter",5,0.8,"Apr"
"17",2401,"enca",2022-04-20,8,"sage_obligate_seeder/resprouter",10,0.8,"Apr"
"18",2462,"saap",2022-04-20,10,"sage_facultative_resprouter",10,1,"Apr"
"19",2462,"rhov",2022-04-20,10,"sage_facultative_resprouter",10,1,"Apr"
"20",2462,"adfa",2022-04-20,2,"sage_facultative_resprouter",9,0.222222222222222,"Apr"
"21",2462,"arca",2022-04-20,7,"sage_facultative_resprouter",10,0.7,"Apr"
"22",2462,"same",2022-04-20,7,"sage_facultative_resprouter",7,1,"Apr"
"23",2462,"sale",2022-04-20,9,"sage_facultative_resprouter",10,0.9,"Apr"
"24",2462,"mala",2022-04-20,3,"sage_facultative_resprouter",8,0.375,"Apr"
"25",2462,"enca",2022-04-20,9,"sage_facultative_resprouter",10,0.9,"Apr"
"26",2462,"erfa",2022-04-20,3,"sage_facultative_resprouter",7,0.428571428571429,"Apr"
"27",14,"adfa",2022-04-29,5,"sage_facultative_resprouter",9,0.555555555555556,"Apr"
"28",14,"arca",2022-04-29,10,"sage_facultative_resprouter",10,1,"Apr"
"29",14,"mala",2022-04-29,6,"sage_facultative_resprouter",8,0.75,"Apr"
"30",14,"saap",2022-04-29,10,"sage_facultative_resprouter",10,1,"Apr"
"31",14,"sale",2022-04-29,10,"sage_facultative_resprouter",10,1,"Apr"
"32",14,"rhov",2022-04-29,9,"sage_facultative_resprouter",9,1,"Apr"
"33",14,"same",2022-04-29,7,"sage_facultative_resprouter",7,1,"Apr"
"34",14,"enca",2022-04-29,10,"sage_facultative_resprouter",10,1,"Apr"
"35",14,"erfa",2022-04-29,4,"sage_facultative_resprouter",7,0.571428571428571,"Apr"
"36",15,"mala",2022-04-29,8,"chaparral_only",12,0.666666666666667,"Apr"
"37",15,"adfa",2022-04-29,2,"chaparral_only",13,0.153846153846154,"Apr"
"38",15,"rhov",2022-04-29,13,"chaparral_only",13,1,"Apr"
"39",15,"ceol",2022-04-29,13,"chaparral_only",13,1,"Apr"
"40",15,"hear",2022-04-29,9,"chaparral_only",12,0.75,"Apr"
"41",15,"cecu",2022-04-29,5,"chaparral_only",5,1,"Apr"
"42",15,"rhil",2022-04-29,9,"chaparral_only",12,0.75,"Apr"
"43",2404,"mala",2022-04-29,5,"sage_facultative_resprouter",8,0.625,"Apr"
"44",2404,"sale",2022-04-29,12,"sage_facultative_resprouter",12,1,"Apr"
"45",2404,"adfa",2022-04-29,6,"sage_facultative_resprouter",9,0.666666666666667,"Apr"
"46",2404,"erfa",2022-04-29,7,"sage_facultative_resprouter",7,1,"Apr"
"47",2404,"arca",2022-04-29,8,"sage_facultative_resprouter",10,0.8,"Apr"
"48",2404,"saap",2022-04-29,10,"sage_facultative_resprouter",10,1,"Apr"
"49",2404,"same",2022-04-29,6,"sage_facultative_resprouter",7,0.857142857142857,"Apr"
