1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000006D9DC141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Tue Apr 04 13:38:01 PDT 2023
Mission Sample Count:  1392
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Apr 04 13:38:01 PDT 2023
Total Mission Samples:  1392
Total Device Samples:  25098
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 1:38:01 PM,%RH,38.151
4/4/23, 2:38:01 PM,%RH,50.364
4/4/23, 3:38:01 PM,%RH,59.022
4/4/23, 4:38:01 PM,%RH,57.803
4/4/23, 5:38:01 PM,%RH,63.243
4/4/23, 6:38:01 PM,%RH,77.166
4/4/23, 7:38:01 PM,%RH,87.586
4/4/23, 8:38:01 PM,%RH,96.459
4/4/23, 9:38:01 PM,%RH,92.857
4/4/23, 10:38:01 PM,%RH,84.896
4/4/23, 11:38:01 PM,%RH,72.044
4/5/23, 12:38:01 AM,%RH,62.044
4/5/23, 1:38:01 AM,%RH,64.435
4/5/23, 2:38:01 AM,%RH,81.067
4/5/23, 3:38:01 AM,%RH,73.193
4/5/23, 4:38:01 AM,%RH,73.193
4/5/23, 5:38:01 AM,%RH,85.437
4/5/23, 6:38:01 AM,%RH,83.809
4/5/23, 7:38:01 AM,%RH,71.468
4/5/23, 8:38:01 AM,%RH,55.347
4/5/23, 9:38:01 AM,%RH,48.471
4/5/23, 10:38:01 AM,%RH,43.358
4/5/23, 11:38:01 AM,%RH,41.416
4/5/23, 12:38:01 PM,%RH,41.416
4/5/23, 1:38:01 PM,%RH,42.065
4/5/23, 2:38:01 PM,%RH,36.835
4/5/23, 3:38:01 PM,%RH,38.807
4/5/23, 4:38:01 PM,%RH,34.849
4/5/23, 5:38:01 PM,%RH,35.512
4/5/23, 6:38:01 PM,%RH,67.978
4/5/23, 7:38:01 PM,%RH,68.563
4/5/23, 8:38:01 PM,%RH,69.147
4/5/23, 9:38:01 PM,%RH,68.563
4/5/23, 10:38:01 PM,%RH,82.168
4/5/23, 11:38:01 PM,%RH,89.712
4/6/23, 12:38:01 AM,%RH,82.168
4/6/23, 1:38:01 AM,%RH,79.404
4/6/23, 2:38:01 AM,%RH,80.514
4/6/23, 3:38:01 AM,%RH,77.166
4/6/23, 4:38:01 AM,%RH,73.193
4/6/23, 5:38:01 AM,%RH,74.335
4/6/23, 6:38:01 AM,%RH,78.288
4/6/23, 7:38:01 AM,%RH,58.413
4/6/23, 8:38:01 AM,%RH,45.926
4/6/23, 9:38:01 AM,%RH,44.002
4/6/23, 10:38:01 AM,%RH,39.462
4/6/23, 11:38:01 AM,%RH,36.835
4/6/23, 12:38:01 PM,%RH,37.493
4/6/23, 1:38:01 PM,%RH,35.512
4/6/23, 2:38:01 PM,%RH,34.184
4/6/23, 3:38:01 PM,%RH,34.184
4/6/23, 4:38:01 PM,%RH,32.18
4/6/23, 5:38:01 PM,%RH,45.926
4/6/23, 6:38:01 PM,%RH,59.022
4/6/23, 7:38:01 PM,%RH,68.563
4/6/23, 8:38:01 PM,%RH,72.619
4/6/23, 9:38:01 PM,%RH,96.967
4/6/23, 10:38:01 PM,%RH,90.24
4/6/23, 11:38:01 PM,%RH,96.459
4/7/23, 12:38:01 AM,%RH,84.353
4/7/23, 1:38:01 AM,%RH,84.896
4/7/23, 2:38:01 AM,%RH,85.437
4/7/23, 3:38:01 AM,%RH,81.618
4/7/23, 4:38:01 AM,%RH,77.728
4/7/23, 5:38:01 AM,%RH,84.353
4/7/23, 6:38:01 AM,%RH,81.067
4/7/23, 7:38:01 AM,%RH,65.03
