1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 470000006CBA1941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:41:01 PST 2023
Mission Sample Count:  2181
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:41:01 PST 2023
Total Mission Samples:  2181
Total Device Samples:  24708
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:41:01 PM,%RH,30.673
3/2/23, 4:41:01 PM,%RH,62.932
3/2/23, 5:41:01 PM,%RH,86.996
3/2/23, 6:41:01 PM,%RH,92.181
3/2/23, 7:41:01 PM,%RH,96.715
3/2/23, 8:41:01 PM,%RH,94.715
3/2/23, 9:41:01 PM,%RH,93.199
3/2/23, 10:41:01 PM,%RH,96.715
3/2/23, 11:41:01 PM,%RH,97.211
3/3/23, 12:41:01 AM,%RH,96.715
3/3/23, 1:41:01 AM,%RH,98.689
3/3/23, 2:41:01 AM,%RH,98.198
3/3/23, 3:41:01 AM,%RH,99.179
3/3/23, 4:41:01 AM,%RH,98.198
3/3/23, 5:41:01 AM,%RH,98.689
3/3/23, 6:41:01 AM,%RH,100
3/3/23, 7:41:01 AM,%RH,100
3/3/23, 8:41:01 AM,%RH,100
3/3/23, 9:41:01 AM,%RH,85.94
3/3/23, 10:41:01 AM,%RH,65.877
3/3/23, 11:41:01 AM,%RH,60.548
3/3/23, 12:41:01 PM,%RH,58.139
3/3/23, 1:41:01 PM,%RH,54.478
3/3/23, 2:41:01 PM,%RH,54.478
3/3/23, 3:41:01 PM,%RH,64.704
3/3/23, 4:41:01 PM,%RH,71.082
3/3/23, 5:41:01 PM,%RH,88.567
3/3/23, 6:41:01 PM,%RH,99.179
3/3/23, 7:41:01 PM,%RH,100
3/3/23, 8:41:01 PM,%RH,100
3/3/23, 9:41:01 PM,%RH,100
3/3/23, 10:41:01 PM,%RH,100
3/3/23, 11:41:01 PM,%RH,100
3/4/23, 12:41:01 AM,%RH,100
3/4/23, 1:41:01 AM,%RH,100
3/4/23, 2:41:01 AM,%RH,100
