1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FA0000006CB64F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 14:45:01 PST 2023
Mission Sample Count:  2182
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 14:45:01 PST 2023
Total Mission Samples:  2182
Total Device Samples:  25176
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 2:45:01 PM,%RH,62.506
3/2/23, 3:45:01 PM,%RH,64.743
3/2/23, 4:45:01 PM,%RH,58.678
3/2/23, 5:45:01 PM,%RH,70.369
3/2/23, 6:45:01 PM,%RH,75.355
3/2/23, 7:45:01 PM,%RH,80.325
3/2/23, 8:45:01 PM,%RH,81.089
3/2/23, 9:45:01 PM,%RH,80.325
3/2/23, 10:45:01 PM,%RH,81.089
3/2/23, 11:45:01 PM,%RH,81.776
3/3/23, 12:45:01 AM,%RH,81.612
3/3/23, 1:45:01 AM,%RH,81.936
3/3/23, 2:45:01 AM,%RH,82.091
3/3/23, 3:45:01 AM,%RH,82.242
3/3/23, 4:45:01 AM,%RH,82.664
3/3/23, 5:45:01 AM,%RH,82.387
3/3/23, 6:45:01 AM,%RH,82.795
3/3/23, 7:45:01 AM,%RH,80.523
3/3/23, 8:45:01 AM,%RH,68.468
3/3/23, 9:45:01 AM,%RH,60.631
3/3/23, 10:45:01 AM,%RH,56.13
3/3/23, 11:45:01 AM,%RH,42.864
3/3/23, 12:45:01 PM,%RH,56.13
3/3/23, 1:45:01 PM,%RH,51.803
3/3/23, 2:45:01 PM,%RH,53.461
3/3/23, 3:45:01 PM,%RH,61.578
3/3/23, 4:45:01 PM,%RH,71.096
3/3/23, 5:45:01 PM,%RH,79.262
3/3/23, 6:45:01 PM,%RH,82.387
3/3/23, 7:45:01 PM,%RH,82.921
3/3/23, 8:45:01 PM,%RH,83.578
3/3/23, 9:45:01 PM,%RH,83.842
3/3/23, 10:45:01 PM,%RH,83.671
3/3/23, 11:45:01 PM,%RH,83.842
3/4/23, 12:45:01 AM,%RH,83.042
3/4/23, 1:45:01 AM,%RH,82.795
3/4/23, 2:45:01 AM,%RH,83.042
3/4/23, 3:45:01 AM,%RH,83.042
3/4/23, 4:45:01 AM,%RH,83.378
3/4/23, 5:45:01 AM,%RH,83.759
3/4/23, 6:45:01 AM,%RH,83.994
3/4/23, 7:45:01 AM,%RH,82.664
3/4/23, 8:45:01 AM,%RH,75.355
3/4/23, 9:45:01 AM,%RH,77.573
3/4/23, 10:45:01 AM,%RH,75.938
3/4/23, 11:45:01 AM,%RH,75.056
3/4/23, 12:45:01 PM,%RH,56.13
3/4/23, 1:45:01 PM,%RH,69.623
3/4/23, 2:45:01 PM,%RH,71.453
3/4/23, 3:45:01 PM,%RH,70.369
3/4/23, 4:45:01 PM,%RH,77.047
3/4/23, 5:45:01 PM,%RH,79.702
3/4/23, 6:45:01 PM,%RH,79.702
3/4/23, 7:45:01 PM,%RH,79.484
3/4/23, 8:45:01 PM,%RH,81.268
3/4/23, 9:45:01 PM,%RH,83.042
3/4/23, 10:45:01 PM,%RH,83.578
3/4/23, 11:45:01 PM,%RH,83.481
3/5/23, 12:45:01 AM,%RH,83.271
3/5/23, 1:45:01 AM,%RH,83.842
3/5/23, 2:45:01 AM,%RH,83.92
3/5/23, 3:45:01 AM,%RH,84.127
3/5/23, 4:45:01 AM,%RH,83.842
3/5/23, 5:45:01 AM,%RH,83.994
3/5/23, 6:45:01 AM,%RH,83.994
3/5/23, 7:45:01 AM,%RH,84.063
3/5/23, 8:45:01 AM,%RH,83.481
3/5/23, 9:45:01 AM,%RH,79.262
3/5/23, 10:45:01 AM,%RH,77.573
3/5/23, 11:45:01 AM,%RH,80.523
3/5/23, 12:45:01 PM,%RH,80.325
3/5/23, 1:45:01 PM,%RH,78.326
3/5/23, 2:45:01 PM,%RH,79.262
3/5/23, 3:45:01 PM,%RH,78.326
3/5/23, 4:45:01 PM,%RH,79.914
3/5/23, 5:45:01 PM,%RH,82.528
3/5/23, 6:45:01 PM,%RH,82.921
3/5/23, 7:45:01 PM,%RH,83.759
3/5/23, 8:45:01 PM,%RH,83.92
3/5/23, 9:45:01 PM,%RH,83.92
3/5/23, 10:45:01 PM,%RH,83.92
3/5/23, 11:45:01 PM,%RH,83.842
3/6/23, 12:45:01 AM,%RH,83.759
3/6/23, 1:45:01 AM,%RH,83.671
3/6/23, 2:45:01 AM,%RH,83.759
3/6/23, 3:45:01 AM,%RH,83.842
3/6/23, 4:45:01 AM,%RH,83.92
3/6/23, 5:45:01 AM,%RH,83.92
3/6/23, 6:45:01 AM,%RH,83.481
3/6/23, 7:45:01 AM,%RH,74.444
3/6/23, 8:45:01 AM,%RH,70.369
3/6/23, 9:45:01 AM,%RH,69.999
3/6/23, 10:45:01 AM,%RH,69.243
3/6/23, 11:45:01 AM,%RH,66.86
3/6/23, 12:45:01 PM,%RH,59.173
3/6/23, 1:45:01 PM,%RH,61.107
3/6/23, 2:45:01 PM,%RH,59.173
3/6/23, 3:45:01 PM,%RH,66.86
3/6/23, 4:45:01 PM,%RH,70.735
3/6/23, 5:45:01 PM,%RH,75.938
3/6/23, 6:45:01 PM,%RH,79.484
3/6/23, 7:45:01 PM,%RH,80.905
3/6/23, 8:45:01 PM,%RH,82.091
3/6/23, 9:45:01 PM,%RH,83.271
3/6/23, 10:45:01 PM,%RH,83.842
3/6/23, 11:45:01 PM,%RH,83.842
3/7/23, 12:45:01 AM,%RH,83.994
3/7/23, 1:45:01 AM,%RH,84.127
3/7/23, 2:45:01 AM,%RH,84.127
3/7/23, 3:45:01 AM,%RH,84.063
3/7/23, 4:45:01 AM,%RH,84.063
