1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 540000006CB59041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:05:01 PST 2023
Mission Sample Count:  2182
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:05:01 PST 2023
Total Mission Samples:  2182
Total Device Samples:  25122
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:05:01 PM,%RH,41.884
3/2/23, 4:05:01 PM,%RH,41.241
3/2/23, 5:05:01 PM,%RH,61.135
3/2/23, 6:05:01 PM,%RH,81.275
3/2/23, 7:05:01 PM,%RH,87.791
3/2/23, 8:05:01 PM,%RH,95.656
3/2/23, 9:05:01 PM,%RH,92.548
3/2/23, 10:05:01 PM,%RH,92.548
3/2/23, 11:05:01 PM,%RH,95.142
3/3/23, 12:05:01 AM,%RH,96.17
3/3/23, 1:05:01 AM,%RH,97.192
3/3/23, 2:05:01 AM,%RH,97.701
3/3/23, 3:05:01 AM,%RH,97.701
3/3/23, 4:05:01 AM,%RH,98.716
3/3/23, 5:05:01 AM,%RH,99.221
3/3/23, 6:05:01 AM,%RH,99.724
3/3/23, 7:05:01 AM,%RH,100
3/3/23, 8:05:01 AM,%RH,100
3/3/23, 9:05:01 AM,%RH,67.647
3/3/23, 10:05:01 AM,%RH,54.456
3/3/23, 11:05:01 AM,%RH,55.07
3/3/23, 12:05:01 PM,%RH,53.84
3/3/23, 1:05:01 PM,%RH,49.493
3/3/23, 2:05:01 PM,%RH,51.985
3/3/23, 3:05:01 PM,%RH,56.904
3/3/23, 4:05:01 PM,%RH,64.708
3/3/23, 5:05:01 PM,%RH,84.014
3/3/23, 6:05:01 PM,%RH,96.682
3/3/23, 7:05:01 PM,%RH,98.716
3/3/23, 8:05:01 PM,%RH,100
