1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AE00000069B68241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 16:57:01 PST 2023
Mission Sample Count:  2180
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 16:57:01 PST 2023
Total Mission Samples:  2180
Total Device Samples:  21964
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 4:57:01 PM,%RH,63.844
3/2/23, 5:57:01 PM,%RH,78.696
3/2/23, 6:57:01 PM,%RH,82.516
3/2/23, 7:57:01 PM,%RH,90.445
3/2/23, 8:57:01 PM,%RH,90.961
3/2/23, 9:57:01 PM,%RH,91.989
3/2/23, 10:57:01 PM,%RH,91.476
3/2/23, 11:57:01 PM,%RH,94.531
3/3/23, 12:57:01 AM,%RH,94.531
3/3/23, 1:57:01 AM,%RH,94.531
3/3/23, 2:57:01 AM,%RH,95.034
3/3/23, 3:57:01 AM,%RH,95.537
3/3/23, 4:57:01 AM,%RH,95.537
3/3/23, 5:57:01 AM,%RH,95.537
3/3/23, 6:57:01 AM,%RH,99.987
3/3/23, 7:57:01 AM,%RH,100
3/3/23, 8:57:01 AM,%RH,97.53
3/3/23, 9:57:01 AM,%RH,44.764
3/3/23, 10:57:01 AM,%RH,53.565
3/3/23, 11:57:01 AM,%RH,49.203
3/3/23, 12:57:01 PM,%RH,48.573
3/3/23, 1:57:01 PM,%RH,46.04
3/3/23, 2:57:01 PM,%RH,50.457
3/3/23, 3:57:01 PM,%RH,58.458
3/3/23, 4:57:01 PM,%RH,79.795
3/3/23, 5:57:01 PM,%RH,92.5
3/3/23, 6:57:01 PM,%RH,97.034
3/3/23, 7:57:01 PM,%RH,100
3/3/23, 8:57:01 PM,%RH,100
3/3/23, 9:57:01 PM,%RH,100
3/3/23, 10:57:01 PM,%RH,100
3/3/23, 11:57:01 PM,%RH,100
3/4/23, 12:57:01 AM,%RH,100
3/4/23, 1:57:01 AM,%RH,100
3/4/23, 2:57:01 AM,%RH,100
3/4/23, 3:57:01 AM,%RH,100
3/4/23, 4:57:01 AM,%RH,100
3/4/23, 5:57:01 AM,%RH,100
3/4/23, 6:57:01 AM,%RH,100
3/4/23, 7:57:01 AM,%RH,98.517
3/4/23, 8:57:01 AM,%RH,70.829
3/4/23, 9:57:01 AM,%RH,84.664
3/4/23, 10:57:01 AM,%RH,79.795
3/4/23, 11:57:01 AM,%RH,81.432
3/4/23, 12:57:01 PM,%RH,58.458
3/4/23, 1:57:01 PM,%RH,73.108
3/4/23, 2:57:01 PM,%RH,73.108
3/4/23, 3:57:01 PM,%RH,79.247
3/4/23, 4:57:01 PM,%RH,86.788
3/4/23, 5:57:01 PM,%RH,91.989
3/4/23, 6:57:01 PM,%RH,89.927
3/4/23, 7:57:01 PM,%RH,90.961
3/4/23, 8:57:01 PM,%RH,97.53
3/4/23, 9:57:01 PM,%RH,100
3/4/23, 10:57:01 PM,%RH,100
3/4/23, 11:57:01 PM,%RH,100
3/5/23, 12:57:01 AM,%RH,100
3/5/23, 1:57:01 AM,%RH,100
3/5/23, 2:57:01 AM,%RH,100
3/5/23, 3:57:01 AM,%RH,100
3/5/23, 4:57:01 AM,%RH,100
3/5/23, 5:57:01 AM,%RH,100
3/5/23, 6:57:01 AM,%RH,100
3/5/23, 7:57:01 AM,%RH,100
3/5/23, 8:57:01 AM,%RH,86.788
3/5/23, 9:57:01 AM,%RH,90.961
3/5/23, 10:57:01 AM,%RH,83.593
3/5/23, 11:57:01 AM,%RH,96.037
3/5/23, 12:57:01 PM,%RH,86.259
3/5/23, 1:57:01 PM,%RH,86.788
3/5/23, 2:57:01 PM,%RH,83.593
3/5/23, 3:57:01 PM,%RH,86.788
3/5/23, 4:57:01 PM,%RH,91.476
3/5/23, 5:57:01 PM,%RH,97.034
3/5/23, 6:57:01 PM,%RH,100
3/5/23, 7:57:01 PM,%RH,100
3/5/23, 8:57:01 PM,%RH,100
3/5/23, 9:57:01 PM,%RH,100
3/5/23, 10:57:01 PM,%RH,100
3/5/23, 11:57:01 PM,%RH,100
3/6/23, 12:57:01 AM,%RH,100
3/6/23, 1:57:01 AM,%RH,100
3/6/23, 2:57:01 AM,%RH,100
3/6/23, 3:57:01 AM,%RH,100
3/6/23, 4:57:01 AM,%RH,100
3/6/23, 5:57:01 AM,%RH,100
3/6/23, 6:57:01 AM,%RH,100
3/6/23, 7:57:01 AM,%RH,78.696
3/6/23, 8:57:01 AM,%RH,70.829
3/6/23, 9:57:01 AM,%RH,69.104
3/6/23, 10:57:01 AM,%RH,68.525
3/6/23, 11:57:01 AM,%RH,69.104
3/6/23, 12:57:01 PM,%RH,59.063
3/6/23, 1:57:01 PM,%RH,62.062
3/6/23, 2:57:01 PM,%RH,53.565
3/6/23, 3:57:01 PM,%RH,68.525
3/6/23, 4:57:01 PM,%RH,76.479
3/6/23, 5:57:01 PM,%RH,84.13
3/6/23, 6:57:01 PM,%RH,90.961
3/6/23, 7:57:01 PM,%RH,94.531
3/6/23, 8:57:01 PM,%RH,99.009
3/6/23, 9:57:01 PM,%RH,100
3/6/23, 10:57:01 PM,%RH,100
3/6/23, 11:57:01 PM,%RH,100
3/7/23, 12:57:01 AM,%RH,100
3/7/23, 1:57:01 AM,%RH,100
3/7/23, 2:57:01 AM,%RH,100
3/7/23, 3:57:01 AM,%RH,100
3/7/23, 4:57:01 AM,%RH,100
3/7/23, 5:57:01 AM,%RH,100
3/7/23, 6:57:01 AM,%RH,100
3/7/23, 7:57:01 AM,%RH,79.795
3/7/23, 8:57:01 AM,%RH,57.244
3/7/23, 9:57:01 AM,%RH,49.83
3/7/23, 10:57:01 AM,%RH,48.573
3/7/23, 11:57:01 AM,%RH,47.31
3/7/23, 12:57:01 PM,%RH,45.403
3/7/23, 1:57:01 PM,%RH,46.04
3/7/23, 2:57:01 PM,%RH,52.326
3/7/23, 3:57:01 PM,%RH,48.573
3/7/23, 4:57:01 PM,%RH,73.674
3/7/23, 5:57:01 PM,%RH,82.516
3/7/23, 6:57:01 PM,%RH,90.961
3/7/23, 7:57:01 PM,%RH,98.517
3/7/23, 8:57:01 PM,%RH,100
3/7/23, 9:57:01 PM,%RH,100
3/7/23, 10:57:01 PM,%RH,100
3/7/23, 11:57:01 PM,%RH,100
3/8/23, 12:57:01 AM,%RH,100
3/8/23, 1:57:01 AM,%RH,100
3/8/23, 2:57:01 AM,%RH,100
3/8/23, 3:57:01 AM,%RH,100
3/8/23, 4:57:01 AM,%RH,100
3/8/23, 5:57:01 AM,%RH,100
3/8/23, 6:57:01 AM,%RH,100
3/8/23, 7:57:01 AM,%RH,76.479
3/8/23, 8:57:01 AM,%RH,63.251
3/8/23, 9:57:01 AM,%RH,57.244
3/8/23, 10:57:01 AM,%RH,53.565
3/8/23, 11:57:01 AM,%RH,62.658
3/8/23, 12:57:01 PM,%RH,46.04
3/8/23, 1:57:01 PM,%RH,51.082
3/8/23, 2:57:01 PM,%RH,52.947
3/8/23, 3:57:01 PM,%RH,56.024
3/8/23, 4:57:01 PM,%RH,76.479
3/8/23, 5:57:01 PM,%RH,87.315
3/8/23, 6:57:01 PM,%RH,92.5
3/8/23, 7:57:01 PM,%RH,98.025
3/8/23, 8:57:01 PM,%RH,98.025
3/8/23, 9:57:01 PM,%RH,100
3/8/23, 10:57:01 PM,%RH,100
3/8/23, 11:57:01 PM,%RH,100
3/9/23, 12:57:01 AM,%RH,96.037
3/9/23, 1:57:01 AM,%RH,98.025
3/9/23, 2:57:01 AM,%RH,95.537
3/9/23, 3:57:01 AM,%RH,98.025
3/9/23, 4:57:01 AM,%RH,93.01
3/9/23, 5:57:01 AM,%RH,96.037
3/9/23, 6:57:01 AM,%RH,88.887
3/9/23, 7:57:01 AM,%RH,66.197
3/9/23, 8:57:01 AM,%RH,56.635
3/9/23, 9:57:01 AM,%RH,49.203
3/9/23, 10:57:01 AM,%RH,47.31
3/9/23, 11:57:01 AM,%RH,44.124
3/9/23, 12:57:01 PM,%RH,38.291
3/9/23, 1:57:01 PM,%RH,38.945
3/9/23, 2:57:01 PM,%RH,42.838
3/9/23, 3:57:01 PM,%RH,51.705
3/9/23, 4:57:01 PM,%RH,62.062
3/9/23, 5:57:01 PM,%RH,69.104
3/9/23, 6:57:01 PM,%RH,78.144
3/9/23, 7:57:01 PM,%RH,81.432
3/9/23, 8:57:01 PM,%RH,81.432
3/9/23, 9:57:01 PM,%RH,79.795
3/9/23, 10:57:01 PM,%RH,80.888
3/9/23, 11:57:01 PM,%RH,81.432
3/10/23, 12:57:01 AM,%RH,96.536
3/10/23, 1:57:01 AM,%RH,100
3/10/23, 2:57:01 AM,%RH,100
3/10/23, 3:57:01 AM,%RH,100
3/10/23, 4:57:01 AM,%RH,100
3/10/23, 5:57:01 AM,%RH,100
3/10/23, 6:57:01 AM,%RH,100
3/10/23, 7:57:01 AM,%RH,100
3/10/23, 8:57:01 AM,%RH,100
3/10/23, 9:57:01 AM,%RH,99.499
3/10/23, 10:57:01 AM,%RH,98.025
3/10/23, 11:57:01 AM,%RH,97.53
3/10/23, 12:57:01 PM,%RH,100
3/10/23, 1:57:01 PM,%RH,100
3/10/23, 2:57:01 PM,%RH,100
3/10/23, 3:57:01 PM,%RH,100
3/10/23, 4:57:01 PM,%RH,100
3/10/23, 5:57:01 PM,%RH,100
3/10/23, 6:57:01 PM,%RH,100
3/10/23, 7:57:01 PM,%RH,100
3/10/23, 8:57:01 PM,%RH,100
3/10/23, 9:57:01 PM,%RH,100
3/10/23, 10:57:01 PM,%RH,100
3/10/23, 11:57:01 PM,%RH,100
3/11/23, 12:57:01 AM,%RH,100
3/11/23, 1:57:01 AM,%RH,100
3/11/23, 2:57:01 AM,%RH,100
3/11/23, 3:57:01 AM,%RH,100
3/11/23, 4:57:01 AM,%RH,100
3/11/23, 5:57:01 AM,%RH,100
3/11/23, 6:57:01 AM,%RH,100
3/11/23, 7:57:01 AM,%RH,100
3/11/23, 8:57:01 AM,%RH,100
3/11/23, 9:57:01 AM,%RH,100
3/11/23, 10:57:01 AM,%RH,100
3/11/23, 11:57:01 AM,%RH,100
3/11/23, 12:57:01 PM,%RH,100
3/11/23, 1:57:01 PM,%RH,98.025
3/11/23, 2:57:01 PM,%RH,98.517
3/11/23, 3:57:01 PM,%RH,99.499
3/11/23, 4:57:01 PM,%RH,100
3/11/23, 5:57:01 PM,%RH,100
3/11/23, 6:57:01 PM,%RH,100
3/11/23, 7:57:01 PM,%RH,100
3/11/23, 8:57:01 PM,%RH,100
3/11/23, 9:57:01 PM,%RH,100
3/11/23, 10:57:01 PM,%RH,100
3/11/23, 11:57:01 PM,%RH,100
3/12/23, 12:57:01 AM,%RH,100
3/12/23, 1:57:01 AM,%RH,100
3/12/23, 3:57:01 AM,%RH,100
3/12/23, 4:57:01 AM,%RH,100
3/12/23, 5:57:01 AM,%RH,100
3/12/23, 6:57:01 AM,%RH,100
3/12/23, 7:57:01 AM,%RH,100
3/12/23, 8:57:01 AM,%RH,85.729
3/12/23, 9:57:01 AM,%RH,75.362
3/12/23, 10:57:01 AM,%RH,74.801
3/12/23, 11:57:01 AM,%RH,74.801
3/12/23, 12:57:01 PM,%RH,74.238
3/12/23, 1:57:01 PM,%RH,71.971
3/12/23, 2:57:01 PM,%RH,71.401
3/12/23, 3:57:01 PM,%RH,69.68
3/12/23, 4:57:01 PM,%RH,73.674
3/12/23, 5:57:01 PM,%RH,91.476
3/12/23, 6:57:01 PM,%RH,99.499
3/12/23, 7:57:01 PM,%RH,100
3/12/23, 8:57:01 PM,%RH,100
3/12/23, 9:57:01 PM,%RH,100
3/12/23, 10:57:01 PM,%RH,100
3/12/23, 11:57:01 PM,%RH,100
3/13/23, 12:57:01 AM,%RH,100
3/13/23, 1:57:01 AM,%RH,100
3/13/23, 2:57:01 AM,%RH,100
3/13/23, 3:57:01 AM,%RH,100
3/13/23, 4:57:01 AM,%RH,100
3/13/23, 5:57:01 AM,%RH,100
3/13/23, 6:57:01 AM,%RH,100
3/13/23, 7:57:01 AM,%RH,100
3/13/23, 8:57:01 AM,%RH,100
3/13/23, 9:57:01 AM,%RH,94.531
3/13/23, 10:57:01 AM,%RH,81.975
3/13/23, 11:57:01 AM,%RH,69.104
3/13/23, 12:57:01 PM,%RH,72.54
3/13/23, 1:57:01 PM,%RH,73.674
3/13/23, 2:57:01 PM,%RH,67.946
3/13/23, 3:57:01 PM,%RH,71.401
3/13/23, 4:57:01 PM,%RH,88.887
3/13/23, 5:57:01 PM,%RH,97.034
3/13/23, 6:57:01 PM,%RH,100
3/13/23, 7:57:01 PM,%RH,100
3/13/23, 8:57:01 PM,%RH,100
3/13/23, 9:57:01 PM,%RH,100
3/13/23, 10:57:01 PM,%RH,100
3/13/23, 11:57:01 PM,%RH,100
3/14/23, 12:57:01 AM,%RH,100
3/14/23, 1:57:01 AM,%RH,100
3/14/23, 2:57:01 AM,%RH,100
3/14/23, 3:57:01 AM,%RH,100
3/14/23, 4:57:01 AM,%RH,100
3/14/23, 5:57:01 AM,%RH,100
3/14/23, 6:57:01 AM,%RH,100
3/14/23, 7:57:01 AM,%RH,100
3/14/23, 8:57:01 AM,%RH,100
3/14/23, 9:57:01 AM,%RH,100
3/14/23, 10:57:01 AM,%RH,100
3/14/23, 11:57:01 AM,%RH,100
3/14/23, 12:57:01 PM,%RH,100
3/14/23, 1:57:01 PM,%RH,100
3/14/23, 2:57:01 PM,%RH,100
3/14/23, 3:57:01 PM,%RH,100
3/14/23, 4:57:01 PM,%RH,100
3/14/23, 5:57:01 PM,%RH,100
3/14/23, 6:57:01 PM,%RH,100
3/14/23, 7:57:01 PM,%RH,100
3/14/23, 8:57:01 PM,%RH,100
3/14/23, 9:57:01 PM,%RH,100
3/14/23, 10:57:01 PM,%RH,100
3/14/23, 11:57:01 PM,%RH,100
3/15/23, 12:57:01 AM,%RH,100
3/15/23, 1:57:01 AM,%RH,100
3/15/23, 2:57:01 AM,%RH,100
3/15/23, 3:57:01 AM,%RH,100
3/15/23, 4:57:01 AM,%RH,100
3/15/23, 5:57:01 AM,%RH,100
3/15/23, 6:57:01 AM,%RH,100
3/15/23, 7:57:01 AM,%RH,100
3/15/23, 8:57:01 AM,%RH,100
3/15/23, 9:57:01 AM,%RH,100
3/15/23, 10:57:01 AM,%RH,100
3/15/23, 11:57:01 AM,%RH,100
3/15/23, 12:57:01 PM,%RH,91.476
3/15/23, 1:57:01 PM,%RH,87.315
3/15/23, 2:57:01 PM,%RH,87.841
3/15/23, 3:57:01 PM,%RH,90.445
3/15/23, 4:57:01 PM,%RH,94.025
3/15/23, 5:57:01 PM,%RH,94.531
3/15/23, 6:57:01 PM,%RH,100
3/15/23, 7:57:01 PM,%RH,100
3/15/23, 8:57:01 PM,%RH,100
3/15/23, 9:57:01 PM,%RH,100
3/15/23, 10:57:01 PM,%RH,100
3/15/23, 11:57:01 PM,%RH,100
3/16/23, 12:57:01 AM,%RH,100
3/16/23, 1:57:01 AM,%RH,100
3/16/23, 2:57:01 AM,%RH,100
3/16/23, 3:57:01 AM,%RH,100
3/16/23, 4:57:01 AM,%RH,100
3/16/23, 5:57:01 AM,%RH,100
3/16/23, 6:57:01 AM,%RH,100
3/16/23, 7:57:01 AM,%RH,97.034
3/16/23, 8:57:01 AM,%RH,77.591
3/16/23, 9:57:01 AM,%RH,72.54
3/16/23, 10:57:01 AM,%RH,70.255
3/16/23, 11:57:01 AM,%RH,69.68
3/16/23, 12:57:01 PM,%RH,65.023
3/16/23, 1:57:01 PM,%RH,66.197
3/16/23, 2:57:01 PM,%RH,66.197
3/16/23, 3:57:01 PM,%RH,80.888
3/16/23, 4:57:01 PM,%RH,66.197
3/16/23, 5:57:01 PM,%RH,85.198
3/16/23, 6:57:01 PM,%RH,95.034
3/16/23, 7:57:01 PM,%RH,100
3/16/23, 8:57:01 PM,%RH,100
3/16/23, 9:57:01 PM,%RH,100
3/16/23, 10:57:01 PM,%RH,100
3/16/23, 11:57:01 PM,%RH,100
3/17/23, 12:57:01 AM,%RH,100
3/17/23, 1:57:01 AM,%RH,100
3/17/23, 2:57:01 AM,%RH,100
3/17/23, 3:57:01 AM,%RH,100
3/17/23, 4:57:01 AM,%RH,100
3/17/23, 5:57:01 AM,%RH,100
3/17/23, 6:57:01 AM,%RH,100
3/17/23, 7:57:01 AM,%RH,97.034
3/17/23, 8:57:01 AM,%RH,77.591
3/17/23, 9:57:01 AM,%RH,69.104
3/17/23, 10:57:01 AM,%RH,59.666
3/17/23, 11:57:01 AM,%RH,47.942
3/17/23, 12:57:01 PM,%RH,44.764
3/17/23, 1:57:01 PM,%RH,40.249
3/17/23, 2:57:01 PM,%RH,38.291
3/17/23, 3:57:01 PM,%RH,60.267
3/17/23, 4:57:01 PM,%RH,54.182
3/17/23, 5:57:01 PM,%RH,43.482
3/17/23, 6:57:01 PM,%RH,81.432
3/17/23, 7:57:01 PM,%RH,94.025
3/17/23, 8:57:01 PM,%RH,91.476
3/17/23, 9:57:01 PM,%RH,69.104
3/17/23, 10:57:01 PM,%RH,68.525
3/17/23, 11:57:01 PM,%RH,67.946
3/18/23, 12:57:01 AM,%RH,67.364
3/18/23, 1:57:01 AM,%RH,71.971
3/18/23, 2:57:01 AM,%RH,69.68
3/18/23, 3:57:01 AM,%RH,73.674
3/18/23, 4:57:01 AM,%RH,73.108
3/18/23, 5:57:01 AM,%RH,70.829
3/18/23, 6:57:01 AM,%RH,73.108
3/18/23, 7:57:01 AM,%RH,62.062
3/18/23, 8:57:01 AM,%RH,51.705
3/18/23, 9:57:01 AM,%RH,37.635
3/18/23, 10:57:01 AM,%RH,35.659
3/18/23, 11:57:01 AM,%RH,29.645
3/18/23, 12:57:01 PM,%RH,32.333
3/18/23, 1:57:01 PM,%RH,36.978
3/18/23, 2:57:01 PM,%RH,33.668
3/18/23, 3:57:01 PM,%RH,38.945
3/18/23, 4:57:01 PM,%RH,60.267
3/18/23, 5:57:01 PM,%RH,55.412
3/18/23, 6:57:01 PM,%RH,52.947
3/18/23, 7:57:01 PM,%RH,81.432
3/18/23, 8:57:01 PM,%RH,87.841
3/18/23, 9:57:01 PM,%RH,74.238
3/18/23, 10:57:01 PM,%RH,69.104
3/18/23, 11:57:01 PM,%RH,67.364
3/19/23, 12:57:01 AM,%RH,70.255
3/19/23, 1:57:01 AM,%RH,70.829
3/19/23, 2:57:01 AM,%RH,73.108
