1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 47000000697C5441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:08:01 PST 2023
Mission Sample Count:  2181
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:08:01 PST 2023
Total Mission Samples:  2181
Total Device Samples:  21859
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:08:01 PM,%RH,47.71
3/2/23, 4:08:01 PM,%RH,55.848
3/2/23, 5:08:01 PM,%RH,74.772
3/2/23, 6:08:01 PM,%RH,92.123
3/2/23, 7:08:01 PM,%RH,97.222
3/2/23, 8:08:01 PM,%RH,100
3/2/23, 9:08:01 PM,%RH,94.181
3/2/23, 10:08:01 PM,%RH,96.215
3/2/23, 11:08:01 PM,%RH,96.215
3/3/23, 12:08:01 AM,%RH,97.222
3/3/23, 1:08:01 AM,%RH,98.722
3/3/23, 2:08:01 AM,%RH,99.219
3/3/23, 3:08:01 AM,%RH,99.715
3/3/23, 4:08:01 AM,%RH,99.219
3/3/23, 5:08:01 AM,%RH,100
3/3/23, 6:08:01 AM,%RH,100
3/3/23, 7:08:01 AM,%RH,98.722
3/3/23, 8:08:01 AM,%RH,100
3/3/23, 9:08:01 AM,%RH,100
3/3/23, 10:08:01 AM,%RH,54.613
3/3/23, 11:08:01 AM,%RH,53.371
3/3/23, 12:08:01 PM,%RH,55.848
3/3/23, 1:08:01 PM,%RH,52.749
3/3/23, 2:08:01 PM,%RH,54.613
3/3/23, 3:08:01 PM,%RH,55.231
3/3/23, 4:08:01 PM,%RH,63.128
3/3/23, 5:08:01 PM,%RH,85.264
3/3/23, 6:08:01 PM,%RH,98.224
3/3/23, 7:08:01 PM,%RH,100
3/3/23, 8:08:01 PM,%RH,100
3/3/23, 9:08:01 PM,%RH,100
3/3/23, 10:08:01 PM,%RH,100
3/3/23, 11:08:01 PM,%RH,100
3/4/23, 12:08:01 AM,%RH,100
3/4/23, 1:08:01 AM,%RH,100
3/4/23, 2:08:01 AM,%RH,100
3/4/23, 3:08:01 AM,%RH,100
3/4/23, 4:08:01 AM,%RH,100
3/4/23, 5:08:01 AM,%RH,100
3/4/23, 6:08:01 AM,%RH,100
3/4/23, 7:08:01 AM,%RH,92.123
3/4/23, 8:08:01 AM,%RH,93.155
3/4/23, 9:08:01 AM,%RH,77.586
3/4/23, 10:08:01 AM,%RH,88.989
3/4/23, 11:08:01 AM,%RH,84.185
3/4/23, 12:08:01 PM,%RH,79.811
3/4/23, 1:08:01 PM,%RH,72.492
3/4/23, 2:08:01 PM,%RH,75.338
3/4/23, 3:08:01 PM,%RH,68.444
3/4/23, 4:08:01 PM,%RH,84.725
3/4/23, 5:08:01 PM,%RH,89.515
3/4/23, 6:08:01 PM,%RH,93.669
3/4/23, 7:08:01 PM,%RH,92.123
3/4/23, 8:08:01 PM,%RH,92.64
3/4/23, 9:08:01 PM,%RH,99.715
3/4/23, 10:08:01 PM,%RH,100
3/4/23, 11:08:01 PM,%RH,100
3/5/23, 12:08:01 AM,%RH,100
3/5/23, 1:08:01 AM,%RH,100
3/5/23, 2:08:01 AM,%RH,100
3/5/23, 3:08:01 AM,%RH,100
3/5/23, 4:08:01 AM,%RH,100
3/5/23, 5:08:01 AM,%RH,100
3/5/23, 6:08:01 AM,%RH,100
3/5/23, 7:08:01 AM,%RH,100
3/5/23, 8:08:01 AM,%RH,100
3/5/23, 9:08:01 AM,%RH,91.604
3/5/23, 10:08:01 AM,%RH,88.989
3/5/23, 11:08:01 AM,%RH,82.556
3/5/23, 12:08:01 PM,%RH,93.669
3/5/23, 1:08:01 PM,%RH,86.869
3/5/23, 2:08:01 PM,%RH,87.402
3/5/23, 3:08:01 PM,%RH,86.869
3/5/23, 4:08:01 PM,%RH,88.462
3/5/23, 5:08:01 PM,%RH,95.709
3/5/23, 6:08:01 PM,%RH,97.724
3/5/23, 7:08:01 PM,%RH,100
3/5/23, 8:08:01 PM,%RH,100
3/5/23, 9:08:01 PM,%RH,100
3/5/23, 10:08:01 PM,%RH,100
3/5/23, 11:08:01 PM,%RH,100
3/6/23, 12:08:01 AM,%RH,100
3/6/23, 1:08:01 AM,%RH,100
3/6/23, 2:08:01 AM,%RH,100
3/6/23, 3:08:01 AM,%RH,100
3/6/23, 4:08:01 AM,%RH,100
3/6/23, 5:08:01 AM,%RH,100
3/6/23, 6:08:01 AM,%RH,100
3/6/23, 7:08:01 AM,%RH,83.644
3/6/23, 8:08:01 AM,%RH,67.859
3/6/23, 9:08:01 AM,%RH,69.608
3/6/23, 10:08:01 AM,%RH,66.686
3/6/23, 11:08:01 AM,%RH,75.902
3/6/23, 12:08:01 PM,%RH,64.32
3/6/23, 1:08:01 PM,%RH,64.914
3/6/23, 2:08:01 PM,%RH,66.097
3/6/23, 3:08:01 PM,%RH,61.329
3/6/23, 4:08:01 PM,%RH,74.204
3/6/23, 5:08:01 PM,%RH,80.913
3/6/23, 6:08:01 PM,%RH,86.336
3/6/23, 7:08:01 PM,%RH,93.155
3/6/23, 8:08:01 PM,%RH,95.709
3/6/23, 9:08:01 PM,%RH,100
3/6/23, 10:08:01 PM,%RH,100
3/6/23, 11:08:01 PM,%RH,100
3/7/23, 12:08:01 AM,%RH,100
3/7/23, 1:08:01 AM,%RH,100
3/7/23, 2:08:01 AM,%RH,100
3/7/23, 3:08:01 AM,%RH,100
3/7/23, 4:08:01 AM,%RH,100
3/7/23, 5:08:01 AM,%RH,100
3/7/23, 6:08:01 AM,%RH,100
3/7/23, 7:08:01 AM,%RH,82.556
3/7/23, 8:08:01 AM,%RH,69.608
3/7/23, 9:08:01 AM,%RH,55.231
3/7/23, 10:08:01 AM,%RH,50.871
3/7/23, 11:08:01 AM,%RH,52.124
3/7/23, 12:08:01 PM,%RH,50.242
3/7/23, 1:08:01 PM,%RH,50.242
3/7/23, 2:08:01 PM,%RH,50.871
3/7/23, 3:08:01 PM,%RH,57.076
3/7/23, 4:08:01 PM,%RH,58.299
3/7/23, 5:08:01 PM,%RH,80.363
3/7/23, 6:08:01 PM,%RH,89.515
3/7/23, 7:08:01 PM,%RH,94.181
3/7/23, 8:08:01 PM,%RH,100
3/7/23, 9:08:01 PM,%RH,100
3/7/23, 10:08:01 PM,%RH,100
3/7/23, 11:08:01 PM,%RH,100
3/8/23, 12:08:01 AM,%RH,100
3/8/23, 1:08:01 AM,%RH,100
3/8/23, 2:08:01 AM,%RH,100
3/8/23, 3:08:01 AM,%RH,100
3/8/23, 4:08:01 AM,%RH,100
3/8/23, 5:08:01 AM,%RH,100
3/8/23, 6:08:01 AM,%RH,100
3/8/23, 7:08:01 AM,%RH,100
3/8/23, 8:08:01 AM,%RH,64.32
3/8/23, 9:08:01 AM,%RH,57.688
3/8/23, 10:08:01 AM,%RH,60.726
3/8/23, 11:08:01 AM,%RH,55.848
3/8/23, 12:08:01 PM,%RH,62.53
3/8/23, 1:08:01 PM,%RH,56.463
3/8/23, 2:08:01 PM,%RH,55.231
3/8/23, 3:08:01 PM,%RH,58.299
3/8/23, 4:08:01 PM,%RH,68.444
3/8/23, 5:08:01 PM,%RH,84.185
3/8/23, 6:08:01 PM,%RH,95.201
3/8/23, 7:08:01 PM,%RH,100
3/8/23, 8:08:01 PM,%RH,100
3/8/23, 9:08:01 PM,%RH,100
3/8/23, 10:08:01 PM,%RH,100
3/8/23, 11:08:01 PM,%RH,100
3/9/23, 12:08:01 AM,%RH,100
3/9/23, 1:08:01 AM,%RH,97.724
3/9/23, 2:08:01 AM,%RH,97.724
3/9/23, 3:08:01 AM,%RH,98.224
3/9/23, 4:08:01 AM,%RH,98.224
3/9/23, 5:08:01 AM,%RH,96.215
3/9/23, 6:08:01 AM,%RH,95.201
3/9/23, 7:08:01 AM,%RH,71.343
3/9/23, 8:08:01 AM,%RH,52.124
3/9/23, 9:08:01 AM,%RH,54.613
3/9/23, 10:08:01 AM,%RH,53.371
3/9/23, 11:08:01 AM,%RH,52.749
3/9/23, 12:08:01 PM,%RH,52.124
3/9/23, 1:08:01 PM,%RH,43.867
3/9/23, 2:08:01 PM,%RH,48.979
3/9/23, 3:08:01 PM,%RH,49.611
3/9/23, 4:08:01 PM,%RH,57.688
3/9/23, 5:08:01 PM,%RH,69.608
3/9/23, 6:08:01 PM,%RH,75.902
3/9/23, 7:08:01 PM,%RH,80.363
3/9/23, 8:08:01 PM,%RH,83.644
3/9/23, 9:08:01 PM,%RH,85.264
3/9/23, 10:08:01 PM,%RH,83.644
3/9/23, 11:08:01 PM,%RH,82.01
3/10/23, 12:08:01 AM,%RH,84.725
3/10/23, 1:08:01 AM,%RH,97.724
3/10/23, 2:08:01 AM,%RH,100
3/10/23, 3:08:01 AM,%RH,100
3/10/23, 4:08:01 AM,%RH,100
3/10/23, 5:08:01 AM,%RH,100
3/10/23, 6:08:01 AM,%RH,100
3/10/23, 7:08:01 AM,%RH,100
3/10/23, 8:08:01 AM,%RH,100
3/10/23, 9:08:01 AM,%RH,100
3/10/23, 10:08:01 AM,%RH,100
3/10/23, 11:08:01 AM,%RH,100
3/10/23, 12:08:01 PM,%RH,100
3/10/23, 1:08:01 PM,%RH,100
3/10/23, 2:08:01 PM,%RH,100
3/10/23, 3:08:01 PM,%RH,100
3/10/23, 4:08:01 PM,%RH,100
3/10/23, 5:08:01 PM,%RH,100
3/10/23, 6:08:01 PM,%RH,100
3/10/23, 7:08:01 PM,%RH,100
3/10/23, 8:08:01 PM,%RH,100
3/10/23, 9:08:01 PM,%RH,100
3/10/23, 10:08:01 PM,%RH,100
3/10/23, 11:08:01 PM,%RH,100
3/11/23, 12:08:01 AM,%RH,100
3/11/23, 1:08:01 AM,%RH,100
3/11/23, 2:08:01 AM,%RH,100
3/11/23, 3:08:01 AM,%RH,100
3/11/23, 4:08:01 AM,%RH,100
3/11/23, 5:08:01 AM,%RH,100
3/11/23, 6:08:01 AM,%RH,100
3/11/23, 7:08:01 AM,%RH,100
3/11/23, 8:08:01 AM,%RH,100
3/11/23, 9:08:01 AM,%RH,100
3/11/23, 10:08:01 AM,%RH,100
3/11/23, 11:08:01 AM,%RH,100
3/11/23, 12:08:01 PM,%RH,100
3/11/23, 1:08:01 PM,%RH,99.219
3/11/23, 2:08:01 PM,%RH,97.724
3/11/23, 3:08:01 PM,%RH,100
3/11/23, 4:08:01 PM,%RH,100
3/11/23, 5:08:01 PM,%RH,100
3/11/23, 6:08:01 PM,%RH,100
3/11/23, 7:08:01 PM,%RH,100
3/11/23, 8:08:01 PM,%RH,100
3/11/23, 9:08:01 PM,%RH,100
3/11/23, 10:08:01 PM,%RH,100
3/11/23, 11:08:01 PM,%RH,100
3/12/23, 12:08:01 AM,%RH,100
3/12/23, 1:08:01 AM,%RH,100
3/12/23, 3:08:01 AM,%RH,100
3/12/23, 4:08:01 AM,%RH,100
3/12/23, 5:08:01 AM,%RH,100
3/12/23, 6:08:01 AM,%RH,100
3/12/23, 7:08:01 AM,%RH,100
3/12/23, 8:08:01 AM,%RH,100
3/12/23, 9:08:01 AM,%RH,77.027
3/12/23, 10:08:01 AM,%RH,70.766
3/12/23, 11:08:01 AM,%RH,72.492
3/12/23, 12:08:01 PM,%RH,75.338
3/12/23, 1:08:01 PM,%RH,78.702
3/12/23, 2:08:01 PM,%RH,78.145
3/12/23, 3:08:01 PM,%RH,74.204
3/12/23, 4:08:01 PM,%RH,76.465
3/12/23, 5:08:01 PM,%RH,80.363
3/12/23, 6:08:01 PM,%RH,93.155
3/12/23, 7:08:01 PM,%RH,100
3/12/23, 8:08:01 PM,%RH,100
3/12/23, 9:08:01 PM,%RH,100
3/12/23, 10:08:01 PM,%RH,100
3/12/23, 11:08:01 PM,%RH,100
3/13/23, 12:08:01 AM,%RH,100
3/13/23, 1:08:01 AM,%RH,100
3/13/23, 2:08:01 AM,%RH,100
3/13/23, 3:08:01 AM,%RH,100
3/13/23, 4:08:01 AM,%RH,100
