1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 910000006CB4DC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:50:01 PST 2023
Mission Sample Count:  2181
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:50:01 PST 2023
Total Mission Samples:  2181
Total Device Samples:  25117
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:50:01 PM,%RH,25.233
3/2/23, 4:50:01 PM,%RH,59.294
3/2/23, 5:50:01 PM,%RH,78.652
3/2/23, 6:50:01 PM,%RH,88.07
3/2/23, 7:50:01 PM,%RH,93.435
3/2/23, 8:50:01 PM,%RH,94.492
3/2/23, 9:50:01 PM,%RH,92.904
3/2/23, 10:50:01 PM,%RH,93.964
3/2/23, 11:50:01 PM,%RH,95.544
3/3/23, 12:50:01 AM,%RH,95.019
3/3/23, 1:50:01 AM,%RH,96.591
3/3/23, 2:50:01 AM,%RH,97.112
3/3/23, 3:50:01 AM,%RH,98.151
3/3/23, 4:50:01 AM,%RH,98.669
3/3/23, 5:50:01 AM,%RH,97.633
3/3/23, 6:50:01 AM,%RH,100
3/3/23, 7:50:01 AM,%RH,100
3/3/23, 8:50:01 AM,%RH,100
3/3/23, 9:50:01 AM,%RH,57.463
3/3/23, 10:50:01 AM,%RH,51.902
3/3/23, 11:50:01 AM,%RH,44.323
3/3/23, 12:50:01 PM,%RH,43.042
3/3/23, 1:50:01 PM,%RH,41.755
3/3/23, 2:50:01 PM,%RH,44.323
3/3/23, 3:50:01 PM,%RH,55.005
3/3/23, 4:50:01 PM,%RH,68.857
3/3/23, 5:50:01 PM,%RH,86.982
3/3/23, 6:50:01 PM,%RH,96.591
3/3/23, 7:50:01 PM,%RH,99.185
3/3/23, 8:50:01 PM,%RH,100
3/3/23, 9:50:01 PM,%RH,100
3/3/23, 10:50:01 PM,%RH,100
3/3/23, 11:50:01 PM,%RH,100
3/4/23, 12:50:01 AM,%RH,98.669
3/4/23, 1:50:01 AM,%RH,98.151
3/4/23, 2:50:01 AM,%RH,100
3/4/23, 3:50:01 AM,%RH,100
3/4/23, 4:50:01 AM,%RH,100
3/4/23, 5:50:01 AM,%RH,100
3/4/23, 6:50:01 AM,%RH,100
