1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5800000069B97741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:27:01 PST 2023
Mission Sample Count:  2181
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:27:01 PST 2023
Total Mission Samples:  2181
Total Device Samples:  21878
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:27:01 PM,%RH,63.416
3/2/23, 4:27:01 PM,%RH,66.928
3/2/23, 5:27:01 PM,%RH,67.507
3/2/23, 6:27:01 PM,%RH,78.186
3/2/23, 7:27:01 PM,%RH,88.244
3/2/23, 8:27:01 PM,%RH,92.791
3/2/23, 9:27:01 PM,%RH,89.775
3/2/23, 10:27:01 PM,%RH,92.791
3/2/23, 11:27:01 PM,%RH,93.783
3/3/23, 12:27:01 AM,%RH,93.783
3/3/23, 1:27:01 AM,%RH,95.745
3/3/23, 2:27:01 AM,%RH,95.745
3/3/23, 3:27:01 AM,%RH,96.716
3/3/23, 4:27:01 AM,%RH,96.232
3/3/23, 5:27:01 AM,%RH,97.68
3/3/23, 6:27:01 AM,%RH,98.16
3/3/23, 7:27:01 AM,%RH,95.745
3/3/23, 8:27:01 AM,%RH,81.964
3/3/23, 9:27:01 AM,%RH,58.031
3/3/23, 10:27:01 AM,%RH,55.594
3/3/23, 11:27:01 AM,%RH,53.128
3/3/23, 12:27:01 PM,%RH,52.508
3/3/23, 1:27:01 PM,%RH,51.885
3/3/23, 2:27:01 PM,%RH,48.748
3/3/23, 3:27:01 PM,%RH,55.594
3/3/23, 4:27:01 PM,%RH,72.643
3/3/23, 5:27:01 PM,%RH,84.611
3/3/23, 6:27:01 PM,%RH,98.637
3/3/23, 7:27:01 PM,%RH,100
3/3/23, 8:27:01 PM,%RH,100
3/3/23, 9:27:01 PM,%RH,100
3/3/23, 10:27:01 PM,%RH,100
3/3/23, 11:27:01 PM,%RH,100
3/4/23, 12:27:01 AM,%RH,100
3/4/23, 1:27:01 AM,%RH,100
3/4/23, 2:27:01 AM,%RH,100
3/4/23, 3:27:01 AM,%RH,100
3/4/23, 4:27:01 AM,%RH,99.587
3/4/23, 5:27:01 AM,%RH,100
3/4/23, 6:27:01 AM,%RH,100
3/4/23, 7:27:01 AM,%RH,100
3/4/23, 8:27:01 AM,%RH,88.244
3/4/23, 9:27:01 AM,%RH,79.274
3/4/23, 10:27:01 AM,%RH,87.215
3/4/23, 11:27:01 AM,%RH,85.658
3/4/23, 12:27:01 PM,%RH,63.416
3/4/23, 1:27:01 PM,%RH,67.507
3/4/23, 2:27:01 PM,%RH,74.324
3/4/23, 3:27:01 PM,%RH,64.593
3/4/23, 4:27:01 PM,%RH,84.085
3/4/23, 5:27:01 PM,%RH,87.73
3/4/23, 6:27:01 PM,%RH,89.267
3/4/23, 7:27:01 PM,%RH,87.73
3/4/23, 8:27:01 PM,%RH,90.788
3/4/23, 9:27:01 PM,%RH,98.16
3/4/23, 10:27:01 PM,%RH,100
3/4/23, 11:27:01 PM,%RH,100
3/5/23, 12:27:01 AM,%RH,100
3/5/23, 1:27:01 AM,%RH,100
3/5/23, 2:27:01 AM,%RH,100
3/5/23, 3:27:01 AM,%RH,100
3/5/23, 4:27:01 AM,%RH,100
3/5/23, 5:27:01 AM,%RH,100
3/5/23, 6:27:01 AM,%RH,100
3/5/23, 7:27:01 AM,%RH,100
3/5/23, 8:27:01 AM,%RH,100
3/5/23, 9:27:01 AM,%RH,93.783
3/5/23, 10:27:01 AM,%RH,94.768
3/5/23, 11:27:01 AM,%RH,92.791
