1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 250000006D981041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:48:01 PST 2023
Mission Sample Count:  2180
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:48:01 PST 2023
Total Mission Samples:  2180
Total Device Samples:  24752
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:48:01 PM,%RH,43.045
3/2/23, 4:48:01 PM,%RH,58.086
3/2/23, 5:48:01 PM,%RH,81.612
3/2/23, 6:48:01 PM,%RH,92.515
3/2/23, 7:48:01 PM,%RH,97.601
3/2/23, 8:48:01 PM,%RH,93.458
3/2/23, 9:48:01 PM,%RH,94.393
3/2/23, 10:48:01 PM,%RH,97.148
3/2/23, 11:48:01 PM,%RH,98.499
3/3/23, 12:48:01 AM,%RH,97.601
3/3/23, 1:48:01 AM,%RH,98.945
3/3/23, 2:48:01 AM,%RH,98.499
3/3/23, 3:48:01 AM,%RH,99.389
3/3/23, 4:48:01 AM,%RH,99.389
3/3/23, 5:48:01 AM,%RH,100
3/3/23, 6:48:01 AM,%RH,100
3/3/23, 7:48:01 AM,%RH,100
3/3/23, 8:48:01 AM,%RH,100
3/3/23, 9:48:01 AM,%RH,62.254
3/3/23, 10:48:01 AM,%RH,54.435
3/3/23, 11:48:01 AM,%RH,47.552
3/3/23, 12:48:01 PM,%RH,48.188
3/3/23, 1:48:01 PM,%RH,45.633
3/3/23, 2:48:01 PM,%RH,52.582
3/3/23, 3:48:01 PM,%RH,69.733
3/3/23, 4:48:01 PM,%RH,79.525
3/3/23, 5:48:01 PM,%RH,89.638
3/3/23, 6:48:01 PM,%RH,99.389
3/3/23, 7:48:01 PM,%RH,99.832
3/3/23, 8:48:01 PM,%RH,100
3/3/23, 9:48:01 PM,%RH,100
3/3/23, 10:48:01 PM,%RH,100
3/3/23, 11:48:01 PM,%RH,100
3/4/23, 12:48:01 AM,%RH,100
3/4/23, 1:48:01 AM,%RH,98.945
3/4/23, 2:48:01 AM,%RH,100
3/4/23, 3:48:01 AM,%RH,100
3/4/23, 4:48:01 AM,%RH,100
3/4/23, 5:48:01 AM,%RH,100
3/4/23, 6:48:01 AM,%RH,100
3/4/23, 7:48:01 AM,%RH,97.148
3/4/23, 8:48:01 AM,%RH,79.525
3/4/23, 9:48:01 AM,%RH,82.129
3/4/23, 10:48:01 AM,%RH,84.176
3/4/23, 11:48:01 AM,%RH,81.612
3/4/23, 12:48:01 PM,%RH,55.66
3/4/23, 1:48:01 PM,%RH,72.518
3/4/23, 2:48:01 PM,%RH,74.71
3/4/23, 3:48:01 PM,%RH,77.938
3/4/23, 4:48:01 PM,%RH,85.69
3/4/23, 5:48:01 PM,%RH,90.123
3/4/23, 6:48:01 PM,%RH,90.123
3/4/23, 7:48:01 PM,%RH,89.152
3/4/23, 8:48:01 PM,%RH,94.393
3/4/23, 9:48:01 PM,%RH,98.945
3/4/23, 10:48:01 PM,%RH,99.832
3/4/23, 11:48:01 PM,%RH,100
3/5/23, 12:48:01 AM,%RH,100
3/5/23, 1:48:01 AM,%RH,100
3/5/23, 2:48:01 AM,%RH,100
3/5/23, 3:48:01 AM,%RH,100
3/5/23, 4:48:01 AM,%RH,100
3/5/23, 5:48:01 AM,%RH,100
3/5/23, 6:48:01 AM,%RH,100
3/5/23, 7:48:01 AM,%RH,100
3/5/23, 8:48:01 AM,%RH,94.393
3/5/23, 9:48:01 AM,%RH,90.123
3/5/23, 10:48:01 AM,%RH,80.572
3/5/23, 11:48:01 AM,%RH,92.041
3/5/23, 12:48:01 PM,%RH,87.68
3/5/23, 1:48:01 PM,%RH,86.19
3/5/23, 2:48:01 PM,%RH,86.19
3/5/23, 3:48:01 PM,%RH,86.689
3/5/23, 4:48:01 PM,%RH,90.123
3/5/23, 5:48:01 PM,%RH,95.319
3/5/23, 6:48:01 PM,%RH,97.601
3/5/23, 7:48:01 PM,%RH,100
3/5/23, 8:48:01 PM,%RH,100
3/5/23, 9:48:01 PM,%RH,100
3/5/23, 10:48:01 PM,%RH,100
3/5/23, 11:48:01 PM,%RH,100
3/6/23, 12:48:01 AM,%RH,100
3/6/23, 1:48:01 AM,%RH,100
3/6/23, 2:48:01 AM,%RH,100
3/6/23, 3:48:01 AM,%RH,100
3/6/23, 4:48:01 AM,%RH,100
3/6/23, 5:48:01 AM,%RH,100
3/6/23, 6:48:01 AM,%RH,99.832
3/6/23, 7:48:01 AM,%RH,82.129
3/6/23, 8:48:01 AM,%RH,74.165
3/6/23, 9:48:01 AM,%RH,71.965
3/6/23, 10:48:01 AM,%RH,70.853
3/6/23, 11:48:01 AM,%RH,71.965
3/6/23, 12:48:01 PM,%RH,61.665
3/6/23, 1:48:01 PM,%RH,62.842
3/6/23, 2:48:01 PM,%RH,56.877
3/6/23, 3:48:01 PM,%RH,69.733
3/6/23, 4:48:01 PM,%RH,76.333
3/6/23, 5:48:01 PM,%RH,83.156
3/6/23, 6:48:01 PM,%RH,88.663
3/6/23, 7:48:01 PM,%RH,92.041
3/6/23, 8:48:01 PM,%RH,96.238
3/6/23, 9:48:01 PM,%RH,100
3/6/23, 10:48:01 PM,%RH,100
3/6/23, 11:48:01 PM,%RH,100
3/7/23, 12:48:01 AM,%RH,100
3/7/23, 1:48:01 AM,%RH,100
3/7/23, 2:48:01 AM,%RH,100
3/7/23, 3:48:01 AM,%RH,100
3/7/23, 4:48:01 AM,%RH,100
3/7/23, 5:48:01 AM,%RH,100
3/7/23, 6:48:01 AM,%RH,100
3/7/23, 7:48:01 AM,%RH,74.165
3/7/23, 8:48:01 AM,%RH,64.592
3/7/23, 9:48:01 AM,%RH,52.582
3/7/23, 10:48:01 AM,%RH,50.083
3/7/23, 11:48:01 AM,%RH,48.188
3/7/23, 12:48:01 PM,%RH,50.083
3/7/23, 1:48:01 PM,%RH,45.633
3/7/23, 2:48:01 PM,%RH,54.435
3/7/23, 3:48:01 PM,%RH,61.665
3/7/23, 4:48:01 PM,%RH,74.165
3/7/23, 5:48:01 PM,%RH,83.156
3/7/23, 6:48:01 PM,%RH,88.663
3/7/23, 7:48:01 PM,%RH,95.78
3/7/23, 8:48:01 PM,%RH,97.601
3/7/23, 9:48:01 PM,%RH,98.499
3/7/23, 10:48:01 PM,%RH,98.499
3/7/23, 11:48:01 PM,%RH,98.499
3/8/23, 12:48:01 AM,%RH,97.601
3/8/23, 1:48:01 AM,%RH,96.238
3/8/23, 2:48:01 AM,%RH,98.051
3/8/23, 3:48:01 AM,%RH,98.945
3/8/23, 4:48:01 AM,%RH,97.148
3/8/23, 5:48:01 AM,%RH,98.499
3/8/23, 6:48:01 AM,%RH,97.601
3/8/23, 7:48:01 AM,%RH,82.129
3/8/23, 8:48:01 AM,%RH,65.171
3/8/23, 9:48:01 AM,%RH,62.254
3/8/23, 10:48:01 AM,%RH,58.086
3/8/23, 11:48:01 AM,%RH,58.688
3/8/23, 12:48:01 PM,%RH,51.96
3/8/23, 1:48:01 PM,%RH,52.582
3/8/23, 2:48:01 PM,%RH,51.336
3/8/23, 3:48:01 PM,%RH,64.592
3/8/23, 4:48:01 PM,%RH,77.938
3/8/23, 5:48:01 PM,%RH,85.69
3/8/23, 6:48:01 PM,%RH,94.393
3/8/23, 7:48:01 PM,%RH,98.051
3/8/23, 8:48:01 PM,%RH,97.148
