1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1A00000069B6B141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:23:01 PST 2023
Mission Sample Count:  2181
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:23:01 PST 2023
Total Mission Samples:  2181
Total Device Samples:  21935
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:23:01 PM,%RH,60.901
3/2/23, 4:23:01 PM,%RH,62.101
3/2/23, 5:23:01 PM,%RH,62.699
3/2/23, 6:23:01 PM,%RH,75.977
3/2/23, 7:23:01 PM,%RH,83.617
3/2/23, 8:23:01 PM,%RH,91.431
3/2/23, 9:23:01 PM,%RH,88.351
3/2/23, 10:23:01 PM,%RH,91.431
3/2/23, 11:23:01 PM,%RH,91.938
3/3/23, 12:23:01 AM,%RH,92.444
3/3/23, 1:23:01 AM,%RH,92.948
3/3/23, 2:23:01 AM,%RH,94.449
3/3/23, 3:23:01 AM,%RH,95.935
3/3/23, 4:23:01 AM,%RH,94.946
3/3/23, 5:23:01 AM,%RH,96.427
3/3/23, 6:23:01 AM,%RH,98.378
3/3/23, 7:23:01 AM,%RH,96.918
3/3/23, 8:23:01 AM,%RH,94.946
3/3/23, 9:23:01 AM,%RH,60.298
3/3/23, 10:23:01 AM,%RH,52.93
3/3/23, 11:23:01 AM,%RH,47.881
3/3/23, 12:23:01 PM,%RH,52.305
3/3/23, 1:23:01 PM,%RH,45.316
3/3/23, 2:23:01 PM,%RH,47.243
3/3/23, 3:23:01 PM,%RH,54.795
3/3/23, 4:23:01 PM,%RH,74.296
3/3/23, 5:23:01 PM,%RH,86.264
3/3/23, 6:23:01 PM,%RH,98.861
3/3/23, 7:23:01 PM,%RH,100
3/3/23, 8:23:01 PM,%RH,100
3/3/23, 9:23:01 PM,%RH,100
3/3/23, 10:23:01 PM,%RH,100
3/3/23, 11:23:01 PM,%RH,100
3/4/23, 12:23:01 AM,%RH,99.823
3/4/23, 1:23:01 AM,%RH,100
3/4/23, 2:23:01 AM,%RH,100
3/4/23, 3:23:01 AM,%RH,100
3/4/23, 4:23:01 AM,%RH,100
3/4/23, 5:23:01 AM,%RH,100
3/4/23, 6:23:01 AM,%RH,100
3/4/23, 7:23:01 AM,%RH,99.823
3/4/23, 8:23:01 AM,%RH,86.264
3/4/23, 9:23:01 AM,%RH,70.889
3/4/23, 10:23:01 AM,%RH,86.788
3/4/23, 11:23:01 AM,%RH,83.082
3/4/23, 12:23:01 PM,%RH,58.479
3/4/23, 1:23:01 PM,%RH,62.699
3/4/23, 2:23:01 PM,%RH,69.739
3/4/23, 3:23:01 PM,%RH,67.42
3/4/23, 4:23:01 PM,%RH,83.082
3/4/23, 5:23:01 PM,%RH,87.832
3/4/23, 6:23:01 PM,%RH,93.45
3/4/23, 7:23:01 PM,%RH,89.385
3/4/23, 8:23:01 PM,%RH,90.411
3/4/23, 9:23:01 PM,%RH,98.861
3/4/23, 10:23:01 PM,%RH,100
3/4/23, 11:23:01 PM,%RH,100
3/5/23, 12:23:01 AM,%RH,100
3/5/23, 1:23:01 AM,%RH,100
3/5/23, 2:23:01 AM,%RH,100
3/5/23, 3:23:01 AM,%RH,100
3/5/23, 4:23:01 AM,%RH,100
3/5/23, 5:23:01 AM,%RH,100
3/5/23, 6:23:01 AM,%RH,100
3/5/23, 7:23:01 AM,%RH,100
3/5/23, 8:23:01 AM,%RH,100
3/5/23, 9:23:01 AM,%RH,90.411
3/5/23, 10:23:01 AM,%RH,93.95
3/5/23, 11:23:01 AM,%RH,86.788
3/5/23, 12:23:01 PM,%RH,89.385
3/5/23, 1:23:01 PM,%RH,85.738
3/5/23, 2:23:01 PM,%RH,82.546
3/5/23, 3:23:01 PM,%RH,85.738
3/5/23, 4:23:01 PM,%RH,87.311
3/5/23, 5:23:01 PM,%RH,94.946
3/5/23, 6:23:01 PM,%RH,97.406
3/5/23, 7:23:01 PM,%RH,100
3/5/23, 8:23:01 PM,%RH,100
3/5/23, 9:23:01 PM,%RH,100
3/5/23, 10:23:01 PM,%RH,100
3/5/23, 11:23:01 PM,%RH,100
3/6/23, 12:23:01 AM,%RH,100
3/6/23, 1:23:01 AM,%RH,100
3/6/23, 2:23:01 AM,%RH,100
3/6/23, 3:23:01 AM,%RH,100
3/6/23, 4:23:01 AM,%RH,100
3/6/23, 5:23:01 AM,%RH,100
3/6/23, 6:23:01 AM,%RH,100
3/6/23, 7:23:01 AM,%RH,80.383
3/6/23, 8:23:01 AM,%RH,69.162
3/6/23, 9:23:01 AM,%RH,65.662
3/6/23, 10:23:01 AM,%RH,62.101
3/6/23, 11:23:01 AM,%RH,72.031
3/6/23, 12:23:01 PM,%RH,59.693
3/6/23, 1:23:01 PM,%RH,56.645
3/6/23, 2:23:01 PM,%RH,51.678
3/6/23, 3:23:01 PM,%RH,59.087
3/6/23, 4:23:01 PM,%RH,69.739
3/6/23, 5:23:01 PM,%RH,79.838
3/6/23, 6:23:01 PM,%RH,87.311
3/6/23, 7:23:01 PM,%RH,90.922
3/6/23, 8:23:01 PM,%RH,94.449
3/6/23, 9:23:01 PM,%RH,100
3/6/23, 10:23:01 PM,%RH,100
3/6/23, 11:23:01 PM,%RH,100
3/7/23, 12:23:01 AM,%RH,100
3/7/23, 1:23:01 AM,%RH,100
3/7/23, 2:23:01 AM,%RH,100
3/7/23, 3:23:01 AM,%RH,100
3/7/23, 4:23:01 AM,%RH,100
3/7/23, 5:23:01 AM,%RH,100
3/7/23, 6:23:01 AM,%RH,100
3/7/23, 7:23:01 AM,%RH,79.838
3/7/23, 8:23:01 AM,%RH,62.101
3/7/23, 9:23:01 AM,%RH,47.881
3/7/23, 10:23:01 AM,%RH,46.602
3/7/23, 11:23:01 AM,%RH,45.96
3/7/23, 12:23:01 PM,%RH,47.881
3/7/23, 1:23:01 PM,%RH,44.023
3/7/23, 2:23:01 PM,%RH,44.671
3/7/23, 3:23:01 PM,%RH,56.03
3/7/23, 4:23:01 PM,%RH,65.662
3/7/23, 5:23:01 PM,%RH,79.838
3/7/23, 6:23:01 PM,%RH,85.21
3/7/23, 7:23:01 PM,%RH,92.444
3/7/23, 8:23:01 PM,%RH,96.918
3/7/23, 9:23:01 PM,%RH,100
3/7/23, 10:23:01 PM,%RH,97.406
3/7/23, 11:23:01 PM,%RH,99.343
3/8/23, 12:23:01 AM,%RH,97.406
3/8/23, 1:23:01 AM,%RH,97.406
3/8/23, 2:23:01 AM,%RH,96.918
3/8/23, 3:23:01 AM,%RH,99.823
3/8/23, 4:23:01 AM,%RH,97.893
3/8/23, 5:23:01 AM,%RH,97.893
3/8/23, 6:23:01 AM,%RH,98.378
3/8/23, 7:23:01 AM,%RH,92.444
3/8/23, 8:23:01 AM,%RH,70.315
3/8/23, 9:23:01 AM,%RH,58.479
3/8/23, 10:23:01 AM,%RH,55.413
3/8/23, 11:23:01 AM,%RH,52.93
3/8/23, 12:23:01 PM,%RH,51.05
3/8/23, 1:23:01 PM,%RH,51.05
3/8/23, 2:23:01 PM,%RH,51.05
3/8/23, 3:23:01 PM,%RH,55.413
3/8/23, 4:23:01 PM,%RH,68.583
3/8/23, 5:23:01 PM,%RH,82.546
3/8/23, 6:23:01 PM,%RH,91.938
3/8/23, 7:23:01 PM,%RH,97.893
3/8/23, 8:23:01 PM,%RH,96.918
3/8/23, 9:23:01 PM,%RH,97.893
3/8/23, 10:23:01 PM,%RH,100
3/8/23, 11:23:01 PM,%RH,100
3/9/23, 12:23:01 AM,%RH,97.406
3/9/23, 1:23:01 AM,%RH,93.45
3/9/23, 2:23:01 AM,%RH,92.948
3/9/23, 3:23:01 AM,%RH,93.95
3/9/23, 4:23:01 AM,%RH,91.938
3/9/23, 5:23:01 AM,%RH,92.948
3/9/23, 6:23:01 AM,%RH,88.351
3/9/23, 7:23:01 AM,%RH,75.418
3/9/23, 8:23:01 AM,%RH,54.175
3/9/23, 9:23:01 AM,%RH,45.316
3/9/23, 10:23:01 AM,%RH,47.243
3/9/23, 11:23:01 AM,%RH,52.305
3/9/23, 12:23:01 PM,%RH,44.023
3/9/23, 1:23:01 PM,%RH,39.445
3/9/23, 2:23:01 PM,%RH,42.071
3/9/23, 3:23:01 PM,%RH,47.881
3/9/23, 4:23:01 PM,%RH,55.413
3/9/23, 5:23:01 PM,%RH,64.482
3/9/23, 6:23:01 PM,%RH,75.977
3/9/23, 7:23:01 PM,%RH,80.383
3/9/23, 8:23:01 PM,%RH,80.383
3/9/23, 9:23:01 PM,%RH,80.926
3/9/23, 10:23:01 PM,%RH,83.617
3/9/23, 11:23:01 PM,%RH,80.383
3/10/23, 12:23:01 AM,%RH,86.264
3/10/23, 1:23:01 AM,%RH,99.823
3/10/23, 2:23:01 AM,%RH,100
3/10/23, 3:23:01 AM,%RH,100
3/10/23, 4:23:01 AM,%RH,100
3/10/23, 5:23:01 AM,%RH,100
3/10/23, 6:23:01 AM,%RH,100
3/10/23, 7:23:01 AM,%RH,100
3/10/23, 8:23:01 AM,%RH,100
3/10/23, 9:23:01 AM,%RH,99.343
3/10/23, 10:23:01 AM,%RH,97.893
3/10/23, 11:23:01 AM,%RH,94.449
3/10/23, 12:23:01 PM,%RH,100
3/10/23, 1:23:01 PM,%RH,100
3/10/23, 2:23:01 PM,%RH,100
3/10/23, 3:23:01 PM,%RH,100
3/10/23, 4:23:01 PM,%RH,100
3/10/23, 5:23:01 PM,%RH,100
3/10/23, 6:23:01 PM,%RH,100
3/10/23, 7:23:01 PM,%RH,100
3/10/23, 8:23:01 PM,%RH,100
3/10/23, 9:23:01 PM,%RH,100
3/10/23, 10:23:01 PM,%RH,100
3/10/23, 11:23:01 PM,%RH,100
3/11/23, 12:23:01 AM,%RH,100
3/11/23, 1:23:01 AM,%RH,100
3/11/23, 2:23:01 AM,%RH,100
3/11/23, 3:23:01 AM,%RH,100
3/11/23, 4:23:01 AM,%RH,100
3/11/23, 5:23:01 AM,%RH,100
3/11/23, 6:23:01 AM,%RH,100
3/11/23, 7:23:01 AM,%RH,100
3/11/23, 8:23:01 AM,%RH,100
3/11/23, 9:23:01 AM,%RH,100
3/11/23, 10:23:01 AM,%RH,99.823
3/11/23, 11:23:01 AM,%RH,100
3/11/23, 12:23:01 PM,%RH,100
3/11/23, 1:23:01 PM,%RH,94.449
3/11/23, 2:23:01 PM,%RH,94.946
3/11/23, 3:23:01 PM,%RH,97.893
3/11/23, 4:23:01 PM,%RH,98.861
3/11/23, 5:23:01 PM,%RH,100
3/11/23, 6:23:01 PM,%RH,100
3/11/23, 7:23:01 PM,%RH,100
3/11/23, 8:23:01 PM,%RH,100
3/11/23, 9:23:01 PM,%RH,100
3/11/23, 10:23:01 PM,%RH,100
3/11/23, 11:23:01 PM,%RH,100
3/12/23, 12:23:01 AM,%RH,100
3/12/23, 1:23:01 AM,%RH,100
3/12/23, 3:23:01 AM,%RH,100
3/12/23, 4:23:01 AM,%RH,100
3/12/23, 5:23:01 AM,%RH,100
3/12/23, 6:23:01 AM,%RH,100
3/12/23, 7:23:01 AM,%RH,100
3/12/23, 8:23:01 AM,%RH,88.869
3/12/23, 9:23:01 AM,%RH,76.533
3/12/23, 10:23:01 AM,%RH,73.732
3/12/23, 11:23:01 AM,%RH,72.6
3/12/23, 12:23:01 PM,%RH,75.418
3/12/23, 1:23:01 PM,%RH,69.162
3/12/23, 2:23:01 PM,%RH,69.739
3/12/23, 3:23:01 PM,%RH,66.836
3/12/23, 4:23:01 PM,%RH,69.162
3/12/23, 5:23:01 PM,%RH,84.681
3/12/23, 6:23:01 PM,%RH,91.938
3/12/23, 7:23:01 PM,%RH,100
3/12/23, 8:23:01 PM,%RH,100
3/12/23, 9:23:01 PM,%RH,100
3/12/23, 10:23:01 PM,%RH,100
3/12/23, 11:23:01 PM,%RH,100
3/13/23, 12:23:01 AM,%RH,100
3/13/23, 1:23:01 AM,%RH,100
3/13/23, 2:23:01 AM,%RH,100
3/13/23, 3:23:01 AM,%RH,100
3/13/23, 4:23:01 AM,%RH,100
3/13/23, 5:23:01 AM,%RH,100
