1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5B0000006DA0C041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:56:01 PST 2023
Mission Sample Count:  2179
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:56:01 PST 2023
Total Mission Samples:  2179
Total Device Samples:  25809
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:56:01 PM,%RH,32.039
3/2/23, 4:56:01 PM,%RH,66.047
3/2/23, 5:56:01 PM,%RH,89.401
3/2/23, 6:56:01 PM,%RH,95.576
3/2/23, 7:56:01 PM,%RH,100.553
3/2/23, 8:56:01 PM,%RH,97.085
3/2/23, 9:56:01 PM,%RH,96.081
3/2/23, 10:56:01 PM,%RH,97.585
3/2/23, 11:56:01 PM,%RH,99.076
3/3/23, 12:56:01 AM,%RH,98.581
3/3/23, 1:56:01 AM,%RH,100.062
3/3/23, 2:56:01 AM,%RH,100.062
3/3/23, 3:56:01 AM,%RH,101.042
3/3/23, 4:56:01 AM,%RH,99.57
3/3/23, 5:56:01 AM,%RH,101.53
3/3/23, 6:56:01 AM,%RH,102.501
3/3/23, 7:56:01 AM,%RH,104.901
3/3/23, 8:56:01 AM,%RH,91.484
3/3/23, 9:56:01 AM,%RH,60.087
3/3/23, 10:56:01 AM,%RH,55.824
3/3/23, 11:56:01 AM,%RH,52.733
3/3/23, 12:56:01 PM,%RH,57.05
3/3/23, 1:56:01 PM,%RH,60.087
3/3/23, 2:56:01 PM,%RH,55.209
3/3/23, 3:56:01 PM,%RH,64.275
3/3/23, 4:56:01 PM,%RH,83.005
3/3/23, 5:56:01 PM,%RH,93.03
3/3/23, 6:56:01 PM,%RH,98.581
3/3/23, 7:56:01 PM,%RH,101.53
3/3/23, 8:56:01 PM,%RH,103.945
3/3/23, 9:56:01 PM,%RH,105.85
3/3/23, 10:56:01 PM,%RH,106.793
3/3/23, 11:56:01 PM,%RH,104.424
3/4/23, 12:56:01 AM,%RH,99.57
3/4/23, 1:56:01 AM,%RH,101.53
3/4/23, 2:56:01 AM,%RH,102.984
3/4/23, 3:56:01 AM,%RH,102.501
3/4/23, 4:56:01 AM,%RH,104.424
3/4/23, 5:56:01 AM,%RH,105.85
3/4/23, 6:56:01 AM,%RH,102.501
3/4/23, 7:56:01 AM,%RH,100.062
3/4/23, 8:56:01 AM,%RH,76.948
3/4/23, 9:56:01 AM,%RH,86.763
3/4/23, 10:56:01 AM,%RH,85.697
3/4/23, 11:56:01 AM,%RH,87.294
3/4/23, 12:56:01 PM,%RH,62.49
3/4/23, 1:56:01 PM,%RH,77.506
3/4/23, 2:56:01 PM,%RH,75.826
3/4/23, 3:56:01 PM,%RH,82.462
3/4/23, 4:56:01 PM,%RH,87.294
3/4/23, 5:56:01 PM,%RH,92.001
3/4/23, 6:56:01 PM,%RH,92.001
3/4/23, 7:56:01 PM,%RH,91.484
3/4/23, 8:56:01 PM,%RH,98.084
3/4/23, 9:56:01 PM,%RH,102.016
3/4/23, 10:56:01 PM,%RH,104.901
3/4/23, 11:56:01 PM,%RH,102.501
3/5/23, 12:56:01 AM,%RH,104.424
3/5/23, 1:56:01 AM,%RH,105.376
3/5/23, 2:56:01 AM,%RH,104.901
3/5/23, 3:56:01 AM,%RH,105.85
3/5/23, 4:56:01 AM,%RH,104.901
3/5/23, 5:56:01 AM,%RH,105.376
3/5/23, 6:56:01 AM,%RH,106.793
3/5/23, 7:56:01 AM,%RH,106.793
3/5/23, 8:56:01 AM,%RH,95.576
3/5/23, 9:56:01 AM,%RH,95.07
3/5/23, 10:56:01 AM,%RH,89.401
3/5/23, 11:56:01 AM,%RH,99.076
3/5/23, 12:56:01 PM,%RH,89.924
3/5/23, 1:56:01 PM,%RH,89.924
3/5/23, 2:56:01 PM,%RH,89.401
3/5/23, 3:56:01 PM,%RH,89.924
3/5/23, 4:56:01 PM,%RH,95.07
3/5/23, 5:56:01 PM,%RH,98.084
3/5/23, 6:56:01 PM,%RH,101.53
3/5/23, 7:56:01 PM,%RH,103.945
3/5/23, 8:56:01 PM,%RH,105.85
3/5/23, 9:56:01 PM,%RH,105.376
3/5/23, 10:56:01 PM,%RH,105.376
3/5/23, 11:56:01 PM,%RH,103.945
3/6/23, 12:56:01 AM,%RH,104.901
3/6/23, 1:56:01 AM,%RH,104.901
3/6/23, 2:56:01 AM,%RH,105.376
3/6/23, 3:56:01 AM,%RH,107.262
3/6/23, 4:56:01 AM,%RH,106.793
3/6/23, 5:56:01 AM,%RH,106.793
3/6/23, 6:56:01 AM,%RH,98.581
3/6/23, 7:56:01 AM,%RH,85.162
3/6/23, 8:56:01 AM,%RH,82.462
3/6/23, 9:56:01 AM,%RH,76.388
3/6/23, 10:56:01 AM,%RH,76.948
3/6/23, 11:56:01 AM,%RH,78.063
3/6/23, 12:56:01 PM,%RH,68.969
3/6/23, 1:56:01 PM,%RH,66.635
3/6/23, 2:56:01 PM,%RH,61.292
3/6/23, 3:56:01 PM,%RH,76.948
3/6/23, 4:56:01 PM,%RH,79.724
3/6/23, 5:56:01 PM,%RH,86.231
3/6/23, 6:56:01 PM,%RH,92.516
3/6/23, 7:56:01 PM,%RH,95.576
3/6/23, 8:56:01 PM,%RH,99.57
3/6/23, 9:56:01 PM,%RH,103.465
3/6/23, 10:56:01 PM,%RH,105.85
3/6/23, 11:56:01 PM,%RH,106.793
3/7/23, 12:56:01 AM,%RH,107.262
3/7/23, 1:56:01 AM,%RH,107.262
3/7/23, 2:56:01 AM,%RH,106.793
3/7/23, 3:56:01 AM,%RH,106.793
3/7/23, 4:56:01 AM,%RH,107.262
3/7/23, 5:56:01 AM,%RH,107.262
3/7/23, 6:56:01 AM,%RH,94.562
3/7/23, 7:56:01 AM,%RH,75.826
3/7/23, 8:56:01 AM,%RH,69.549
3/7/23, 9:56:01 AM,%RH,56.438
3/7/23, 10:56:01 AM,%RH,58.269
3/7/23, 11:56:01 AM,%RH,55.824
3/7/23, 12:56:01 PM,%RH,50.232
3/7/23, 1:56:01 PM,%RH,53.974
3/7/23, 2:56:01 PM,%RH,58.269
3/7/23, 3:56:01 PM,%RH,58.877
3/7/23, 4:56:01 PM,%RH,79.172
3/7/23, 5:56:01 PM,%RH,83.547
3/7/23, 6:56:01 PM,%RH,89.401
3/7/23, 7:56:01 PM,%RH,101.042
3/7/23, 8:56:01 PM,%RH,102.016
3/7/23, 9:56:01 PM,%RH,102.984
3/7/23, 10:56:01 PM,%RH,103.945
3/7/23, 11:56:01 PM,%RH,103.465
3/8/23, 12:56:01 AM,%RH,102.501
3/8/23, 1:56:01 AM,%RH,101.53
3/8/23, 2:56:01 AM,%RH,102.984
3/8/23, 3:56:01 AM,%RH,102.984
3/8/23, 4:56:01 AM,%RH,101.042
3/8/23, 5:56:01 AM,%RH,102.501
3/8/23, 6:56:01 AM,%RH,101.53
3/8/23, 7:56:01 AM,%RH,77.506
3/8/23, 8:56:01 AM,%RH,71.28
3/8/23, 9:56:01 AM,%RH,66.635
3/8/23, 10:56:01 AM,%RH,61.292
3/8/23, 11:56:01 AM,%RH,65.458
3/8/23, 12:56:01 PM,%RH,56.438
3/8/23, 1:56:01 PM,%RH,52.11
3/8/23, 2:56:01 PM,%RH,55.209
