1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FD00000069B84041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 17:02:01 PST 2023
Mission Sample Count:  2179
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 17:02:01 PST 2023
Total Mission Samples:  2179
Total Device Samples:  21902
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 5:02:01 PM,%RH,87.932
3/2/23, 6:02:01 PM,%RH,98.224
3/2/23, 7:02:01 PM,%RH,100
3/2/23, 8:02:01 PM,%RH,100
3/2/23, 9:02:01 PM,%RH,98.224
3/2/23, 10:02:01 PM,%RH,99.715
3/2/23, 11:02:01 PM,%RH,100
3/3/23, 12:02:01 AM,%RH,100
3/3/23, 1:02:01 AM,%RH,100
3/3/23, 2:02:01 AM,%RH,100
3/3/23, 3:02:01 AM,%RH,100
3/3/23, 4:02:01 AM,%RH,100
3/3/23, 5:02:01 AM,%RH,100
3/3/23, 6:02:01 AM,%RH,100
3/3/23, 7:02:01 AM,%RH,100
3/3/23, 8:02:01 AM,%RH,100
3/3/23, 9:02:01 AM,%RH,55.231
3/3/23, 10:02:01 AM,%RH,57.076
3/3/23, 11:02:01 AM,%RH,57.076
3/3/23, 12:02:01 PM,%RH,55.231
3/3/23, 1:02:01 PM,%RH,50.242
3/3/23, 2:02:01 PM,%RH,50.242
3/3/23, 3:02:01 PM,%RH,55.231
3/3/23, 4:02:01 PM,%RH,70.188
3/3/23, 5:02:01 PM,%RH,85.8
3/3/23, 6:02:01 PM,%RH,95.709
3/3/23, 7:02:01 PM,%RH,100
3/3/23, 8:02:01 PM,%RH,100
3/3/23, 9:02:01 PM,%RH,100
3/3/23, 10:02:01 PM,%RH,100
3/3/23, 11:02:01 PM,%RH,100
3/4/23, 12:02:01 AM,%RH,100
3/4/23, 1:02:01 AM,%RH,100
3/4/23, 2:02:01 AM,%RH,100
3/4/23, 3:02:01 AM,%RH,100
3/4/23, 4:02:01 AM,%RH,100
3/4/23, 5:02:01 AM,%RH,100
3/4/23, 6:02:01 AM,%RH,100
3/4/23, 7:02:01 AM,%RH,100
3/4/23, 8:02:01 AM,%RH,97.222
3/4/23, 9:02:01 AM,%RH,71.918
