1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 430000006D9D2341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 14:54:01 PST 2023
Mission Sample Count:  2182
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 14:54:01 PST 2023
Total Mission Samples:  2182
Total Device Samples:  25898
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 2:54:01 PM,C,24.105
3/2/23, 3:54:01 PM,C,23.105
3/2/23, 4:54:01 PM,C,14.595
3/2/23, 5:54:01 PM,C,9.083
3/2/23, 6:54:01 PM,C,5.572
3/2/23, 7:54:01 PM,C,4.067
3/2/23, 8:54:01 PM,C,3.565
3/2/23, 9:54:01 PM,C,4.067
3/2/23, 10:54:01 PM,C,4.067
3/2/23, 11:54:01 PM,C,3.565
3/3/23, 12:54:01 AM,C,3.565
3/3/23, 1:54:01 AM,C,3.565
3/3/23, 2:54:01 AM,C,3.064
3/3/23, 3:54:01 AM,C,3.064
3/3/23, 4:54:01 AM,C,2.562
3/3/23, 5:54:01 AM,C,2.06
3/3/23, 6:54:01 AM,C,2.562
3/3/23, 7:54:01 AM,C,5.572
3/3/23, 8:54:01 AM,C,10.587
3/3/23, 9:54:01 AM,C,24.605
3/3/23, 10:54:01 AM,C,27.605
3/3/23, 11:54:01 AM,C,27.105
3/3/23, 12:54:01 PM,C,27.605
3/3/23, 1:54:01 PM,C,27.105
3/3/23, 2:54:01 PM,C,20.603
3/3/23, 3:54:01 PM,C,15.096
3/3/23, 4:54:01 PM,C,11.088
3/3/23, 5:54:01 PM,C,8.581
3/3/23, 6:54:01 PM,C,6.576
3/3/23, 7:54:01 PM,C,5.572
3/3/23, 8:54:01 PM,C,4.067
3/3/23, 9:54:01 PM,C,4.067
3/3/23, 10:54:01 PM,C,3.565
3/3/23, 11:54:01 PM,C,4.569
3/4/23, 12:54:01 AM,C,4.067
3/4/23, 1:54:01 AM,C,3.565
3/4/23, 2:54:01 AM,C,3.565
3/4/23, 3:54:01 AM,C,3.064
3/4/23, 4:54:01 AM,C,2.562
3/4/23, 5:54:01 AM,C,2.562
3/4/23, 6:54:01 AM,C,4.569
3/4/23, 7:54:01 AM,C,8.08
3/4/23, 8:54:01 AM,C,20.103
3/4/23, 9:54:01 AM,C,12.09
3/4/23, 10:54:01 AM,C,13.593
3/4/23, 11:54:01 AM,C,13.593
3/4/23, 12:54:01 PM,C,22.605
3/4/23, 1:54:01 PM,C,14.094
3/4/23, 2:54:01 PM,C,14.094
3/4/23, 3:54:01 PM,C,11.088
3/4/23, 4:54:01 PM,C,9.584
3/4/23, 5:54:01 PM,C,7.579
3/4/23, 6:54:01 PM,C,7.579
3/4/23, 7:54:01 PM,C,7.077
3/4/23, 8:54:01 PM,C,6.576
3/4/23, 9:54:01 PM,C,5.572
3/4/23, 10:54:01 PM,C,5.071
3/4/23, 11:54:01 PM,C,6.074
3/5/23, 12:54:01 AM,C,5.071
3/5/23, 1:54:01 AM,C,5.071
3/5/23, 2:54:01 AM,C,5.572
3/5/23, 3:54:01 AM,C,5.572
3/5/23, 4:54:01 AM,C,5.572
3/5/23, 5:54:01 AM,C,5.572
3/5/23, 6:54:01 AM,C,6.074
3/5/23, 7:54:01 AM,C,6.074
3/5/23, 8:54:01 AM,C,16.098
3/5/23, 9:54:01 AM,C,13.593
3/5/23, 10:54:01 AM,C,19.102
3/5/23, 11:54:01 AM,C,11.088
3/5/23, 12:54:01 PM,C,12.591
3/5/23, 1:54:01 PM,C,9.584
3/5/23, 2:54:01 PM,C,11.589
3/5/23, 3:54:01 PM,C,10.086
3/5/23, 4:54:01 PM,C,9.083
3/5/23, 5:54:01 PM,C,7.579
3/5/23, 6:54:01 PM,C,7.077
3/5/23, 7:54:01 PM,C,7.077
3/5/23, 8:54:01 PM,C,7.077
3/5/23, 9:54:01 PM,C,7.077
3/5/23, 10:54:01 PM,C,6.576
3/5/23, 11:54:01 PM,C,5.572
3/6/23, 12:54:01 AM,C,4.569
3/6/23, 1:54:01 AM,C,4.569
3/6/23, 2:54:01 AM,C,3.565
3/6/23, 3:54:01 AM,C,3.565
3/6/23, 4:54:01 AM,C,3.064
3/6/23, 5:54:01 AM,C,2.562
3/6/23, 6:54:01 AM,C,5.572
3/6/23, 7:54:01 AM,C,13.092
3/6/23, 8:54:01 AM,C,20.603
3/6/23, 9:54:01 AM,C,23.605
3/6/23, 10:54:01 AM,C,19.602
3/6/23, 11:54:01 AM,C,16.599
3/6/23, 12:54:01 PM,C,21.604
3/6/23, 1:54:01 PM,C,19.602
3/6/23, 2:54:01 PM,C,20.103
3/6/23, 3:54:01 PM,C,13.593
3/6/23, 4:54:01 PM,C,10.587
3/6/23, 5:54:01 PM,C,8.581
3/6/23, 6:54:01 PM,C,7.579
3/6/23, 7:54:01 PM,C,7.579
3/6/23, 8:54:01 PM,C,6.576
3/6/23, 9:54:01 PM,C,5.071
3/6/23, 10:54:01 PM,C,3.565
3/6/23, 11:54:01 PM,C,3.064
3/7/23, 12:54:01 AM,C,3.064
3/7/23, 1:54:01 AM,C,3.565
3/7/23, 2:54:01 AM,C,3.064
3/7/23, 3:54:01 AM,C,2.06
3/7/23, 4:54:01 AM,C,2.06
3/7/23, 5:54:01 AM,C,1.056
3/7/23, 6:54:01 AM,C,6.576
3/7/23, 7:54:01 AM,C,16.098
3/7/23, 8:54:01 AM,C,23.105
3/7/23, 9:54:01 AM,C,26.605
3/7/23, 10:54:01 AM,C,27.605
3/7/23, 11:54:01 AM,C,29.105
3/7/23, 12:54:01 PM,C,29.604
3/7/23, 1:54:01 PM,C,28.105
3/7/23, 2:54:01 PM,C,21.604
3/7/23, 3:54:01 PM,C,15.597
3/7/23, 4:54:01 PM,C,10.587
3/7/23, 5:54:01 PM,C,7.579
3/7/23, 6:54:01 PM,C,5.572
3/7/23, 7:54:01 PM,C,4.067
3/7/23, 8:54:01 PM,C,3.064
3/7/23, 9:54:01 PM,C,2.562
3/7/23, 10:54:01 PM,C,3.064
3/7/23, 11:54:01 PM,C,3.064
3/8/23, 12:54:01 AM,C,2.562
3/8/23, 1:54:01 AM,C,2.562
3/8/23, 2:54:01 AM,C,2.562
3/8/23, 3:54:01 AM,C,2.06
3/8/23, 4:54:01 AM,C,2.562
3/8/23, 5:54:01 AM,C,2.06
3/8/23, 6:54:01 AM,C,3.064
3/8/23, 7:54:01 AM,C,14.595
3/8/23, 8:54:01 AM,C,21.104
3/8/23, 9:54:01 AM,C,25.605
3/8/23, 10:54:01 AM,C,28.105
3/8/23, 11:54:01 AM,C,17.099
3/8/23, 12:54:01 PM,C,24.105
3/8/23, 1:54:01 PM,C,23.605
3/8/23, 2:54:01 PM,C,21.104
3/8/23, 3:54:01 PM,C,16.599
3/8/23, 4:54:01 PM,C,12.591
3/8/23, 5:54:01 PM,C,9.083
3/8/23, 6:54:01 PM,C,7.077
3/8/23, 7:54:01 PM,C,5.572
3/8/23, 8:54:01 PM,C,5.572
3/8/23, 9:54:01 PM,C,4.569
3/8/23, 10:54:01 PM,C,5.572
3/8/23, 11:54:01 PM,C,6.074
3/9/23, 12:54:01 AM,C,5.572
3/9/23, 1:54:01 AM,C,4.569
3/9/23, 2:54:01 AM,C,4.569
3/9/23, 3:54:01 AM,C,3.064
3/9/23, 4:54:01 AM,C,3.565
3/9/23, 5:54:01 AM,C,3.064
3/9/23, 6:54:01 AM,C,4.569
3/9/23, 7:54:01 AM,C,12.09
3/9/23, 8:54:01 AM,C,18.101
3/9/23, 9:54:01 AM,C,23.605
3/9/23, 10:54:01 AM,C,26.605
3/9/23, 11:54:01 AM,C,27.605
3/9/23, 12:54:01 PM,C,26.605
3/9/23, 1:54:01 PM,C,24.105
3/9/23, 2:54:01 PM,C,20.603
3/9/23, 3:54:01 PM,C,16.599
3/9/23, 4:54:01 PM,C,15.096
3/9/23, 5:54:01 PM,C,12.591
3/9/23, 6:54:01 PM,C,11.088
3/9/23, 7:54:01 PM,C,10.086
3/9/23, 8:54:01 PM,C,10.086
3/9/23, 9:54:01 PM,C,9.584
3/9/23, 10:54:01 PM,C,9.584
3/9/23, 11:54:01 PM,C,9.584
3/10/23, 12:54:01 AM,C,7.579
3/10/23, 1:54:01 AM,C,7.077
3/10/23, 2:54:01 AM,C,7.077
3/10/23, 3:54:01 AM,C,6.576
3/10/23, 4:54:01 AM,C,6.576
3/10/23, 5:54:01 AM,C,7.077
3/10/23, 6:54:01 AM,C,7.579
3/10/23, 7:54:01 AM,C,8.581
3/10/23, 8:54:01 AM,C,9.584
3/10/23, 9:54:01 AM,C,11.088
3/10/23, 10:54:01 AM,C,12.09
3/10/23, 11:54:01 AM,C,12.591
3/10/23, 12:54:01 PM,C,11.589
3/10/23, 1:54:01 PM,C,10.086
3/10/23, 2:54:01 PM,C,11.589
3/10/23, 3:54:01 PM,C,11.088
3/10/23, 4:54:01 PM,C,10.587
3/10/23, 5:54:01 PM,C,10.086
3/10/23, 6:54:01 PM,C,10.086
3/10/23, 7:54:01 PM,C,10.086
3/10/23, 8:54:01 PM,C,10.086
3/10/23, 9:54:01 PM,C,10.587
3/10/23, 10:54:01 PM,C,10.587
3/10/23, 11:54:01 PM,C,10.587
3/11/23, 12:54:01 AM,C,10.587
3/11/23, 1:54:01 AM,C,10.587
3/11/23, 2:54:01 AM,C,11.088
3/11/23, 3:54:01 AM,C,10.587
3/11/23, 4:54:01 AM,C,11.088
3/11/23, 5:54:01 AM,C,11.088
3/11/23, 6:54:01 AM,C,11.088
3/11/23, 7:54:01 AM,C,11.589
3/11/23, 8:54:01 AM,C,13.092
3/11/23, 9:54:01 AM,C,14.094
3/11/23, 10:54:01 AM,C,15.096
3/11/23, 11:54:01 AM,C,15.597
3/11/23, 12:54:01 PM,C,16.098
3/11/23, 1:54:01 PM,C,16.098
3/11/23, 2:54:01 PM,C,15.597
3/11/23, 3:54:01 PM,C,14.595
3/11/23, 4:54:01 PM,C,13.593
3/11/23, 5:54:01 PM,C,13.092
3/11/23, 6:54:01 PM,C,12.591
3/11/23, 7:54:01 PM,C,12.09
3/11/23, 8:54:01 PM,C,12.09
3/11/23, 9:54:01 PM,C,11.589
3/11/23, 10:54:01 PM,C,11.589
3/11/23, 11:54:01 PM,C,12.09
3/12/23, 12:54:01 AM,C,11.589
3/12/23, 1:54:01 AM,C,10.587
3/12/23, 3:54:01 AM,C,11.088
3/12/23, 4:54:01 AM,C,9.584
3/12/23, 5:54:01 AM,C,8.581
3/12/23, 6:54:01 AM,C,8.08
3/12/23, 7:54:01 AM,C,9.083
3/12/23, 8:54:01 AM,C,15.597
3/12/23, 9:54:01 AM,C,19.102
3/12/23, 10:54:01 AM,C,23.105
3/12/23, 11:54:01 AM,C,24.105
3/12/23, 12:54:01 PM,C,22.605
3/12/23, 1:54:01 PM,C,24.105
3/12/23, 2:54:01 PM,C,23.605
3/12/23, 3:54:01 PM,C,22.104
3/12/23, 4:54:01 PM,C,18.101
3/12/23, 5:54:01 PM,C,14.094
3/12/23, 6:54:01 PM,C,12.591
3/12/23, 7:54:01 PM,C,12.09
3/12/23, 8:54:01 PM,C,12.09
3/12/23, 9:54:01 PM,C,12.09
3/12/23, 10:54:01 PM,C,12.09
3/12/23, 11:54:01 PM,C,11.589
3/13/23, 12:54:01 AM,C,11.589
3/13/23, 1:54:01 AM,C,11.589
3/13/23, 2:54:01 AM,C,11.589
3/13/23, 3:54:01 AM,C,11.589
3/13/23, 4:54:01 AM,C,11.088
3/13/23, 5:54:01 AM,C,10.587
3/13/23, 6:54:01 AM,C,9.584
3/13/23, 7:54:01 AM,C,10.086
3/13/23, 8:54:01 AM,C,12.591
3/13/23, 9:54:01 AM,C,14.595
3/13/23, 10:54:01 AM,C,19.102
3/13/23, 11:54:01 AM,C,24.605
3/13/23, 12:54:01 PM,C,23.105
3/13/23, 1:54:01 PM,C,21.604
3/13/23, 2:54:01 PM,C,25.105
3/13/23, 3:54:01 PM,C,21.104
3/13/23, 4:54:01 PM,C,16.098
3/13/23, 5:54:01 PM,C,13.593
3/13/23, 6:54:01 PM,C,12.591
3/13/23, 7:54:01 PM,C,11.589
3/13/23, 8:54:01 PM,C,11.589
3/13/23, 9:54:01 PM,C,11.589
3/13/23, 10:54:01 PM,C,11.589
3/13/23, 11:54:01 PM,C,11.589
3/14/23, 12:54:01 AM,C,11.589
3/14/23, 1:54:01 AM,C,11.589
3/14/23, 2:54:01 AM,C,11.088
3/14/23, 3:54:01 AM,C,11.088
3/14/23, 4:54:01 AM,C,11.088
3/14/23, 5:54:01 AM,C,10.587
3/14/23, 6:54:01 AM,C,11.088
3/14/23, 7:54:01 AM,C,11.088
3/14/23, 8:54:01 AM,C,11.589
3/14/23, 9:54:01 AM,C,11.589
3/14/23, 10:54:01 AM,C,11.589
3/14/23, 11:54:01 AM,C,11.589
3/14/23, 12:54:01 PM,C,12.09
3/14/23, 1:54:01 PM,C,13.092
3/14/23, 2:54:01 PM,C,13.092
3/14/23, 3:54:01 PM,C,13.092
3/14/23, 4:54:01 PM,C,12.591
3/14/23, 5:54:01 PM,C,12.09
3/14/23, 6:54:01 PM,C,11.589
3/14/23, 7:54:01 PM,C,11.088
3/14/23, 8:54:01 PM,C,11.088
3/14/23, 9:54:01 PM,C,11.088
3/14/23, 10:54:01 PM,C,11.088
3/14/23, 11:54:01 PM,C,11.088
3/15/23, 12:54:01 AM,C,11.088
3/15/23, 1:54:01 AM,C,11.088
3/15/23, 2:54:01 AM,C,11.088
