1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B00000006D9ABD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 14:47:01 PST 2023
Mission Sample Count:  2182
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 14:47:01 PST 2023
Total Mission Samples:  2182
Total Device Samples:  25941
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 2:47:01 PM,C,22.649
3/2/23, 3:47:01 PM,C,21.148
3/2/23, 4:47:01 PM,C,17.642
3/2/23, 5:47:01 PM,C,10.623
3/2/23, 6:47:01 PM,C,6.606
3/2/23, 7:47:01 PM,C,4.596
3/2/23, 8:47:01 PM,C,4.093
3/2/23, 9:47:01 PM,C,4.596
3/2/23, 10:47:01 PM,C,4.596
3/2/23, 11:47:01 PM,C,3.591
3/3/23, 12:47:01 AM,C,4.093
3/3/23, 1:47:01 AM,C,3.591
3/3/23, 2:47:01 AM,C,3.591
3/3/23, 3:47:01 AM,C,3.088
3/3/23, 4:47:01 AM,C,3.088
3/3/23, 5:47:01 AM,C,2.585
3/3/23, 6:47:01 AM,C,2.585
3/3/23, 7:47:01 AM,C,4.093
3/3/23, 8:47:01 AM,C,7.108
3/3/23, 9:47:01 AM,C,21.148
3/3/23, 10:47:01 AM,C,24.65
3/3/23, 11:47:01 AM,C,28.15
3/3/23, 12:47:01 PM,C,27.65
3/3/23, 1:47:01 PM,C,27.65
3/3/23, 2:47:01 PM,C,24.65
3/3/23, 3:47:01 PM,C,18.143
3/3/23, 4:47:01 PM,C,12.629
3/3/23, 5:47:01 PM,C,9.117
3/3/23, 6:47:01 PM,C,7.108
3/3/23, 7:47:01 PM,C,6.606
3/3/23, 8:47:01 PM,C,4.596
3/3/23, 9:47:01 PM,C,4.093
3/3/23, 10:47:01 PM,C,4.093
3/3/23, 11:47:01 PM,C,5.099
3/4/23, 12:47:01 AM,C,4.596
3/4/23, 1:47:01 AM,C,4.093
3/4/23, 2:47:01 AM,C,3.591
3/4/23, 3:47:01 AM,C,3.591
3/4/23, 4:47:01 AM,C,3.088
3/4/23, 5:47:01 AM,C,2.585
3/4/23, 6:47:01 AM,C,4.093
3/4/23, 7:47:01 AM,C,7.108
3/4/23, 8:47:01 AM,C,19.145
3/4/23, 9:47:01 AM,C,13.131
3/4/23, 10:47:01 AM,C,12.629
3/4/23, 11:47:01 AM,C,13.633
3/4/23, 12:47:01 PM,C,26.15
3/4/23, 1:47:01 PM,C,14.635
3/4/23, 2:47:01 PM,C,14.635
3/4/23, 3:47:01 PM,C,13.131
3/4/23, 4:47:01 PM,C,10.121
3/4/23, 5:47:01 PM,C,8.615
3/4/23, 6:47:01 PM,C,7.61
3/4/23, 7:47:01 PM,C,7.61
3/4/23, 8:47:01 PM,C,7.108
3/4/23, 9:47:01 PM,C,6.104
3/4/23, 10:47:01 PM,C,5.099
3/4/23, 11:47:01 PM,C,6.104
3/5/23, 12:47:01 AM,C,5.601
3/5/23, 1:47:01 AM,C,5.601
3/5/23, 2:47:01 AM,C,6.104
3/5/23, 3:47:01 AM,C,5.601
3/5/23, 4:47:01 AM,C,5.601
3/5/23, 5:47:01 AM,C,6.104
3/5/23, 6:47:01 AM,C,6.104
3/5/23, 7:47:01 AM,C,6.606
3/5/23, 8:47:01 AM,C,14.635
3/5/23, 9:47:01 AM,C,13.131
3/5/23, 10:47:01 AM,C,18.644
3/5/23, 11:47:01 AM,C,11.626
3/5/23, 12:47:01 PM,C,12.629
3/5/23, 1:47:01 PM,C,10.623
