1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 54000000697C5A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:00:01 PST 2023
Mission Sample Count:  2182
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:00:01 PST 2023
Total Mission Samples:  2182
Total Device Samples:  21959
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:00:01 PM,C,18.574
3/2/23, 4:00:01 PM,C,18.073
3/2/23, 5:00:01 PM,C,14.069
3/2/23, 6:00:01 PM,C,8.56
3/2/23, 7:00:01 PM,C,5.053
3/2/23, 8:00:01 PM,C,4.05
3/2/23, 9:00:01 PM,C,4.05
3/2/23, 10:00:01 PM,C,4.05
3/2/23, 11:00:01 PM,C,4.05
3/3/23, 12:00:01 AM,C,3.549
3/3/23, 1:00:01 AM,C,3.549
3/3/23, 2:00:01 AM,C,3.549
3/3/23, 3:00:01 AM,C,3.048
3/3/23, 4:00:01 AM,C,3.048
3/3/23, 5:00:01 AM,C,2.546
3/3/23, 6:00:01 AM,C,2.045
3/3/23, 7:00:01 AM,C,2.546
3/3/23, 8:00:01 AM,C,4.551
3/3/23, 9:00:01 AM,C,8.56
3/3/23, 10:00:01 AM,C,23.076
3/3/23, 11:00:01 AM,C,26.076
3/3/23, 12:00:01 PM,C,24.076
3/3/23, 1:00:01 PM,C,26.576
3/3/23, 2:00:01 PM,C,24.076
3/3/23, 3:00:01 PM,C,21.576
3/3/23, 4:00:01 PM,C,19.074
3/3/23, 5:00:01 PM,C,11.065
3/3/23, 6:00:01 PM,C,8.56
3/3/23, 7:00:01 PM,C,7.057
3/3/23, 8:00:01 PM,C,5.554
3/3/23, 9:00:01 PM,C,4.05
3/3/23, 10:00:01 PM,C,4.05
3/3/23, 11:00:01 PM,C,3.549
3/4/23, 12:00:01 AM,C,5.053
3/4/23, 1:00:01 AM,C,4.551
3/4/23, 2:00:01 AM,C,3.549
3/4/23, 3:00:01 AM,C,3.549
3/4/23, 4:00:01 AM,C,3.048
3/4/23, 5:00:01 AM,C,2.546
3/4/23, 6:00:01 AM,C,2.546
3/4/23, 7:00:01 AM,C,7.057
3/4/23, 8:00:01 AM,C,9.562
3/4/23, 9:00:01 AM,C,21.576
3/4/23, 10:00:01 AM,C,11.065
3/4/23, 11:00:01 AM,C,14.57
3/4/23, 12:00:01 PM,C,15.07
3/4/23, 1:00:01 PM,C,18.073
3/4/23, 2:00:01 PM,C,13.569
3/4/23, 3:00:01 PM,C,16.072
3/4/23, 4:00:01 PM,C,11.065
3/4/23, 5:00:01 PM,C,9.562
3/4/23, 6:00:01 PM,C,7.558
3/4/23, 7:00:01 PM,C,7.558
3/4/23, 8:00:01 PM,C,7.057
3/4/23, 9:00:01 PM,C,6.055
3/4/23, 10:00:01 PM,C,5.554
3/4/23, 11:00:01 PM,C,5.053
3/5/23, 12:00:01 AM,C,6.055
3/5/23, 1:00:01 AM,C,5.053
3/5/23, 2:00:01 AM,C,5.053
3/5/23, 3:00:01 AM,C,5.554
3/5/23, 4:00:01 AM,C,5.554
3/5/23, 5:00:01 AM,C,5.554
3/5/23, 6:00:01 AM,C,5.554
3/5/23, 7:00:01 AM,C,6.055
3/5/23, 8:00:01 AM,C,6.055
3/5/23, 9:00:01 AM,C,14.069
3/5/23, 10:00:01 AM,C,13.068
3/5/23, 11:00:01 AM,C,17.073
3/5/23, 12:00:01 PM,C,11.566
3/5/23, 1:00:01 PM,C,12.066
3/5/23, 2:00:01 PM,C,10.063
3/5/23, 3:00:01 PM,C,11.065
3/5/23, 4:00:01 PM,C,10.063
3/5/23, 5:00:01 PM,C,8.56
3/5/23, 6:00:01 PM,C,8.059
3/5/23, 7:00:01 PM,C,7.057
3/5/23, 8:00:01 PM,C,7.057
3/5/23, 9:00:01 PM,C,7.057
3/5/23, 10:00:01 PM,C,6.556
3/5/23, 11:00:01 PM,C,6.556
3/6/23, 12:00:01 AM,C,5.554
3/6/23, 1:00:01 AM,C,5.053
3/6/23, 2:00:01 AM,C,5.053
3/6/23, 3:00:01 AM,C,4.05
3/6/23, 4:00:01 AM,C,3.549
3/6/23, 5:00:01 AM,C,3.048
3/6/23, 6:00:01 AM,C,2.546
3/6/23, 7:00:01 AM,C,8.56
3/6/23, 8:00:01 AM,C,17.073
3/6/23, 9:00:01 AM,C,23.076
3/6/23, 10:00:01 AM,C,25.576
3/6/23, 11:00:01 AM,C,18.073
3/6/23, 12:00:01 PM,C,17.573
3/6/23, 1:00:01 PM,C,19.574
3/6/23, 2:00:01 PM,C,18.574
3/6/23, 3:00:01 PM,C,21.075
3/6/23, 4:00:01 PM,C,13.569
3/6/23, 5:00:01 PM,C,10.564
3/6/23, 6:00:01 PM,C,8.56
3/6/23, 7:00:01 PM,C,8.059
3/6/23, 8:00:01 PM,C,7.558
3/6/23, 9:00:01 PM,C,6.055
3/6/23, 10:00:01 PM,C,5.053
3/6/23, 11:00:01 PM,C,3.549
3/7/23, 12:00:01 AM,C,3.048
3/7/23, 1:00:01 AM,C,3.549
3/7/23, 2:00:01 AM,C,3.549
3/7/23, 3:00:01 AM,C,2.546
3/7/23, 4:00:01 AM,C,1.544
3/7/23, 5:00:01 AM,C,1.544
3/7/23, 6:00:01 AM,C,1.042
3/7/23, 7:00:01 AM,C,9.061
3/7/23, 8:00:01 AM,C,18.073
3/7/23, 9:00:01 AM,C,24.076
3/7/23, 10:00:01 AM,C,25.576
3/7/23, 11:00:01 AM,C,26.576
3/7/23, 12:00:01 PM,C,28.575
3/7/23, 1:00:01 PM,C,28.575
3/7/23, 2:00:01 PM,C,27.076
3/7/23, 3:00:01 PM,C,23.576
3/7/23, 4:00:01 PM,C,20.575
3/7/23, 5:00:01 PM,C,10.564
3/7/23, 6:00:01 PM,C,8.059
3/7/23, 7:00:01 PM,C,6.055
3/7/23, 8:00:01 PM,C,4.551
3/7/23, 9:00:01 PM,C,3.048
3/7/23, 10:00:01 PM,C,3.048
3/7/23, 11:00:01 PM,C,3.048
3/8/23, 12:00:01 AM,C,2.546
3/8/23, 1:00:01 AM,C,2.546
3/8/23, 2:00:01 AM,C,2.546
3/8/23, 3:00:01 AM,C,2.045
3/8/23, 4:00:01 AM,C,2.045
3/8/23, 5:00:01 AM,C,3.048
3/8/23, 6:00:01 AM,C,2.045
3/8/23, 7:00:01 AM,C,3.048
3/8/23, 8:00:01 AM,C,15.571
3/8/23, 9:00:01 AM,C,21.075
3/8/23, 10:00:01 AM,C,26.076
3/8/23, 11:00:01 AM,C,21.576
3/8/23, 12:00:01 PM,C,16.572
3/8/23, 1:00:01 PM,C,21.576
3/8/23, 2:00:01 PM,C,20.575
3/8/23, 3:00:01 PM,C,19.074
3/8/23, 4:00:01 PM,C,17.573
3/8/23, 5:00:01 PM,C,12.066
3/8/23, 6:00:01 PM,C,9.061
3/8/23, 7:00:01 PM,C,7.057
3/8/23, 8:00:01 PM,C,6.055
3/8/23, 9:00:01 PM,C,6.055
3/8/23, 10:00:01 PM,C,5.053
3/8/23, 11:00:01 PM,C,5.554
3/9/23, 12:00:01 AM,C,6.556
3/9/23, 1:00:01 AM,C,6.055
3/9/23, 2:00:01 AM,C,4.551
3/9/23, 3:00:01 AM,C,4.551
3/9/23, 4:00:01 AM,C,3.549
3/9/23, 5:00:01 AM,C,4.05
3/9/23, 6:00:01 AM,C,3.549
3/9/23, 7:00:01 AM,C,7.057
3/9/23, 8:00:01 AM,C,14.069
3/9/23, 9:00:01 AM,C,20.075
3/9/23, 10:00:01 AM,C,22.076
3/9/23, 11:00:01 AM,C,24.576
3/9/23, 12:00:01 PM,C,24.076
3/9/23, 1:00:01 PM,C,23.576
3/9/23, 2:00:01 PM,C,21.576
3/9/23, 3:00:01 PM,C,19.074
3/9/23, 4:00:01 PM,C,17.073
3/9/23, 5:00:01 PM,C,14.57
3/9/23, 6:00:01 PM,C,12.066
3/9/23, 7:00:01 PM,C,10.564
3/9/23, 8:00:01 PM,C,10.063
3/9/23, 9:00:01 PM,C,10.063
3/9/23, 10:00:01 PM,C,10.063
3/9/23, 11:00:01 PM,C,9.562
