1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000006CB73241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 14:51:01 PST 2023
Mission Sample Count:  2182
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 14:51:01 PST 2023
Total Mission Samples:  2182
Total Device Samples:  25097
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 2:51:01 PM,C,26.102
3/2/23, 3:51:01 PM,C,25.102
3/2/23, 4:51:01 PM,C,14.089
3/2/23, 5:51:01 PM,C,9.577
3/2/23, 6:51:01 PM,C,6.567
3/2/23, 7:51:01 PM,C,4.56
3/2/23, 8:51:01 PM,C,4.058
3/2/23, 9:51:01 PM,C,4.56
3/2/23, 10:51:01 PM,C,4.56
3/2/23, 11:51:01 PM,C,3.556
3/3/23, 12:51:01 AM,C,4.058
3/3/23, 1:51:01 AM,C,3.556
3/3/23, 2:51:01 AM,C,3.556
3/3/23, 3:51:01 AM,C,3.556
3/3/23, 4:51:01 AM,C,3.054
3/3/23, 5:51:01 AM,C,3.054
3/3/23, 6:51:01 AM,C,2.551
3/3/23, 7:51:01 AM,C,5.062
3/3/23, 8:51:01 AM,C,10.58
3/3/23, 9:51:01 AM,C,24.101
3/3/23, 10:51:01 AM,C,26.601
3/3/23, 11:51:01 AM,C,27.601
3/3/23, 12:51:01 PM,C,27.601
3/3/23, 1:51:01 PM,C,26.601
3/3/23, 2:51:01 PM,C,22.1
3/3/23, 3:51:01 PM,C,19.598
3/3/23, 4:51:01 PM,C,13.087
3/3/23, 5:51:01 PM,C,9.076
3/3/23, 6:51:01 PM,C,7.571
3/3/23, 7:51:01 PM,C,6.066
3/3/23, 8:51:01 PM,C,3.556
3/3/23, 9:51:01 PM,C,3.556
3/3/23, 10:51:01 PM,C,3.054
3/3/23, 11:51:01 PM,C,5.062
3/4/23, 12:51:01 AM,C,4.56
3/4/23, 1:51:01 AM,C,4.058
3/4/23, 2:51:01 AM,C,3.556
3/4/23, 3:51:01 AM,C,3.556
3/4/23, 4:51:01 AM,C,2.551
3/4/23, 5:51:01 AM,C,3.054
3/4/23, 6:51:01 AM,C,5.062
3/4/23, 7:51:01 AM,C,7.571
3/4/23, 8:51:01 AM,C,16.594
3/4/23, 9:51:01 AM,C,12.084
3/4/23, 10:51:01 AM,C,12.586
3/4/23, 11:51:01 AM,C,12.586
3/4/23, 12:51:01 PM,C,22.1
3/4/23, 1:51:01 PM,C,13.588
3/4/23, 2:51:01 PM,C,16.093
3/4/23, 3:51:01 PM,C,11.583
3/4/23, 4:51:01 PM,C,9.577
3/4/23, 5:51:01 PM,C,8.073
3/4/23, 6:51:01 PM,C,8.073
3/4/23, 7:51:01 PM,C,7.571
3/4/23, 8:51:01 PM,C,6.567
3/4/23, 9:51:01 PM,C,5.564
3/4/23, 10:51:01 PM,C,5.062
3/4/23, 11:51:01 PM,C,6.066
3/5/23, 12:51:01 AM,C,5.062
3/5/23, 1:51:01 AM,C,5.062
