1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0900000069B6BF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:33:01 PST 2023
Mission Sample Count:  2181
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:33:01 PST 2023
Total Mission Samples:  2181
Total Device Samples:  21886
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:33:01 PM,C,24.598
3/2/23, 4:33:01 PM,C,21.597
3/2/23, 5:33:01 PM,C,10.582
3/2/23, 6:33:01 PM,C,7.575
3/2/23, 7:33:01 PM,C,5.569
3/2/23, 8:33:01 PM,C,4.566
3/2/23, 9:33:01 PM,C,4.566
3/2/23, 10:33:01 PM,C,4.566
3/2/23, 11:33:01 PM,C,4.065
3/3/23, 12:33:01 AM,C,4.065
3/3/23, 1:33:01 AM,C,3.563
3/3/23, 2:33:01 AM,C,3.563
3/3/23, 3:33:01 AM,C,3.062
3/3/23, 4:33:01 AM,C,3.062
3/3/23, 5:33:01 AM,C,2.56
3/3/23, 6:33:01 AM,C,2.058
3/3/23, 7:33:01 AM,C,3.563
3/3/23, 8:33:01 AM,C,7.074
3/3/23, 9:33:01 AM,C,28.097
3/3/23, 10:33:01 AM,C,26.098
3/3/23, 11:33:01 AM,C,29.596
3/3/23, 12:33:01 PM,C,27.597
3/3/23, 1:33:01 PM,C,27.097
3/3/23, 2:33:01 PM,C,24.098
3/3/23, 3:33:01 PM,C,16.592
3/3/23, 4:33:01 PM,C,12.085
3/3/23, 5:33:01 PM,C,9.079
3/3/23, 6:33:01 PM,C,6.572
3/3/23, 7:33:01 PM,C,6.071
3/3/23, 8:33:01 PM,C,4.566
3/3/23, 9:33:01 PM,C,3.563
3/3/23, 10:33:01 PM,C,4.566
3/3/23, 11:33:01 PM,C,4.566
