1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 47000000697C5441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:08:01 PST 2023
Mission Sample Count:  2181
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:08:01 PST 2023
Total Mission Samples:  2181
Total Device Samples:  21859
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:08:01 PM,C,19.656
3/2/23, 4:08:01 PM,C,17.653
3/2/23, 5:08:01 PM,C,11.135
3/2/23, 6:08:01 PM,C,5.612
3/2/23, 7:08:01 PM,C,3.099
3/2/23, 8:08:01 PM,C,2.596
3/2/23, 9:08:01 PM,C,4.104
3/2/23, 10:08:01 PM,C,4.104
3/2/23, 11:08:01 PM,C,4.104
3/3/23, 12:08:01 AM,C,3.601
3/3/23, 1:08:01 AM,C,3.601
3/3/23, 2:08:01 AM,C,3.099
3/3/23, 3:08:01 AM,C,2.596
3/3/23, 4:08:01 AM,C,2.596
3/3/23, 5:08:01 AM,C,2.093
3/3/23, 6:08:01 AM,C,1.59
3/3/23, 7:08:01 AM,C,3.099
3/3/23, 8:08:01 AM,C,5.612
3/3/23, 9:08:01 AM,C,14.646
3/3/23, 10:08:01 AM,C,21.659
3/3/23, 11:08:01 AM,C,22.659
3/3/23, 12:08:01 PM,C,21.158
3/3/23, 1:08:01 PM,C,22.659
3/3/23, 2:08:01 PM,C,21.659
3/3/23, 3:08:01 PM,C,20.658
3/3/23, 4:08:01 PM,C,18.655
3/3/23, 5:08:01 PM,C,10.633
3/3/23, 6:08:01 PM,C,7.621
3/3/23, 7:08:01 PM,C,6.617
3/3/23, 8:08:01 PM,C,5.612
3/3/23, 9:08:01 PM,C,3.601
3/3/23, 10:08:01 PM,C,4.104
3/3/23, 11:08:01 PM,C,3.099
3/4/23, 12:08:01 AM,C,4.607
3/4/23, 1:08:01 AM,C,4.607
3/4/23, 2:08:01 AM,C,3.601
3/4/23, 3:08:01 AM,C,3.601
3/4/23, 4:08:01 AM,C,3.099
3/4/23, 5:08:01 AM,C,2.093
3/4/23, 6:08:01 AM,C,2.093
3/4/23, 7:08:01 AM,C,7.621
3/4/23, 8:08:01 AM,C,9.128
3/4/23, 9:08:01 AM,C,13.643
3/4/23, 10:08:01 AM,C,9.63
3/4/23, 11:08:01 AM,C,12.64
3/4/23, 12:08:01 PM,C,15.147
3/4/23, 1:08:01 PM,C,14.145
3/4/23, 2:08:01 PM,C,14.145
3/4/23, 3:08:01 PM,C,16.15
3/4/23, 4:08:01 PM,C,10.131
3/4/23, 5:08:01 PM,C,9.128
3/4/23, 6:08:01 PM,C,7.621
3/4/23, 7:08:01 PM,C,7.621
3/4/23, 8:08:01 PM,C,7.119
3/4/23, 9:08:01 PM,C,6.114
3/4/23, 10:08:01 PM,C,5.612
3/4/23, 11:08:01 PM,C,5.109
3/5/23, 12:08:01 AM,C,5.612
3/5/23, 1:08:01 AM,C,5.109
3/5/23, 2:08:01 AM,C,5.109
3/5/23, 3:08:01 AM,C,5.612
3/5/23, 4:08:01 AM,C,5.612
3/5/23, 5:08:01 AM,C,5.612
3/5/23, 6:08:01 AM,C,5.612
3/5/23, 7:08:01 AM,C,6.114
3/5/23, 8:08:01 AM,C,6.114
3/5/23, 9:08:01 AM,C,12.64
3/5/23, 10:08:01 AM,C,11.135
3/5/23, 11:08:01 AM,C,16.651
3/5/23, 12:08:01 PM,C,11.637
3/5/23, 1:08:01 PM,C,11.637
3/5/23, 2:08:01 PM,C,11.135
3/5/23, 3:08:01 PM,C,10.633
3/5/23, 4:08:01 PM,C,10.131
3/5/23, 5:08:01 PM,C,8.625
3/5/23, 6:08:01 PM,C,8.123
3/5/23, 7:08:01 PM,C,7.119
3/5/23, 8:08:01 PM,C,6.617
3/5/23, 9:08:01 PM,C,7.119
3/5/23, 10:08:01 PM,C,6.617
3/5/23, 11:08:01 PM,C,6.617
3/6/23, 12:08:01 AM,C,5.612
3/6/23, 1:08:01 AM,C,5.109
3/6/23, 2:08:01 AM,C,5.109
3/6/23, 3:08:01 AM,C,4.104
3/6/23, 4:08:01 AM,C,3.099
3/6/23, 5:08:01 AM,C,2.596
3/6/23, 6:08:01 AM,C,2.093
3/6/23, 7:08:01 AM,C,10.633
3/6/23, 8:08:01 AM,C,17.152
3/6/23, 9:08:01 AM,C,19.656
3/6/23, 10:08:01 AM,C,21.659
3/6/23, 11:08:01 AM,C,13.142
