1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C6000000697C7541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 14:57:01 PST 2023
Mission Sample Count:  2181
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 14:57:01 PST 2023
Total Mission Samples:  2181
Total Device Samples:  21911
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 2:57:01 PM,C,17.587
3/2/23, 3:57:01 PM,C,17.086
3/2/23, 4:57:01 PM,C,10.569
3/2/23, 5:57:01 PM,C,5.549
3/2/23, 6:57:01 PM,C,3.037
3/2/23, 7:57:01 PM,C,2.032
3/2/23, 8:57:01 PM,C,3.037
3/2/23, 9:57:01 PM,C,3.037
3/2/23, 10:57:01 PM,C,3.539
3/2/23, 11:57:01 PM,C,3.037
3/3/23, 12:57:01 AM,C,3.037
3/3/23, 1:57:01 AM,C,2.534
3/3/23, 2:57:01 AM,C,2.032
3/3/23, 3:57:01 AM,C,2.032
3/3/23, 4:57:01 AM,C,2.032
3/3/23, 5:57:01 AM,C,1.026
3/3/23, 6:57:01 AM,C,2.032
3/3/23, 7:57:01 AM,C,5.047
3/3/23, 8:57:01 AM,C,15.082
3/3/23, 9:57:01 AM,C,19.59
3/3/23, 10:57:01 AM,C,21.092
3/3/23, 11:57:01 AM,C,22.093
3/3/23, 12:57:01 PM,C,24.094
3/3/23, 1:57:01 PM,C,24.094
3/3/23, 2:57:01 PM,C,22.093
3/3/23, 3:57:01 PM,C,15.583
3/3/23, 4:57:01 PM,C,11.071
3/3/23, 5:57:01 PM,C,8.06
3/3/23, 6:57:01 PM,C,6.554
3/3/23, 7:57:01 PM,C,5.047
3/3/23, 8:57:01 PM,C,3.539
3/3/23, 9:57:01 PM,C,4.042
3/3/23, 10:57:01 PM,C,3.037
3/3/23, 11:57:01 PM,C,5.047
