1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1600000069B95C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:21:01 PST 2023
Mission Sample Count:  2180
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:21:01 PST 2023
Total Mission Samples:  2180
Total Device Samples:  21660
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:21:01 PM,C,17.629
3/2/23, 4:21:01 PM,C,16.125
3/2/23, 5:21:01 PM,C,9.103
3/2/23, 6:21:01 PM,C,6.089
3/2/23, 7:21:01 PM,C,3.576
3/2/23, 8:21:01 PM,C,3.073
3/2/23, 9:21:01 PM,C,4.079
3/2/23, 10:21:01 PM,C,4.079
3/2/23, 11:21:01 PM,C,4.079
3/3/23, 12:21:01 AM,C,4.079
3/3/23, 1:21:01 AM,C,3.576
3/3/23, 2:21:01 AM,C,3.073
3/3/23, 3:21:01 AM,C,3.073
3/3/23, 4:21:01 AM,C,3.073
3/3/23, 5:21:01 AM,C,2.571
3/3/23, 6:21:01 AM,C,1.565
3/3/23, 7:21:01 AM,C,3.576
3/3/23, 8:21:01 AM,C,6.089
3/3/23, 9:21:01 AM,C,20.133
3/3/23, 10:21:01 AM,C,22.135
3/3/23, 11:21:01 AM,C,23.636
3/3/23, 12:21:01 PM,C,24.136
3/3/23, 1:21:01 PM,C,24.637
3/3/23, 2:21:01 PM,C,24.136
3/3/23, 3:21:01 PM,C,22.636
3/3/23, 4:21:01 PM,C,18.13
3/3/23, 5:21:01 PM,C,10.609
3/3/23, 6:21:01 PM,C,7.094
3/3/23, 7:21:01 PM,C,7.094
3/3/23, 8:21:01 PM,C,5.587
3/3/23, 9:21:01 PM,C,4.582
3/3/23, 10:21:01 PM,C,6.089
3/3/23, 11:21:01 PM,C,5.084
3/4/23, 12:21:01 AM,C,5.084
3/4/23, 1:21:01 AM,C,4.582
3/4/23, 2:21:01 AM,C,4.079
3/4/23, 3:21:01 AM,C,3.576
3/4/23, 4:21:01 AM,C,3.576
3/4/23, 5:21:01 AM,C,2.068
3/4/23, 6:21:01 AM,C,2.068
3/4/23, 7:21:01 AM,C,5.084
