1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4D0000006D9F6841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:25:01 PST 2023
Mission Sample Count:  2181
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:25:01 PST 2023
Total Mission Samples:  2181
Total Device Samples:  24202
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:25:01 PM,C,24.584
3/2/23, 4:25:01 PM,C,22.583
3/2/23, 5:25:01 PM,C,7.057
3/2/23, 6:25:01 PM,C,3.546
3/2/23, 7:25:01 PM,C,2.041
3/2/23, 8:25:01 PM,C,2.041
3/2/23, 9:25:01 PM,C,3.546
3/2/23, 10:25:01 PM,C,3.044
3/2/23, 11:25:01 PM,C,2.542
3/3/23, 12:25:01 AM,C,3.044
3/3/23, 1:25:01 AM,C,2.542
3/3/23, 2:25:01 AM,C,2.542
3/3/23, 3:25:01 AM,C,2.041
3/3/23, 4:25:01 AM,C,2.041
3/3/23, 5:25:01 AM,C,1.539
3/3/23, 6:25:01 AM,C,0.535
3/3/23, 7:25:01 AM,C,3.546
3/3/23, 8:25:01 AM,C,7.558
3/3/23, 9:25:01 AM,C,17.579
3/3/23, 10:25:01 AM,C,19.581
3/3/23, 11:25:01 AM,C,22.083
3/3/23, 12:25:01 PM,C,22.083
3/3/23, 1:25:01 PM,C,23.083
3/3/23, 2:25:01 PM,C,22.083
3/3/23, 3:25:01 PM,C,20.582
3/3/23, 4:25:01 PM,C,15.576
3/3/23, 5:25:01 PM,C,10.566
3/3/23, 6:25:01 PM,C,6.556
3/3/23, 7:25:01 PM,C,7.558
3/3/23, 8:25:01 PM,C,5.553
3/3/23, 9:25:01 PM,C,4.048
3/3/23, 10:25:01 PM,C,6.054
3/3/23, 11:25:01 PM,C,5.553
3/4/23, 12:25:01 AM,C,5.051
3/4/23, 1:25:01 AM,C,5.051
3/4/23, 2:25:01 AM,C,4.549
3/4/23, 3:25:01 AM,C,4.048
3/4/23, 4:25:01 AM,C,3.546
3/4/23, 5:25:01 AM,C,3.546
3/4/23, 6:25:01 AM,C,2.041
3/4/23, 7:25:01 AM,C,5.051
3/4/23, 8:25:01 AM,C,10.566
3/4/23, 9:25:01 AM,C,13.573
3/4/23, 10:25:01 AM,C,10.566
3/4/23, 11:25:01 AM,C,12.07
3/4/23, 12:25:01 PM,C,18.58
3/4/23, 1:25:01 PM,C,14.074
3/4/23, 2:25:01 PM,C,13.072
3/4/23, 3:25:01 PM,C,16.578
3/4/23, 4:25:01 PM,C,10.065
3/4/23, 5:25:01 PM,C,9.063
3/4/23, 6:25:01 PM,C,8.06
3/4/23, 7:25:01 PM,C,8.06
3/4/23, 8:25:01 PM,C,7.558
3/4/23, 9:25:01 PM,C,6.054
3/4/23, 10:25:01 PM,C,5.553
