1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 910000006CB4DC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:50:01 PST 2023
Mission Sample Count:  2181
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:50:01 PST 2023
Total Mission Samples:  2181
Total Device Samples:  25117
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:50:01 PM,C,28.079
3/2/23, 4:50:01 PM,C,15.07
3/2/23, 5:50:01 PM,C,8.552
3/2/23, 6:50:01 PM,C,5.039
3/2/23, 7:50:01 PM,C,3.532
3/2/23, 8:50:01 PM,C,3.532
3/2/23, 9:50:01 PM,C,4.536
3/2/23, 10:50:01 PM,C,4.034
3/2/23, 11:50:01 PM,C,3.532
3/3/23, 12:50:01 AM,C,3.532
3/3/23, 1:50:01 AM,C,3.532
3/3/23, 2:50:01 AM,C,3.03
3/3/23, 3:50:01 AM,C,3.03
3/3/23, 4:50:01 AM,C,3.03
3/3/23, 5:50:01 AM,C,2.527
3/3/23, 6:50:01 AM,C,2.527
3/3/23, 7:50:01 AM,C,4.034
3/3/23, 8:50:01 AM,C,9.555
3/3/23, 9:50:01 AM,C,20.078
3/3/23, 10:50:01 AM,C,22.58
3/3/23, 11:50:01 AM,C,24.58
3/3/23, 12:50:01 PM,C,25.08
3/3/23, 1:50:01 PM,C,26.58
3/3/23, 2:50:01 PM,C,23.08
3/3/23, 3:50:01 PM,C,20.578
3/3/23, 4:50:01 PM,C,13.567
3/3/23, 5:50:01 PM,C,9.555
3/3/23, 6:50:01 PM,C,8.05
3/3/23, 7:50:01 PM,C,6.545
3/3/23, 8:50:01 PM,C,4.034
3/3/23, 9:50:01 PM,C,4.536
3/3/23, 10:50:01 PM,C,4.034
3/3/23, 11:50:01 PM,C,5.541
3/4/23, 12:50:01 AM,C,5.541
3/4/23, 1:50:01 AM,C,4.536
3/4/23, 2:50:01 AM,C,4.034
3/4/23, 3:50:01 AM,C,4.034
3/4/23, 4:50:01 AM,C,3.532
3/4/23, 5:50:01 AM,C,3.03
3/4/23, 6:50:01 AM,C,4.034
3/4/23, 7:50:01 AM,C,7.047
3/4/23, 8:50:01 AM,C,17.574
3/4/23, 9:50:01 AM,C,13.065
3/4/23, 10:50:01 AM,C,12.564
3/4/23, 11:50:01 AM,C,13.065
3/4/23, 12:50:01 PM,C,23.58
3/4/23, 1:50:01 PM,C,14.068
3/4/23, 2:50:01 PM,C,17.074
3/4/23, 3:50:01 PM,C,12.063
3/4/23, 4:50:01 PM,C,10.057
3/4/23, 5:50:01 PM,C,8.552
3/4/23, 6:50:01 PM,C,8.05
3/4/23, 7:50:01 PM,C,7.548
3/4/23, 8:50:01 PM,C,7.047
3/4/23, 9:50:01 PM,C,6.043
3/4/23, 10:50:01 PM,C,5.541
3/4/23, 11:50:01 PM,C,6.043
3/5/23, 12:50:01 AM,C,5.541
3/5/23, 1:50:01 AM,C,5.541
3/5/23, 2:50:01 AM,C,6.043
3/5/23, 3:50:01 AM,C,5.541
3/5/23, 4:50:01 AM,C,6.043
3/5/23, 5:50:01 AM,C,6.043
3/5/23, 6:50:01 AM,C,6.043
3/5/23, 7:50:01 AM,C,6.545
3/5/23, 8:50:01 AM,C,13.567
3/5/23, 9:50:01 AM,C,12.564
3/5/23, 10:50:01 AM,C,17.074
3/5/23, 11:50:01 AM,C,10.558
3/5/23, 12:50:01 PM,C,13.065
3/5/23, 1:50:01 PM,C,10.558
3/5/23, 2:50:01 PM,C,12.063
3/5/23, 3:50:01 PM,C,10.558
3/5/23, 4:50:01 PM,C,9.555
3/5/23, 5:50:01 PM,C,8.552
3/5/23, 6:50:01 PM,C,7.548
3/5/23, 7:50:01 PM,C,7.047
3/5/23, 8:50:01 PM,C,7.548
3/5/23, 9:50:01 PM,C,7.548
3/5/23, 10:50:01 PM,C,7.047
3/5/23, 11:50:01 PM,C,6.043
3/6/23, 12:50:01 AM,C,5.541
3/6/23, 1:50:01 AM,C,5.541
3/6/23, 2:50:01 AM,C,4.536
3/6/23, 3:50:01 AM,C,4.034
3/6/23, 4:50:01 AM,C,3.532
3/6/23, 5:50:01 AM,C,3.03
3/6/23, 6:50:01 AM,C,4.536
3/6/23, 7:50:01 AM,C,9.054
3/6/23, 8:50:01 AM,C,14.569
3/6/23, 9:50:01 AM,C,20.078
