1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2C00000069B9B241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 16:22:01 PST 2023
Mission Sample Count:  2180
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 16:22:01 PST 2023
Total Mission Samples:  2180
Total Device Samples:  21976
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 4:22:01 PM,C,19.093
3/2/23, 5:22:01 PM,C,9.567
3/2/23, 6:22:01 PM,C,6.052
3/2/23, 7:22:01 PM,C,4.042
3/2/23, 8:22:01 PM,C,3.036
3/2/23, 9:22:01 PM,C,4.544
3/2/23, 10:22:01 PM,C,4.042
3/2/23, 11:22:01 PM,C,3.539
3/3/23, 12:22:01 AM,C,3.539
3/3/23, 1:22:01 AM,C,3.036
3/3/23, 2:22:01 AM,C,3.036
3/3/23, 3:22:01 AM,C,3.036
3/3/23, 4:22:01 AM,C,2.533
3/3/23, 5:22:01 AM,C,2.03
3/3/23, 6:22:01 AM,C,1.024
3/3/23, 7:22:01 AM,C,5.549
3/3/23, 8:22:01 AM,C,11.073
3/3/23, 9:22:01 AM,C,22.096
3/3/23, 10:22:01 AM,C,23.097
3/3/23, 11:22:01 AM,C,24.598
3/3/23, 12:22:01 PM,C,24.098
3/3/23, 1:22:01 PM,C,26.098
3/3/23, 2:22:01 PM,C,24.098
3/3/23, 3:22:01 PM,C,22.096
3/3/23, 4:22:01 PM,C,19.093
3/3/23, 5:22:01 PM,C,10.069
3/3/23, 6:22:01 PM,C,7.056
3/3/23, 7:22:01 PM,C,6.554
3/3/23, 8:22:01 PM,C,5.549
3/3/23, 9:22:01 PM,C,4.544
3/3/23, 10:22:01 PM,C,5.047
3/3/23, 11:22:01 PM,C,5.047
3/4/23, 12:22:01 AM,C,4.544
3/4/23, 1:22:01 AM,C,4.544
3/4/23, 2:22:01 AM,C,4.042
3/4/23, 3:22:01 AM,C,3.539
3/4/23, 4:22:01 AM,C,3.539
3/4/23, 5:22:01 AM,C,3.036
