1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1900000069B62741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 16:23:01 PST 2023
Mission Sample Count:  2179
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 16:23:01 PST 2023
Total Mission Samples:  2179
Total Device Samples:  21940
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 4:23:01 PM,C,22.634
3/2/23, 5:23:01 PM,C,8.599
3/2/23, 6:23:01 PM,C,5.082
3/2/23, 7:23:01 PM,C,3.574
3/2/23, 8:23:01 PM,C,2.568
3/2/23, 9:23:01 PM,C,3.574
3/2/23, 10:23:01 PM,C,3.071
3/2/23, 11:23:01 PM,C,2.568
3/3/23, 12:23:01 AM,C,3.071
3/3/23, 1:23:01 AM,C,2.568
3/3/23, 2:23:01 AM,C,2.568
3/3/23, 3:23:01 AM,C,2.065
3/3/23, 4:23:01 AM,C,2.065
3/3/23, 5:23:01 AM,C,1.562
3/3/23, 6:23:01 AM,C,0.556
3/3/23, 7:23:01 AM,C,3.574
3/3/23, 8:23:01 AM,C,6.59
3/3/23, 9:23:01 AM,C,20.132
3/3/23, 10:23:01 AM,C,23.134
3/3/23, 11:23:01 AM,C,28.633
3/3/23, 12:23:01 PM,C,28.633
3/3/23, 1:23:01 PM,C,29.133
3/3/23, 2:23:01 PM,C,24.135
3/3/23, 3:23:01 PM,C,17.627
3/3/23, 4:23:01 PM,C,13.617
3/3/23, 5:23:01 PM,C,10.105
3/3/23, 6:23:01 PM,C,7.092
3/3/23, 7:23:01 PM,C,7.092
3/3/23, 8:23:01 PM,C,5.585
3/3/23, 9:23:01 PM,C,4.579
3/3/23, 10:23:01 PM,C,5.585
3/3/23, 11:23:01 PM,C,5.082
3/4/23, 12:23:01 AM,C,5.082
3/4/23, 1:23:01 AM,C,4.579
3/4/23, 2:23:01 AM,C,4.077
3/4/23, 3:23:01 AM,C,3.574
3/4/23, 4:23:01 AM,C,3.574
3/4/23, 5:23:01 AM,C,2.568
3/4/23, 6:23:01 AM,C,2.065
3/4/23, 7:23:01 AM,C,5.082
3/4/23, 8:23:01 AM,C,11.611
3/4/23, 9:23:01 AM,C,17.126
3/4/23, 10:23:01 AM,C,10.607
3/4/23, 11:23:01 AM,C,13.116
3/4/23, 12:23:01 PM,C,21.133
3/4/23, 1:23:01 PM,C,16.625
3/4/23, 2:23:01 PM,C,14.119
3/4/23, 3:23:01 PM,C,15.122
3/4/23, 4:23:01 PM,C,10.105
3/4/23, 5:23:01 PM,C,9.101
3/4/23, 6:23:01 PM,C,7.595
3/4/23, 7:23:01 PM,C,7.595
3/4/23, 8:23:01 PM,C,7.092
3/4/23, 9:23:01 PM,C,6.087
3/4/23, 10:23:01 PM,C,5.082
3/4/23, 11:23:01 PM,C,5.585
3/5/23, 12:23:01 AM,C,6.087
3/5/23, 1:23:01 AM,C,5.082
3/5/23, 2:23:01 AM,C,5.585
3/5/23, 3:23:01 AM,C,5.585
3/5/23, 4:23:01 AM,C,5.585
3/5/23, 5:23:01 AM,C,5.585
3/5/23, 6:23:01 AM,C,5.585
3/5/23, 7:23:01 AM,C,6.087
3/5/23, 8:23:01 AM,C,7.092
3/5/23, 9:23:01 AM,C,12.614
3/5/23, 10:23:01 AM,C,10.607
3/5/23, 11:23:01 AM,C,11.611
3/5/23, 12:23:01 PM,C,11.109
3/5/23, 1:23:01 PM,C,11.109
3/5/23, 2:23:01 PM,C,10.607
3/5/23, 3:23:01 PM,C,10.607
3/5/23, 4:23:01 PM,C,9.603
3/5/23, 5:23:01 PM,C,8.097
3/5/23, 6:23:01 PM,C,7.595
3/5/23, 7:23:01 PM,C,7.092
3/5/23, 8:23:01 PM,C,7.092
3/5/23, 9:23:01 PM,C,7.092
3/5/23, 10:23:01 PM,C,6.59
3/5/23, 11:23:01 PM,C,6.59
3/6/23, 12:23:01 AM,C,5.082
3/6/23, 1:23:01 AM,C,5.082
3/6/23, 2:23:01 AM,C,5.082
3/6/23, 3:23:01 AM,C,4.579
3/6/23, 4:23:01 AM,C,3.071
3/6/23, 5:23:01 AM,C,3.071
3/6/23, 6:23:01 AM,C,2.568
3/6/23, 7:23:01 AM,C,8.097
3/6/23, 8:23:01 AM,C,15.122
3/6/23, 9:23:01 AM,C,20.632
3/6/23, 10:23:01 AM,C,24.635
3/6/23, 11:23:01 AM,C,14.119
3/6/23, 12:23:01 PM,C,21.633
3/6/23, 1:23:01 PM,C,21.133
