1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E10000006CBCF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:45:01 PST 2023
Mission Sample Count:  2180
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:45:01 PST 2023
Total Mission Samples:  2180
Total Device Samples:  25137
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/2/23, 3:45:01 PM,C,16.605
3/2/23, 4:45:01 PM,C,13.6
3/2/23, 5:45:01 PM,C,9.591
3/2/23, 6:45:01 PM,C,7.586
3/2/23, 7:45:01 PM,C,6.583
3/2/23, 8:45:01 PM,C,5.58
3/2/23, 9:45:01 PM,C,5.078
3/2/23, 10:45:01 PM,C,5.078
3/2/23, 11:45:01 PM,C,5.078
3/3/23, 12:45:01 AM,C,4.577
3/3/23, 1:45:01 AM,C,4.577
3/3/23, 2:45:01 AM,C,4.075
3/3/23, 3:45:01 AM,C,4.075
3/3/23, 4:45:01 AM,C,4.075
3/3/23, 5:45:01 AM,C,3.573
3/3/23, 6:45:01 AM,C,3.071
3/3/23, 7:45:01 AM,C,5.58
3/3/23, 8:45:01 AM,C,10.594
3/3/23, 9:45:01 AM,C,20.109
3/3/23, 10:45:01 AM,C,25.611
3/3/23, 11:45:01 AM,C,28.611
3/3/23, 12:45:01 PM,C,27.611
3/3/23, 1:45:01 PM,C,26.611
3/3/23, 2:45:01 PM,C,23.111
3/3/23, 3:45:01 PM,C,16.605
3/3/23, 4:45:01 PM,C,12.097
3/3/23, 5:45:01 PM,C,9.09
3/3/23, 6:45:01 PM,C,6.583
3/3/23, 7:45:01 PM,C,5.58
3/3/23, 8:45:01 PM,C,3.573
3/3/23, 9:45:01 PM,C,3.573
3/3/23, 10:45:01 PM,C,3.573
3/3/23, 11:45:01 PM,C,5.078
3/4/23, 12:45:01 AM,C,4.577
3/4/23, 1:45:01 AM,C,4.577
3/4/23, 2:45:01 AM,C,3.573
3/4/23, 3:45:01 AM,C,4.075
3/4/23, 4:45:01 AM,C,3.071
3/4/23, 5:45:01 AM,C,2.57
3/4/23, 6:45:01 AM,C,3.071
3/4/23, 7:45:01 AM,C,6.583
3/4/23, 8:45:01 AM,C,18.107
3/4/23, 9:45:01 AM,C,13.099
3/4/23, 10:45:01 AM,C,12.598
3/4/23, 11:45:01 AM,C,14.101
3/4/23, 12:45:01 PM,C,25.111
3/4/23, 1:45:01 PM,C,14.602
3/4/23, 2:45:01 PM,C,13.6
3/4/23, 3:45:01 PM,C,13.099
3/4/23, 4:45:01 PM,C,10.092
3/4/23, 5:45:01 PM,C,8.589
3/4/23, 6:45:01 PM,C,7.586
3/4/23, 7:45:01 PM,C,7.586
3/4/23, 8:45:01 PM,C,7.586
3/4/23, 9:45:01 PM,C,6.081
3/4/23, 10:45:01 PM,C,5.078
3/4/23, 11:45:01 PM,C,6.081
3/5/23, 12:45:01 AM,C,5.58
3/5/23, 1:45:01 AM,C,5.078
3/5/23, 2:45:01 AM,C,6.081
3/5/23, 3:45:01 AM,C,6.081
3/5/23, 4:45:01 AM,C,6.081
3/5/23, 5:45:01 AM,C,6.583
3/5/23, 6:45:01 AM,C,6.583
3/5/23, 7:45:01 AM,C,7.084
3/5/23, 8:45:01 AM,C,13.099
3/5/23, 9:45:01 AM,C,14.602
3/5/23, 10:45:01 AM,C,19.608
3/5/23, 11:45:01 AM,C,12.097
3/5/23, 12:45:01 PM,C,11.596
3/5/23, 1:45:01 PM,C,10.594
3/5/23, 2:45:01 PM,C,10.594
3/5/23, 3:45:01 PM,C,10.594
3/5/23, 4:45:01 PM,C,9.591
3/5/23, 5:45:01 PM,C,8.589
3/5/23, 6:45:01 PM,C,8.087
3/5/23, 7:45:01 PM,C,7.586
3/5/23, 8:45:01 PM,C,7.586
3/5/23, 9:45:01 PM,C,7.586
3/5/23, 10:45:01 PM,C,7.084
3/5/23, 11:45:01 PM,C,6.081
3/6/23, 12:45:01 AM,C,4.577
3/6/23, 1:45:01 AM,C,4.577
3/6/23, 2:45:01 AM,C,4.577
3/6/23, 3:45:01 AM,C,3.573
3/6/23, 4:45:01 AM,C,3.573
3/6/23, 5:45:01 AM,C,3.071
3/6/23, 6:45:01 AM,C,3.071
3/6/23, 7:45:01 AM,C,10.594
3/6/23, 8:45:01 AM,C,19.108
3/6/23, 9:45:01 AM,C,21.11
3/6/23, 10:45:01 AM,C,18.107
3/6/23, 11:45:01 AM,C,15.603
3/6/23, 12:45:01 PM,C,21.11
3/6/23, 1:45:01 PM,C,19.108
3/6/23, 2:45:01 PM,C,19.608
3/6/23, 3:45:01 PM,C,14.602
3/6/23, 4:45:01 PM,C,11.596
3/6/23, 5:45:01 PM,C,9.591
3/6/23, 6:45:01 PM,C,8.589
3/6/23, 7:45:01 PM,C,8.087
3/6/23, 8:45:01 PM,C,7.084
3/6/23, 9:45:01 PM,C,5.078
3/6/23, 10:45:01 PM,C,3.573
3/6/23, 11:45:01 PM,C,2.57
3/7/23, 12:45:01 AM,C,2.57
3/7/23, 1:45:01 AM,C,4.075
3/7/23, 2:45:01 AM,C,3.071
3/7/23, 3:45:01 AM,C,2.57
3/7/23, 4:45:01 AM,C,2.57
3/7/23, 5:45:01 AM,C,2.068
3/7/23, 6:45:01 AM,C,1.566
3/7/23, 7:45:01 AM,C,10.594
3/7/23, 8:45:01 AM,C,20.609
3/7/23, 9:45:01 AM,C,23.111
3/7/23, 10:45:01 AM,C,24.611
3/7/23, 11:45:01 AM,C,26.111
3/7/23, 12:45:01 PM,C,26.611
3/7/23, 1:45:01 PM,C,20.109
3/7/23, 2:45:01 PM,C,18.107
3/7/23, 3:45:01 PM,C,18.107
3/7/23, 4:45:01 PM,C,13.099
3/7/23, 5:45:01 PM,C,9.09
3/7/23, 6:45:01 PM,C,7.084
3/7/23, 7:45:01 PM,C,5.078
3/7/23, 8:45:01 PM,C,3.573
3/7/23, 9:45:01 PM,C,3.573
3/7/23, 10:45:01 PM,C,3.573
3/7/23, 11:45:01 PM,C,4.577
3/8/23, 12:45:01 AM,C,4.075
3/8/23, 1:45:01 AM,C,4.075
3/8/23, 2:45:01 AM,C,3.573
3/8/23, 3:45:01 AM,C,3.071
3/8/23, 4:45:01 AM,C,3.573
3/8/23, 5:45:01 AM,C,2.57
3/8/23, 6:45:01 AM,C,3.071
3/8/23, 7:45:01 AM,C,8.589
3/8/23, 8:45:01 AM,C,14.602
3/8/23, 9:45:01 AM,C,17.106
3/8/23, 10:45:01 AM,C,19.108
3/8/23, 11:45:01 AM,C,16.605
3/8/23, 12:45:01 PM,C,20.109
3/8/23, 1:45:01 PM,C,20.109
3/8/23, 2:45:01 PM,C,19.608
3/8/23, 3:45:01 PM,C,18.107
3/8/23, 4:45:01 PM,C,14.101
3/8/23, 5:45:01 PM,C,10.594
3/8/23, 6:45:01 PM,C,8.087
3/8/23, 7:45:01 PM,C,5.078
3/8/23, 8:45:01 PM,C,6.081
3/8/23, 9:45:01 PM,C,5.078
3/8/23, 10:45:01 PM,C,5.58
3/8/23, 11:45:01 PM,C,6.583
3/9/23, 12:45:01 AM,C,6.583
3/9/23, 1:45:01 AM,C,5.078
3/9/23, 2:45:01 AM,C,5.078
3/9/23, 3:45:01 AM,C,4.075
3/9/23, 4:45:01 AM,C,4.577
3/9/23, 5:45:01 AM,C,4.075
3/9/23, 6:45:01 AM,C,4.577
3/9/23, 7:45:01 AM,C,12.097
3/9/23, 8:45:01 AM,C,16.104
3/9/23, 9:45:01 AM,C,19.108
3/9/23, 10:45:01 AM,C,21.11
3/9/23, 11:45:01 AM,C,21.61
3/9/23, 12:45:01 PM,C,22.11
3/9/23, 1:45:01 PM,C,20.609
3/9/23, 2:45:01 PM,C,21.61
3/9/23, 3:45:01 PM,C,16.605
3/9/23, 4:45:01 PM,C,16.104
3/9/23, 5:45:01 PM,C,13.6
3/9/23, 6:45:01 PM,C,11.596
3/9/23, 7:45:01 PM,C,10.594
3/9/23, 8:45:01 PM,C,10.594
3/9/23, 9:45:01 PM,C,10.092
3/9/23, 10:45:01 PM,C,10.092
3/9/23, 11:45:01 PM,C,10.092
3/10/23, 12:45:01 AM,C,8.589
3/10/23, 1:45:01 AM,C,7.084
3/10/23, 2:45:01 AM,C,7.084
3/10/23, 3:45:01 AM,C,7.084
3/10/23, 4:45:01 AM,C,7.084
3/10/23, 5:45:01 AM,C,7.586
3/10/23, 6:45:01 AM,C,7.586
3/10/23, 7:45:01 AM,C,8.589
3/10/23, 8:45:01 AM,C,9.591
3/10/23, 9:45:01 AM,C,11.095
3/10/23, 10:45:01 AM,C,12.097
3/10/23, 11:45:01 AM,C,13.099
3/10/23, 12:45:01 PM,C,11.596
3/10/23, 1:45:01 PM,C,10.092
3/10/23, 2:45:01 PM,C,11.095
3/10/23, 3:45:01 PM,C,11.596
3/10/23, 4:45:01 PM,C,10.594
3/10/23, 5:45:01 PM,C,11.095
3/10/23, 6:45:01 PM,C,10.594
3/10/23, 7:45:01 PM,C,10.594
3/10/23, 8:45:01 PM,C,10.594
3/10/23, 9:45:01 PM,C,11.095
3/10/23, 10:45:01 PM,C,10.594
3/10/23, 11:45:01 PM,C,11.095
3/11/23, 12:45:01 AM,C,11.095
3/11/23, 1:45:01 AM,C,11.095
3/11/23, 2:45:01 AM,C,11.095
3/11/23, 3:45:01 AM,C,11.095
3/11/23, 4:45:01 AM,C,11.596
3/11/23, 5:45:01 AM,C,11.596
3/11/23, 6:45:01 AM,C,11.596
3/11/23, 7:45:01 AM,C,12.097
3/11/23, 8:45:01 AM,C,13.099
3/11/23, 9:45:01 AM,C,14.101
3/11/23, 10:45:01 AM,C,15.103
3/11/23, 11:45:01 AM,C,15.603
3/11/23, 12:45:01 PM,C,16.104
3/11/23, 1:45:01 PM,C,16.104
3/11/23, 2:45:01 PM,C,16.104
3/11/23, 3:45:01 PM,C,15.103
3/11/23, 4:45:01 PM,C,14.101
3/11/23, 5:45:01 PM,C,13.099
3/11/23, 6:45:01 PM,C,13.099
3/11/23, 7:45:01 PM,C,12.598
3/11/23, 8:45:01 PM,C,11.596
3/11/23, 9:45:01 PM,C,12.097
3/11/23, 10:45:01 PM,C,12.097
3/11/23, 11:45:01 PM,C,12.598
3/12/23, 12:45:01 AM,C,12.097
3/12/23, 1:45:01 AM,C,10.594
3/12/23, 3:45:01 AM,C,11.596
3/12/23, 4:45:01 AM,C,10.092
3/12/23, 5:45:01 AM,C,9.09
3/12/23, 6:45:01 AM,C,9.09
3/12/23, 7:45:01 AM,C,9.09
3/12/23, 8:45:01 AM,C,14.602
3/12/23, 9:45:01 AM,C,19.108
3/12/23, 10:45:01 AM,C,20.609
3/12/23, 11:45:01 AM,C,21.11
3/12/23, 12:45:01 PM,C,20.609
3/12/23, 1:45:01 PM,C,21.61
3/12/23, 2:45:01 PM,C,21.11
3/12/23, 3:45:01 PM,C,21.11
3/12/23, 4:45:01 PM,C,19.608
3/12/23, 5:45:01 PM,C,14.602
3/12/23, 6:45:01 PM,C,13.099
3/12/23, 7:45:01 PM,C,12.097
3/12/23, 8:45:01 PM,C,12.097
3/12/23, 9:45:01 PM,C,12.097
3/12/23, 10:45:01 PM,C,12.097
3/12/23, 11:45:01 PM,C,12.097
3/13/23, 12:45:01 AM,C,12.097
3/13/23, 1:45:01 AM,C,12.097
3/13/23, 2:45:01 AM,C,12.097
3/13/23, 3:45:01 AM,C,12.097
3/13/23, 4:45:01 AM,C,11.596
3/13/23, 5:45:01 AM,C,10.594
3/13/23, 6:45:01 AM,C,10.092
3/13/23, 7:45:01 AM,C,10.594
3/13/23, 8:45:01 AM,C,12.097
3/13/23, 9:45:01 AM,C,13.099
3/13/23, 10:45:01 AM,C,16.104
3/13/23, 11:45:01 AM,C,21.11
3/13/23, 12:45:01 PM,C,19.108
3/13/23, 1:45:01 PM,C,20.109
3/13/23, 2:45:01 PM,C,23.611
3/13/23, 3:45:01 PM,C,19.608
3/13/23, 4:45:01 PM,C,16.605
3/13/23, 5:45:01 PM,C,14.101
3/13/23, 6:45:01 PM,C,13.099
3/13/23, 7:45:01 PM,C,12.097
3/13/23, 8:45:01 PM,C,11.596
3/13/23, 9:45:01 PM,C,11.596
3/13/23, 10:45:01 PM,C,11.596
3/13/23, 11:45:01 PM,C,11.596
3/14/23, 12:45:01 AM,C,11.596
3/14/23, 1:45:01 AM,C,11.596
3/14/23, 2:45:01 AM,C,11.596
3/14/23, 3:45:01 AM,C,11.596
3/14/23, 4:45:01 AM,C,11.596
3/14/23, 5:45:01 AM,C,11.095
3/14/23, 6:45:01 AM,C,11.095
3/14/23, 7:45:01 AM,C,11.095
3/14/23, 8:45:01 AM,C,11.596
3/14/23, 9:45:01 AM,C,12.097
3/14/23, 10:45:01 AM,C,12.097
3/14/23, 11:45:01 AM,C,12.097
3/14/23, 12:45:01 PM,C,12.598
3/14/23, 1:45:01 PM,C,13.099
3/14/23, 2:45:01 PM,C,13.099
3/14/23, 3:45:01 PM,C,13.099
3/14/23, 4:45:01 PM,C,12.598
3/14/23, 5:45:01 PM,C,12.598
3/14/23, 6:45:01 PM,C,12.097
3/14/23, 7:45:01 PM,C,11.596
3/14/23, 8:45:01 PM,C,11.596
3/14/23, 9:45:01 PM,C,11.596
3/14/23, 10:45:01 PM,C,11.596
3/14/23, 11:45:01 PM,C,11.596
3/15/23, 12:45:01 AM,C,11.596
3/15/23, 1:45:01 AM,C,11.596
3/15/23, 2:45:01 AM,C,11.596
3/15/23, 3:45:01 AM,C,11.596
3/15/23, 4:45:01 AM,C,11.596
3/15/23, 5:45:01 AM,C,11.596
3/15/23, 6:45:01 AM,C,11.596
3/15/23, 7:45:01 AM,C,12.097
3/15/23, 8:45:01 AM,C,13.099
3/15/23, 9:45:01 AM,C,13.6
3/15/23, 10:45:01 AM,C,15.103
3/15/23, 11:45:01 AM,C,15.603
3/15/23, 12:45:01 PM,C,18.607
3/15/23, 1:45:01 PM,C,20.609
3/15/23, 2:45:01 PM,C,18.607
3/15/23, 3:45:01 PM,C,17.606
3/15/23, 4:45:01 PM,C,14.101
3/15/23, 5:45:01 PM,C,14.101
3/15/23, 6:45:01 PM,C,12.598
3/15/23, 7:45:01 PM,C,11.596
3/15/23, 8:45:01 PM,C,11.596
3/15/23, 9:45:01 PM,C,10.594
3/15/23, 10:45:01 PM,C,10.594
3/15/23, 11:45:01 PM,C,10.594
3/16/23, 12:45:01 AM,C,10.092
3/16/23, 1:45:01 AM,C,9.591
3/16/23, 2:45:01 AM,C,8.087
3/16/23, 3:45:01 AM,C,8.087
3/16/23, 4:45:01 AM,C,7.586
3/16/23, 5:45:01 AM,C,6.583
3/16/23, 6:45:01 AM,C,5.58
3/16/23, 7:45:01 AM,C,7.084
3/16/23, 8:45:01 AM,C,12.598
3/16/23, 9:45:01 AM,C,17.106
3/16/23, 10:45:01 AM,C,18.107
3/16/23, 11:45:01 AM,C,19.108
3/16/23, 12:45:01 PM,C,20.609
3/16/23, 1:45:01 PM,C,21.11
3/16/23, 2:45:01 PM,C,16.605
3/16/23, 3:45:01 PM,C,18.607
3/16/23, 4:45:01 PM,C,16.605
3/16/23, 5:45:01 PM,C,14.101
3/16/23, 6:45:01 PM,C,11.596
3/16/23, 7:45:01 PM,C,9.591
3/16/23, 8:45:01 PM,C,9.09
3/16/23, 9:45:01 PM,C,9.09
3/16/23, 10:45:01 PM,C,8.589
3/16/23, 11:45:01 PM,C,8.589
3/17/23, 12:45:01 AM,C,7.084
3/17/23, 1:45:01 AM,C,8.087
3/17/23, 2:45:01 AM,C,8.589
3/17/23, 3:45:01 AM,C,8.589
3/17/23, 4:45:01 AM,C,8.087
3/17/23, 5:45:01 AM,C,8.087
3/17/23, 6:45:01 AM,C,7.084
3/17/23, 7:45:01 AM,C,7.084
3/17/23, 8:45:01 AM,C,12.598
3/17/23, 9:45:01 AM,C,16.605
3/17/23, 10:45:01 AM,C,20.609
3/17/23, 11:45:01 AM,C,24.111
3/17/23, 12:45:01 PM,C,25.611
3/17/23, 1:45:01 PM,C,25.111
3/17/23, 2:45:01 PM,C,25.111
3/17/23, 3:45:01 PM,C,22.11
3/17/23, 4:45:01 PM,C,23.111
3/17/23, 5:45:01 PM,C,19.608
3/17/23, 6:45:01 PM,C,15.103
3/17/23, 7:45:01 PM,C,11.095
3/17/23, 8:45:01 PM,C,9.591
3/17/23, 9:45:01 PM,C,12.097
3/17/23, 10:45:01 PM,C,12.598
3/17/23, 11:45:01 PM,C,11.095
3/18/23, 12:45:01 AM,C,10.594
3/18/23, 1:45:01 AM,C,10.092
3/18/23, 2:45:01 AM,C,10.092
3/18/23, 3:45:01 AM,C,9.09
3/18/23, 4:45:01 AM,C,8.589
3/18/23, 5:45:01 AM,C,8.589
3/18/23, 6:45:01 AM,C,8.087
