1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 54000000697C5A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:00:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Apr 07 20:00:01 PDT 2023
Total Mission Samples:  4964
Total Device Samples:  24741
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/7/23, 8:00:01 PM,%RH,83.112
4/7/23, 9:00:01 PM,%RH,89.518
4/7/23, 10:00:01 PM,%RH,93.662
4/7/23, 11:00:01 PM,%RH,98.204
4/8/23, 12:00:01 AM,%RH,97.705
4/8/23, 1:00:01 AM,%RH,94.683
4/8/23, 2:00:01 AM,%RH,97.206
4/8/23, 3:00:01 AM,%RH,100
4/8/23, 4:00:01 AM,%RH,98.204
4/8/23, 5:00:01 AM,%RH,98.204
4/8/23, 6:00:01 AM,%RH,98.204
4/8/23, 7:00:01 AM,%RH,99.195
4/8/23, 8:00:01 AM,%RH,88.466
4/8/23, 9:00:01 AM,%RH,64.914
4/8/23, 10:00:01 AM,%RH,55.826
4/8/23, 11:00:01 AM,%RH,48.935
4/8/23, 12:00:01 PM,%RH,56.443
4/8/23, 1:00:01 PM,%RH,52.091
4/8/23, 2:00:01 PM,%RH,53.966
4/8/23, 3:00:01 PM,%RH,55.826
4/8/23, 4:00:01 PM,%RH,57.059
4/8/23, 5:00:01 PM,%RH,66.099
4/8/23, 6:00:01 PM,%RH,79.823
4/8/23, 7:00:01 PM,%RH,88.466
4/8/23, 8:00:01 PM,%RH,92.12
4/8/23, 9:00:01 PM,%RH,97.206
4/8/23, 10:00:01 PM,%RH,100
4/8/23, 11:00:01 PM,%RH,100
4/9/23, 12:00:01 AM,%RH,100
4/9/23, 1:00:01 AM,%RH,100
4/9/23, 2:00:01 AM,%RH,100
4/9/23, 3:00:01 AM,%RH,100
4/9/23, 4:00:01 AM,%RH,100
4/9/23, 5:00:01 AM,%RH,100
4/9/23, 6:00:01 AM,%RH,100
4/9/23, 7:00:01 AM,%RH,100
4/9/23, 8:00:01 AM,%RH,78.158
4/9/23, 9:00:01 AM,%RH,70.775
4/9/23, 10:00:01 AM,%RH,47.023
4/9/23, 11:00:01 AM,%RH,44.451
4/9/23, 12:00:01 PM,%RH,41.2
4/9/23, 1:00:01 PM,%RH,35.248
4/9/23, 2:00:01 PM,%RH,41.853
4/9/23, 3:00:01 PM,%RH,39.23
4/9/23, 4:00:01 PM,%RH,45.74
4/9/23, 5:00:01 PM,%RH,57.672
4/9/23, 6:00:01 PM,%RH,73.646
4/9/23, 7:00:01 PM,%RH,84.735
4/9/23, 8:00:01 PM,%RH,91.084
4/9/23, 9:00:01 PM,%RH,98.7
4/9/23, 10:00:01 PM,%RH,98.7
4/9/23, 11:00:01 PM,%RH,90.564
4/10/23, 12:00:01 AM,%RH,82.568
4/10/23, 1:00:01 AM,%RH,84.195
4/10/23, 2:00:01 AM,%RH,75.915
4/10/23, 3:00:01 AM,%RH,79.27
4/10/23, 4:00:01 AM,%RH,78.158
4/10/23, 5:00:01 AM,%RH,75.35
4/10/23, 6:00:01 AM,%RH,75.35
