1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 470000006CBA1941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:41:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Apr 07 20:41:01 PDT 2023
Total Mission Samples:  4964
Total Device Samples:  27491
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/7/23, 8:41:01 PM,%RH,81.113
4/7/23, 9:41:01 PM,%RH,85.94
4/7/23, 10:41:01 PM,%RH,93.706
4/7/23, 11:41:01 PM,%RH,96.715
4/8/23, 12:41:01 AM,%RH,92.181
4/8/23, 1:41:01 AM,%RH,96.217
4/8/23, 2:41:01 AM,%RH,96.715
4/8/23, 3:41:01 AM,%RH,95.718
4/8/23, 4:41:01 AM,%RH,95.217
4/8/23, 5:41:01 AM,%RH,94.715
4/8/23, 6:41:01 AM,%RH,98.198
4/8/23, 7:41:01 AM,%RH,93.706
4/8/23, 8:41:01 AM,%RH,72.221
4/8/23, 9:41:01 AM,%RH,58.743
4/8/23, 10:41:01 AM,%RH,52.627
4/8/23, 11:41:01 AM,%RH,50.137
4/8/23, 12:41:01 PM,%RH,50.137
4/8/23, 1:41:01 PM,%RH,48.254
4/8/23, 2:41:01 PM,%RH,56.925
4/8/23, 3:41:01 PM,%RH,53.863
4/8/23, 4:41:01 PM,%RH,60.548
4/8/23, 5:41:01 PM,%RH,68.784
4/8/23, 6:41:01 PM,%RH,81.113
4/8/23, 7:41:01 PM,%RH,85.94
4/8/23, 8:41:01 PM,%RH,90.642
4/8/23, 9:41:01 PM,%RH,92.691
4/8/23, 10:41:01 PM,%RH,96.715
4/8/23, 11:41:01 PM,%RH,98.689
