1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3900000069B71741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:16:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Apr 07 20:16:01 PDT 2023
Total Mission Samples:  4964
Total Device Samples:  24714
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/7/23, 8:16:01 PM,%RH,80.059
4/7/23, 9:16:01 PM,%RH,88.422
4/7/23, 10:16:01 PM,%RH,94.88
4/7/23, 11:16:01 PM,%RH,96.327
4/8/23, 12:16:01 AM,%RH,90.441
4/8/23, 1:16:01 AM,%RH,93.906
4/8/23, 2:16:01 AM,%RH,97.283
4/8/23, 3:16:01 AM,%RH,95.846
4/8/23, 4:16:01 AM,%RH,93.416
4/8/23, 5:16:01 AM,%RH,93.416
4/8/23, 6:16:01 AM,%RH,95.364
4/8/23, 7:16:01 AM,%RH,93.906
4/8/23, 8:16:01 AM,%RH,68.964
4/8/23, 9:16:01 AM,%RH,50.983
4/8/23, 10:16:01 AM,%RH,42.042
4/8/23, 11:16:01 AM,%RH,42.693
4/8/23, 12:16:01 PM,%RH,42.042
4/8/23, 1:16:01 PM,%RH,41.39
4/8/23, 2:16:01 PM,%RH,47.83
4/8/23, 3:16:01 PM,%RH,50.983
4/8/23, 4:16:01 PM,%RH,55.322
4/8/23, 5:16:01 PM,%RH,63.738
4/8/23, 6:16:01 PM,%RH,78.44
4/8/23, 7:16:01 PM,%RH,83.774
4/8/23, 8:16:01 PM,%RH,89.939
4/8/23, 9:16:01 PM,%RH,93.906
4/8/23, 10:16:01 PM,%RH,98.704
4/8/23, 11:16:01 PM,%RH,97.759
4/9/23, 12:16:01 AM,%RH,99.174
4/9/23, 1:16:01 AM,%RH,100
4/9/23, 2:16:01 AM,%RH,100
4/9/23, 3:16:01 AM,%RH,99.174
4/9/23, 4:16:01 AM,%RH,100
4/9/23, 5:16:01 AM,%RH,100
4/9/23, 6:16:01 AM,%RH,100
4/9/23, 7:16:01 AM,%RH,97.759
4/9/23, 8:16:01 AM,%RH,63.149
4/9/23, 9:16:01 AM,%RH,47.83
4/9/23, 10:16:01 AM,%RH,37.441
4/9/23, 11:16:01 AM,%RH,33.427
4/9/23, 12:16:01 PM,%RH,35.442
4/9/23, 1:16:01 PM,%RH,27.976
4/9/23, 2:16:01 PM,%RH,30.716
4/9/23, 3:16:01 PM,%RH,36.776
4/9/23, 4:16:01 PM,%RH,43.341
4/9/23, 5:16:01 PM,%RH,54.708
4/9/23, 6:16:01 PM,%RH,70.674
4/9/23, 7:16:01 PM,%RH,80.059
4/9/23, 8:16:01 PM,%RH,93.416
4/9/23, 9:16:01 PM,%RH,93.906
4/9/23, 10:16:01 PM,%RH,97.283
4/9/23, 11:16:01 PM,%RH,85.339
4/10/23, 12:16:01 AM,%RH,85.857
4/10/23, 1:16:01 AM,%RH,78.982
4/10/23, 2:16:01 AM,%RH,71.24
4/10/23, 3:16:01 AM,%RH,81.662
4/10/23, 4:16:01 AM,%RH,76.806
4/10/23, 5:16:01 AM,%RH,76.806
4/10/23, 6:16:01 AM,%RH,74.045
4/10/23, 7:16:01 AM,%RH,73.488
4/10/23, 8:16:01 AM,%RH,55.322
4/10/23, 9:16:01 AM,%RH,36.776
4/10/23, 10:16:01 AM,%RH,34.772
4/10/23, 11:16:01 AM,%RH,30.716
4/10/23, 12:16:01 PM,%RH,32.752
4/10/23, 1:16:01 PM,%RH,35.442
4/10/23, 2:16:01 PM,%RH,35.442
4/10/23, 3:16:01 PM,%RH,40.081
4/10/23, 4:16:01 PM,%RH,46.556
4/10/23, 5:16:01 PM,%RH,53.473
4/10/23, 6:16:01 PM,%RH,69.536
4/10/23, 7:16:01 PM,%RH,80.059
4/10/23, 8:16:01 PM,%RH,85.857
4/10/23, 9:16:01 PM,%RH,91.936
4/10/23, 10:16:01 PM,%RH,94.394
4/10/23, 11:16:01 PM,%RH,84.819
4/11/23, 12:16:01 AM,%RH,85.339
4/11/23, 1:16:01 AM,%RH,88.422
4/11/23, 2:16:01 AM,%RH,82.193
4/11/23, 3:16:01 AM,%RH,87.912
4/11/23, 4:16:01 AM,%RH,91.936
4/11/23, 5:16:01 AM,%RH,92.925
4/11/23, 6:16:01 AM,%RH,95.846
4/11/23, 7:16:01 AM,%RH,94.394
4/11/23, 8:16:01 AM,%RH,56.546
4/11/23, 9:16:01 AM,%RH,46.556
4/11/23, 10:16:01 AM,%RH,38.764
4/11/23, 11:16:01 AM,%RH,45.917
4/11/23, 12:16:01 PM,%RH,47.83
4/11/23, 1:16:01 PM,%RH,43.341
4/11/23, 2:16:01 PM,%RH,39.424
4/11/23, 3:16:01 PM,%RH,45.276
4/11/23, 4:16:01 PM,%RH,53.473
