1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 540000006CB59041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:05:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Apr 07 21:05:01 PDT 2023
Total Mission Samples:  4965
Total Device Samples:  27905
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/7/23, 9:05:01 PM,%RH,88.325
4/7/23, 10:05:01 PM,%RH,92.548
4/7/23, 11:05:01 PM,%RH,96.17
4/8/23, 12:05:01 AM,%RH,94.108
4/8/23, 1:05:01 AM,%RH,93.069
4/8/23, 2:05:01 AM,%RH,95.142
4/8/23, 3:05:01 AM,%RH,96.682
4/8/23, 4:05:01 AM,%RH,95.656
4/8/23, 5:05:01 AM,%RH,94.626
4/8/23, 6:05:01 AM,%RH,95.656
4/8/23, 7:05:01 AM,%RH,96.17
4/8/23, 8:05:01 AM,%RH,88.858
4/8/23, 9:05:01 AM,%RH,74.56
4/8/23, 10:05:01 AM,%RH,61.135
4/8/23, 11:05:01 AM,%RH,52.605
4/8/23, 12:05:01 PM,%RH,47.609
4/8/23, 1:05:01 PM,%RH,45.079
4/8/23, 2:05:01 PM,%RH,46.979
4/8/23, 3:05:01 PM,%RH,52.605
4/8/23, 4:05:01 PM,%RH,51.985
4/8/23, 5:05:01 PM,%RH,57.512
4/8/23, 6:05:01 PM,%RH,74.56
4/8/23, 7:05:01 PM,%RH,84.558
4/8/23, 8:05:01 PM,%RH,92.025
4/8/23, 9:05:01 PM,%RH,96.682
4/8/23, 10:05:01 PM,%RH,100
4/8/23, 11:05:01 PM,%RH,100
4/9/23, 12:05:01 AM,%RH,100
4/9/23, 1:05:01 AM,%RH,100
4/9/23, 2:05:01 AM,%RH,100
4/9/23, 3:05:01 AM,%RH,100
4/9/23, 4:05:01 AM,%RH,100
4/9/23, 5:05:01 AM,%RH,100
4/9/23, 6:05:01 AM,%RH,100
4/9/23, 7:05:01 AM,%RH,99.221
4/9/23, 8:05:01 AM,%RH,90.447
4/9/23, 9:05:01 AM,%RH,72.278
4/9/23, 10:05:01 AM,%RH,59.933
4/9/23, 11:05:01 AM,%RH,51.985
4/9/23, 12:05:01 PM,%RH,34.076
4/9/23, 1:05:01 PM,%RH,35.391
4/9/23, 2:05:01 PM,%RH,32.755
4/9/23, 3:05:01 PM,%RH,34.076
4/9/23, 4:05:01 PM,%RH,36.046
4/9/23, 5:05:01 PM,%RH,46.347
4/9/23, 6:05:01 PM,%RH,67.647
4/9/23, 7:05:01 PM,%RH,83.469
4/9/23, 8:05:01 PM,%RH,93.069
4/9/23, 9:05:01 PM,%RH,96.682
4/9/23, 10:05:01 PM,%RH,99.221
4/9/23, 11:05:01 PM,%RH,82.375
4/10/23, 12:05:01 AM,%RH,80.17
4/10/23, 1:05:01 AM,%RH,84.014
