1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BE0000006D9AC441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 17:00:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Apr 05 00:00:01 PDT 2023
Total Mission Samples:  4894
Total Device Samples:  59312
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/5/23, 12:00:01 AM,%RH,60.125
4/5/23, 1:00:01 AM,%RH,53.991
4/5/23, 2:00:01 AM,%RH,61.933
4/5/23, 3:00:01 AM,%RH,76.984
4/5/23, 4:00:01 AM,%RH,63.726
4/5/23, 5:00:01 AM,%RH,61.933
4/5/23, 6:00:01 AM,%RH,76.426
4/5/23, 7:00:01 AM,%RH,87.28
4/5/23, 8:00:01 AM,%RH,54.611
4/5/23, 9:00:01 AM,%RH,45.126
4/5/23, 10:00:01 AM,%RH,39.258
4/5/23, 11:00:01 AM,%RH,35.271
4/5/23, 12:00:01 PM,%RH,34.601
4/5/23, 1:00:01 PM,%RH,33.929
4/5/23, 2:00:01 PM,%RH,32.581
4/5/23, 3:00:01 PM,%RH,29.864
4/5/23, 4:00:01 PM,%RH,30.545
4/5/23, 5:00:01 PM,%RH,29.18
4/5/23, 6:00:01 PM,%RH,49.599
4/5/23, 7:00:01 PM,%RH,66.683
4/5/23, 8:00:01 PM,%RH,61.933
4/5/23, 9:00:01 PM,%RH,57.078
4/5/23, 10:00:01 PM,%RH,66.683
4/5/23, 11:00:01 PM,%RH,69.018
4/6/23, 12:00:01 AM,%RH,83.556
4/6/23, 1:00:01 AM,%RH,69.598
4/6/23, 2:00:01 AM,%RH,69.018
4/6/23, 3:00:01 AM,%RH,69.018
4/6/23, 4:00:01 AM,%RH,63.726
4/6/23, 5:00:01 AM,%RH,66.095
4/6/23, 6:00:01 AM,%RH,66.683
4/6/23, 7:00:01 AM,%RH,65.505
4/6/23, 8:00:01 AM,%RH,42.534
4/6/23, 9:00:01 AM,%RH,35.271
4/6/23, 10:00:01 AM,%RH,31.226
4/6/23, 11:00:01 AM,%RH,28.496
4/6/23, 12:00:01 PM,%RH,29.18
4/6/23, 1:00:01 PM,%RH,31.226
4/6/23, 2:00:01 PM,%RH,25.739
4/6/23, 3:00:01 PM,%RH,27.121
4/6/23, 4:00:01 PM,%RH,27.121
4/6/23, 5:00:01 PM,%RH,25.739
