1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2B0000006D986941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:40:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 23:40:01 PDT 2023
Total Mission Samples:  4895
Total Device Samples:  27469
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 11:40:01 PM,%RH,62.548
4/5/23, 12:40:01 AM,%RH,53.451
4/5/23, 1:40:01 AM,%RH,58.348
4/5/23, 2:40:01 AM,%RH,76.903
4/5/23, 3:40:01 AM,%RH,61.953
4/5/23, 4:40:01 AM,%RH,62.548
4/5/23, 5:40:01 AM,%RH,78.558
4/5/23, 6:40:01 AM,%RH,85.561
4/5/23, 7:40:01 AM,%RH,60.758
4/5/23, 8:40:01 AM,%RH,46.549
4/5/23, 9:40:01 AM,%RH,40.757
4/5/23, 10:40:01 AM,%RH,36.823
4/5/23, 11:40:01 AM,%RH,34.168
4/5/23, 12:40:01 PM,%RH,33.5
4/5/23, 1:40:01 PM,%RH,33.5
4/5/23, 2:40:01 PM,%RH,30.137
4/5/23, 3:40:01 PM,%RH,28.1
4/5/23, 4:40:01 PM,%RH,29.459
4/5/23, 5:40:01 PM,%RH,39.452
4/5/23, 6:40:01 PM,%RH,60.758
4/5/23, 7:40:01 PM,%RH,64.913
4/5/23, 8:40:01 PM,%RH,59.556
4/5/23, 9:40:01 PM,%RH,63.734
4/5/23, 10:40:01 PM,%RH,79.107
4/5/23, 11:40:01 PM,%RH,91.274
4/6/23, 12:40:01 AM,%RH,79.653
4/6/23, 1:40:01 AM,%RH,70.139
4/6/23, 2:40:01 AM,%RH,69.564
4/6/23, 3:40:01 AM,%RH,67.832
4/6/23, 4:40:01 AM,%RH,63.734
4/6/23, 5:40:01 AM,%RH,68.411
4/6/23, 6:40:01 AM,%RH,71.282
4/6/23, 7:40:01 AM,%RH,48.451
4/6/23, 8:40:01 AM,%RH,36.162
4/6/23, 9:40:01 AM,%RH,32.16
4/6/23, 10:40:01 AM,%RH,26.733
4/6/23, 11:40:01 AM,%RH,30.137
4/6/23, 12:40:01 PM,%RH,24.672
4/6/23, 1:40:01 PM,%RH,27.417
4/6/23, 2:40:01 PM,%RH,27.417
4/6/23, 3:40:01 PM,%RH,25.361
4/6/23, 4:40:01 PM,%RH,24.672
4/6/23, 5:40:01 PM,%RH,41.407
4/6/23, 6:40:01 PM,%RH,52.211
4/6/23, 7:40:01 PM,%RH,70.139
4/6/23, 8:40:01 PM,%RH,76.348
4/6/23, 9:40:01 PM,%RH,96.298
4/6/23, 10:40:01 PM,%RH,88.182
4/6/23, 11:40:01 PM,%RH,96.298
4/7/23, 12:40:01 AM,%RH,90.25
4/7/23, 1:40:01 AM,%RH,90.25
4/7/23, 2:40:01 AM,%RH,90.763
4/7/23, 3:40:01 AM,%RH,87.139
4/7/23, 4:40:01 AM,%RH,78.008
4/7/23, 5:40:01 AM,%RH,86.615
4/7/23, 6:40:01 AM,%RH,75.234
4/7/23, 7:40:01 AM,%RH,54.685
4/7/23, 8:40:01 AM,%RH,49.711
4/7/23, 9:40:01 AM,%RH,43.347
4/7/23, 10:40:01 AM,%RH,42.055
4/7/23, 11:40:01 AM,%RH,48.451
4/7/23, 12:40:01 PM,%RH,43.991
4/7/23, 1:40:01 PM,%RH,43.347
4/7/23, 2:40:01 PM,%RH,40.105
4/7/23, 3:40:01 PM,%RH,39.452
4/7/23, 4:40:01 PM,%RH,45.912
4/7/23, 5:40:01 PM,%RH,60.758
4/7/23, 6:40:01 PM,%RH,67.252
4/7/23, 7:40:01 PM,%RH,76.348
4/7/23, 8:40:01 PM,%RH,90.25
4/7/23, 9:40:01 PM,%RH,97.774
4/7/23, 10:40:01 PM,%RH,100
4/7/23, 11:40:01 PM,%RH,100
4/8/23, 12:40:01 AM,%RH,100
4/8/23, 1:40:01 AM,%RH,100
4/8/23, 2:40:01 AM,%RH,100
4/8/23, 3:40:01 AM,%RH,100
4/8/23, 4:40:01 AM,%RH,100
4/8/23, 5:40:01 AM,%RH,100
4/8/23, 6:40:01 AM,%RH,100
4/8/23, 7:40:01 AM,%RH,94.308
4/8/23, 8:40:01 AM,%RH,71.852
4/8/23, 9:40:01 AM,%RH,58.953
4/8/23, 10:40:01 AM,%RH,53.451
4/8/23, 11:40:01 AM,%RH,53.451
4/8/23, 12:40:01 PM,%RH,55.912
4/8/23, 1:40:01 PM,%RH,54.069
4/8/23, 2:40:01 PM,%RH,61.356
4/8/23, 3:40:01 PM,%RH,58.953
4/8/23, 4:40:01 PM,%RH,64.324
4/8/23, 5:40:01 PM,%RH,76.348
4/8/23, 6:40:01 PM,%RH,83.969
4/8/23, 7:40:01 PM,%RH,88.182
4/8/23, 8:40:01 PM,%RH,94.308
4/8/23, 9:40:01 PM,%RH,100
4/8/23, 10:40:01 PM,%RH,100
4/8/23, 11:40:01 PM,%RH,100
4/9/23, 12:40:01 AM,%RH,100
4/9/23, 1:40:01 AM,%RH,100
4/9/23, 2:40:01 AM,%RH,100
4/9/23, 3:40:01 AM,%RH,100
4/9/23, 4:40:01 AM,%RH,100
4/9/23, 5:40:01 AM,%RH,100
4/9/23, 6:40:01 AM,%RH,100
4/9/23, 7:40:01 AM,%RH,89.219
4/9/23, 8:40:01 AM,%RH,63.734
4/9/23, 9:40:01 AM,%RH,47.185
4/9/23, 10:40:01 AM,%RH,45.273
4/9/23, 11:40:01 AM,%RH,36.162
4/9/23, 12:40:01 PM,%RH,34.168
4/9/23, 1:40:01 PM,%RH,29.459
4/9/23, 2:40:01 PM,%RH,39.452
4/9/23, 3:40:01 PM,%RH,41.407
4/9/23, 4:40:01 PM,%RH,52.211
4/9/23, 5:40:01 PM,%RH,66.085
4/9/23, 6:40:01 PM,%RH,82.363
4/9/23, 7:40:01 PM,%RH,88.702
4/9/23, 8:40:01 PM,%RH,99.235
4/9/23, 9:40:01 PM,%RH,100
4/9/23, 10:40:01 PM,%RH,99.235
4/9/23, 11:40:01 PM,%RH,81.824
4/10/23, 12:40:01 AM,%RH,89.735
4/10/23, 1:40:01 AM,%RH,75.234
4/10/23, 2:40:01 AM,%RH,71.852
4/10/23, 3:40:01 AM,%RH,68.989
4/10/23, 4:40:01 AM,%RH,68.989
4/10/23, 5:40:01 AM,%RH,66.085
4/10/23, 6:40:01 AM,%RH,70.139
4/10/23, 7:40:01 AM,%RH,52.832
4/10/23, 8:40:01 AM,%RH,51.588
4/10/23, 9:40:01 AM,%RH,42.055
4/10/23, 10:40:01 AM,%RH,40.105
4/10/23, 11:40:01 AM,%RH,43.347
4/10/23, 12:40:01 PM,%RH,42.702
4/10/23, 1:40:01 PM,%RH,46.549
4/10/23, 2:40:01 PM,%RH,46.549
