1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 47000000697C5441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:08:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Apr 05 00:08:01 PDT 2023
Total Mission Samples:  4896
Total Device Samples:  24574
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/5/23, 12:08:01 AM,%RH,66.686
4/5/23, 1:08:01 AM,%RH,66.097
4/5/23, 2:08:01 AM,%RH,72.492
4/5/23, 3:08:01 AM,%RH,80.913
4/5/23, 4:08:01 AM,%RH,74.204
4/5/23, 5:08:01 AM,%RH,77.586
4/5/23, 6:08:01 AM,%RH,79.811
4/5/23, 7:08:01 AM,%RH,91.084
4/5/23, 8:08:01 AM,%RH,69.027
4/5/23, 9:08:01 AM,%RH,55.848
4/5/23, 10:08:01 AM,%RH,47.074
4/5/23, 11:08:01 AM,%RH,43.221
4/5/23, 12:08:01 PM,%RH,47.71
4/5/23, 1:08:01 PM,%RH,41.925
4/5/23, 2:08:01 PM,%RH,39.969
4/5/23, 3:08:01 PM,%RH,41.274
4/5/23, 4:08:01 PM,%RH,42.574
4/5/23, 5:08:01 PM,%RH,39.314
4/5/23, 6:08:01 PM,%RH,60.122
4/5/23, 7:08:01 PM,%RH,74.772
4/5/23, 8:08:01 PM,%RH,69.027
4/5/23, 9:08:01 PM,%RH,66.686
4/5/23, 10:08:01 PM,%RH,73.064
4/5/23, 11:08:01 PM,%RH,78.145
4/6/23, 12:08:01 AM,%RH,85.264
4/6/23, 1:08:01 AM,%RH,79.257
4/6/23, 2:08:01 AM,%RH,79.257
4/6/23, 3:08:01 AM,%RH,78.145
4/6/23, 4:08:01 AM,%RH,72.492
4/6/23, 5:08:01 AM,%RH,73.635
4/6/23, 6:08:01 AM,%RH,75.338
4/6/23, 7:08:01 AM,%RH,76.465
4/6/23, 8:08:01 AM,%RH,60.726
4/6/23, 9:08:01 AM,%RH,45.796
4/6/23, 10:08:01 AM,%RH,41.925
4/6/23, 11:08:01 AM,%RH,37.339
4/6/23, 12:08:01 PM,%RH,40.622
4/6/23, 1:08:01 PM,%RH,37.999
4/6/23, 2:08:01 PM,%RH,47.074
4/6/23, 3:08:01 PM,%RH,34.685
4/6/23, 4:08:01 PM,%RH,37.339
4/6/23, 5:08:01 PM,%RH,41.274
4/6/23, 6:08:01 PM,%RH,55.231
4/6/23, 7:08:01 PM,%RH,60.726
4/6/23, 8:08:01 PM,%RH,70.766
4/6/23, 9:08:01 PM,%RH,83.644
4/6/23, 10:08:01 PM,%RH,84.725
4/6/23, 11:08:01 PM,%RH,82.556
4/7/23, 12:08:01 AM,%RH,88.462
4/7/23, 1:08:01 AM,%RH,77.027
4/7/23, 2:08:01 AM,%RH,78.702
4/7/23, 3:08:01 AM,%RH,79.811
4/7/23, 4:08:01 AM,%RH,76.465
4/7/23, 5:08:01 AM,%RH,75.902
4/7/23, 6:08:01 AM,%RH,76.465
4/7/23, 7:08:01 AM,%RH,78.145
4/7/23, 8:08:01 AM,%RH,67.273
4/7/23, 9:08:01 AM,%RH,50.242
4/7/23, 10:08:01 AM,%RH,49.611
4/7/23, 11:08:01 AM,%RH,53.371
4/7/23, 12:08:01 PM,%RH,55.231
4/7/23, 1:08:01 PM,%RH,48.346
4/7/23, 2:08:01 PM,%RH,56.463
4/7/23, 3:08:01 PM,%RH,43.867
4/7/23, 4:08:01 PM,%RH,45.154
4/7/23, 5:08:01 PM,%RH,57.076
4/7/23, 6:08:01 PM,%RH,70.766
4/7/23, 7:08:01 PM,%RH,79.811
4/7/23, 8:08:01 PM,%RH,85.8
4/7/23, 9:08:01 PM,%RH,90.563
4/7/23, 10:08:01 PM,%RH,96.215
4/7/23, 11:08:01 PM,%RH,100
4/8/23, 12:08:01 AM,%RH,96.719
4/8/23, 1:08:01 AM,%RH,96.215
4/8/23, 2:08:01 AM,%RH,99.219
4/8/23, 3:08:01 AM,%RH,100
4/8/23, 4:08:01 AM,%RH,100
4/8/23, 5:08:01 AM,%RH,98.722
4/8/23, 6:08:01 AM,%RH,99.715
4/8/23, 7:08:01 AM,%RH,99.715
4/8/23, 8:08:01 AM,%RH,93.669
4/8/23, 9:08:01 AM,%RH,65.506
4/8/23, 10:08:01 AM,%RH,60.726
4/8/23, 11:08:01 AM,%RH,52.749
4/8/23, 12:08:01 PM,%RH,55.231
4/8/23, 1:08:01 PM,%RH,56.463
4/8/23, 2:08:01 PM,%RH,56.463
4/8/23, 3:08:01 PM,%RH,62.53
4/8/23, 4:08:01 PM,%RH,62.53
4/8/23, 5:08:01 PM,%RH,68.444
4/8/23, 6:08:01 PM,%RH,83.101
4/8/23, 7:08:01 PM,%RH,92.123
4/8/23, 8:08:01 PM,%RH,96.215
4/8/23, 9:08:01 PM,%RH,99.219
4/8/23, 10:08:01 PM,%RH,100
4/8/23, 11:08:01 PM,%RH,100
4/9/23, 12:08:01 AM,%RH,100
4/9/23, 1:08:01 AM,%RH,100
4/9/23, 2:08:01 AM,%RH,100
4/9/23, 3:08:01 AM,%RH,100
4/9/23, 4:08:01 AM,%RH,100
4/9/23, 5:08:01 AM,%RH,100
4/9/23, 6:08:01 AM,%RH,100
4/9/23, 7:08:01 AM,%RH,100
4/9/23, 8:08:01 AM,%RH,97.724
4/9/23, 9:08:01 AM,%RH,69.608
4/9/23, 10:08:01 AM,%RH,54.613
4/9/23, 11:08:01 AM,%RH,48.346
4/9/23, 12:08:01 PM,%RH,42.574
4/9/23, 1:08:01 PM,%RH,44.512
4/9/23, 2:08:01 PM,%RH,51.498
4/9/23, 3:08:01 PM,%RH,51.498
4/9/23, 4:08:01 PM,%RH,51.498
4/9/23, 5:08:01 PM,%RH,66.686
4/9/23, 6:08:01 PM,%RH,79.811
4/9/23, 7:08:01 PM,%RH,89.515
4/9/23, 8:08:01 PM,%RH,97.222
4/9/23, 9:08:01 PM,%RH,99.715
4/9/23, 10:08:01 PM,%RH,100
4/9/23, 11:08:01 PM,%RH,87.402
4/10/23, 12:08:01 AM,%RH,81.463
4/10/23, 1:08:01 AM,%RH,82.01
4/10/23, 2:08:01 AM,%RH,78.702
4/10/23, 3:08:01 AM,%RH,79.811
4/10/23, 4:08:01 AM,%RH,83.644
4/10/23, 5:08:01 AM,%RH,80.363
4/10/23, 6:08:01 AM,%RH,78.145
4/10/23, 7:08:01 AM,%RH,80.363
4/10/23, 8:08:01 AM,%RH,75.338
