1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1600000069B95C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:21:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 20:21:01 PDT 2023
Total Mission Samples:  4892
Total Device Samples:  24372
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 8:21:01 PM,%RH,93.347
4/4/23, 9:21:01 PM,%RH,93.868
4/4/23, 10:21:01 PM,%RH,86.431
4/4/23, 11:21:01 PM,%RH,70.671
4/5/23, 12:21:01 AM,%RH,57.46
4/5/23, 1:21:01 AM,%RH,62.952
4/5/23, 2:21:01 AM,%RH,71.254
4/5/23, 3:21:01 AM,%RH,71.254
4/5/23, 4:21:01 AM,%RH,66.546
4/5/23, 5:21:01 AM,%RH,80.38
4/5/23, 6:21:01 AM,%RH,79.26
4/5/23, 7:21:01 AM,%RH,90.186
4/5/23, 8:21:01 AM,%RH,56.222
4/5/23, 9:21:01 AM,%RH,47.394
4/5/23, 10:21:01 AM,%RH,39.592
4/5/23, 11:21:01 AM,%RH,39.592
4/5/23, 12:21:01 PM,%RH,38.271
4/5/23, 1:21:01 PM,%RH,35.61
4/5/23, 2:21:01 PM,%RH,34.941
4/5/23, 3:21:01 PM,%RH,33.598
4/5/23, 4:21:01 PM,%RH,34.941
4/5/23, 5:21:01 PM,%RH,32.925
4/5/23, 6:21:01 PM,%RH,62.952
4/5/23, 7:21:01 PM,%RH,67.14
4/5/23, 8:21:01 PM,%RH,64.156
4/5/23, 9:21:01 PM,%RH,65.951
4/5/23, 10:21:01 PM,%RH,71.254
4/5/23, 11:21:01 PM,%RH,79.26
4/6/23, 12:21:01 AM,%RH,80.38
4/6/23, 1:21:01 AM,%RH,73.571
4/6/23, 2:21:01 AM,%RH,73.571
4/6/23, 3:21:01 AM,%RH,72.416
4/6/23, 4:21:01 AM,%RH,66.546
4/6/23, 5:21:01 AM,%RH,68.912
4/6/23, 6:21:01 AM,%RH,70.671
4/6/23, 7:21:01 AM,%RH,63.555
4/6/23, 8:21:01 AM,%RH,44.17
4/6/23, 9:21:01 AM,%RH,39.592
4/6/23, 10:21:01 AM,%RH,31.573
4/6/23, 11:21:01 AM,%RH,33.598
4/6/23, 12:21:01 PM,%RH,32.925
4/6/23, 1:21:01 PM,%RH,31.573
4/6/23, 2:21:01 PM,%RH,32.925
4/6/23, 3:21:01 PM,%RH,30.216
4/6/23, 4:21:01 PM,%RH,30.216
4/6/23, 5:21:01 PM,%RH,31.573
4/6/23, 6:21:01 PM,%RH,53.73
4/6/23, 7:21:01 PM,%RH,69.5
4/6/23, 8:21:01 PM,%RH,71.835
4/6/23, 9:21:01 PM,%RH,91.773
4/6/23, 10:21:01 PM,%RH,77.569
4/6/23, 11:21:01 PM,%RH,90.186
4/7/23, 12:21:01 AM,%RH,84.252
4/7/23, 1:21:01 AM,%RH,79.821
4/7/23, 2:21:01 AM,%RH,80.38
4/7/23, 3:21:01 AM,%RH,80.938
4/7/23, 4:21:01 AM,%RH,74.147
4/7/23, 5:21:01 AM,%RH,72.994
4/7/23, 6:21:01 AM,%RH,74.147
4/7/23, 7:21:01 AM,%RH,74.721
4/7/23, 8:21:01 AM,%RH,62.348
4/7/23, 9:21:01 AM,%RH,44.817
4/7/23, 10:21:01 AM,%RH,40.907
4/7/23, 11:21:01 AM,%RH,46.752
4/7/23, 12:21:01 PM,%RH,46.752
4/7/23, 1:21:01 PM,%RH,45.464
4/7/23, 2:21:01 PM,%RH,45.464
4/7/23, 3:21:01 PM,%RH,40.907
4/7/23, 4:21:01 PM,%RH,45.464
4/7/23, 5:21:01 PM,%RH,58.691
4/7/23, 6:21:01 PM,%RH,68.323
4/7/23, 7:21:01 PM,%RH,79.26
4/7/23, 8:21:01 PM,%RH,89.121
4/7/23, 9:21:01 PM,%RH,93.868
4/7/23, 10:21:01 PM,%RH,100
4/7/23, 11:21:01 PM,%RH,100
4/8/23, 12:21:01 AM,%RH,95.939
4/8/23, 1:21:01 AM,%RH,99
4/8/23, 2:21:01 AM,%RH,100
4/8/23, 3:21:01 AM,%RH,100
4/8/23, 4:21:01 AM,%RH,99
4/8/23, 5:21:01 AM,%RH,99
4/8/23, 6:21:01 AM,%RH,100
4/8/23, 7:21:01 AM,%RH,97.477
4/8/23, 8:21:01 AM,%RH,79.26
4/8/23, 9:21:01 AM,%RH,62.348
4/8/23, 10:21:01 AM,%RH,54.355
4/8/23, 11:21:01 AM,%RH,51.214
4/8/23, 12:21:01 PM,%RH,53.73
4/8/23, 1:21:01 PM,%RH,54.355
4/8/23, 2:21:01 PM,%RH,58.076
4/8/23, 3:21:01 PM,%RH,59.304
4/8/23, 4:21:01 PM,%RH,61.742
4/8/23, 5:21:01 PM,%RH,67.732
4/8/23, 6:21:01 PM,%RH,84.799
4/8/23, 7:21:01 PM,%RH,90.186
4/8/23, 8:21:01 PM,%RH,98.494
4/8/23, 9:21:01 PM,%RH,100
4/8/23, 10:21:01 PM,%RH,100
4/8/23, 11:21:01 PM,%RH,100
4/9/23, 12:21:01 AM,%RH,100
4/9/23, 1:21:01 AM,%RH,100
4/9/23, 2:21:01 AM,%RH,100
4/9/23, 3:21:01 AM,%RH,100
4/9/23, 4:21:01 AM,%RH,100
4/9/23, 5:21:01 AM,%RH,100
4/9/23, 6:21:01 AM,%RH,100
4/9/23, 7:21:01 AM,%RH,100
4/9/23, 8:21:01 AM,%RH,79.821
4/9/23, 9:21:01 AM,%RH,61.742
4/9/23, 10:21:01 AM,%RH,44.17
4/9/23, 11:21:01 AM,%RH,40.25
4/9/23, 12:21:01 PM,%RH,34.941
4/9/23, 1:21:01 PM,%RH,40.25
4/9/23, 2:21:01 PM,%RH,34.27
4/9/23, 3:21:01 PM,%RH,43.52
4/9/23, 4:21:01 PM,%RH,49.311
4/9/23, 5:21:01 PM,%RH,57.46
4/9/23, 6:21:01 PM,%RH,80.38
4/9/23, 7:21:01 PM,%RH,88.049
4/9/23, 8:21:01 PM,%RH,99
4/9/23, 9:21:01 PM,%RH,100
4/9/23, 10:21:01 PM,%RH,100
4/9/23, 11:21:01 PM,%RH,84.799
4/10/23, 12:21:01 AM,%RH,79.26
4/10/23, 1:21:01 AM,%RH,73.571
4/10/23, 2:21:01 AM,%RH,73.571
4/10/23, 3:21:01 AM,%RH,76.435
4/10/23, 4:21:01 AM,%RH,71.835
4/10/23, 5:21:01 AM,%RH,71.254
4/10/23, 6:21:01 AM,%RH,70.086
4/10/23, 7:21:01 AM,%RH,66.546
4/10/23, 8:21:01 AM,%RH,55.602
4/10/23, 9:21:01 AM,%RH,47.394
4/10/23, 10:21:01 AM,%RH,44.17
4/10/23, 11:21:01 AM,%RH,43.52
4/10/23, 12:21:01 PM,%RH,43.52
4/10/23, 1:21:01 PM,%RH,46.752
4/10/23, 2:21:01 PM,%RH,48.673
4/10/23, 3:21:01 PM,%RH,49.947
4/10/23, 4:21:01 PM,%RH,53.103
4/10/23, 5:21:01 PM,%RH,59.304
4/10/23, 6:21:01 PM,%RH,78.135
4/10/23, 7:21:01 PM,%RH,88.586
4/10/23, 8:21:01 PM,%RH,94.388
4/10/23, 9:21:01 PM,%RH,99.505
4/10/23, 10:21:01 PM,%RH,99.505
4/10/23, 11:21:01 PM,%RH,88.586
4/11/23, 12:21:01 AM,%RH,88.586
4/11/23, 1:21:01 AM,%RH,89.654
4/11/23, 2:21:01 AM,%RH,85.888
4/11/23, 3:21:01 AM,%RH,93.347
4/11/23, 4:21:01 AM,%RH,93.347
4/11/23, 5:21:01 AM,%RH,97.986
4/11/23, 6:21:01 AM,%RH,100
4/11/23, 7:21:01 AM,%RH,97.477
4/11/23, 8:21:01 AM,%RH,71.254
4/11/23, 9:21:01 AM,%RH,59.304
4/11/23, 10:21:01 AM,%RH,51.214
4/11/23, 11:21:01 AM,%RH,58.076
