1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 910000006CB4DC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:50:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 23:50:01 PDT 2023
Total Mission Samples:  4895
Total Device Samples:  27831
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 11:50:01 PM,%RH,64.117
4/5/23, 12:50:01 AM,%RH,61.716
4/5/23, 1:50:01 AM,%RH,60.507
4/5/23, 2:50:01 AM,%RH,70.613
4/5/23, 3:50:01 AM,%RH,66.497
4/5/23, 4:50:01 AM,%RH,62.318
4/5/23, 5:50:01 AM,%RH,74.664
4/5/23, 6:50:01 AM,%RH,78.086
4/5/23, 7:50:01 AM,%RH,63.518
4/5/23, 8:50:01 AM,%RH,47.504
4/5/23, 9:50:01 AM,%RH,38.516
4/5/23, 10:50:01 AM,%RH,31.94
4/5/23, 11:50:01 AM,%RH,31.275
4/5/23, 12:50:01 PM,%RH,26.585
4/5/23, 1:50:01 PM,%RH,29.941
4/5/23, 2:50:01 PM,%RH,25.91
4/5/23, 3:50:01 PM,%RH,23.876
4/5/23, 4:50:01 PM,%RH,22.514
4/5/23, 5:50:01 PM,%RH,36.557
4/5/23, 6:50:01 PM,%RH,63.518
4/5/23, 7:50:01 PM,%RH,59.294
4/5/23, 8:50:01 PM,%RH,58.075
4/5/23, 9:50:01 PM,%RH,63.518
4/5/23, 10:50:01 PM,%RH,76.951
4/5/23, 11:50:01 PM,%RH,78.652
4/6/23, 12:50:01 AM,%RH,69.443
4/6/23, 1:50:01 AM,%RH,72.936
4/6/23, 2:50:01 AM,%RH,72.357
4/6/23, 3:50:01 AM,%RH,66.497
4/6/23, 4:50:01 AM,%RH,67.679
4/6/23, 5:50:01 AM,%RH,65.904
4/6/23, 6:50:01 AM,%RH,68.857
4/6/23, 7:50:01 AM,%RH,53.147
4/6/23, 8:50:01 AM,%RH,36.557
4/6/23, 9:50:01 AM,%RH,31.275
4/6/23, 10:50:01 AM,%RH,25.91
4/6/23, 11:50:01 AM,%RH,27.259
4/6/23, 12:50:01 PM,%RH,25.91
4/6/23, 1:50:01 PM,%RH,26.585
4/6/23, 2:50:01 PM,%RH,23.876
4/6/23, 3:50:01 PM,%RH,22.514
4/6/23, 4:50:01 PM,%RH,23.196
4/6/23, 5:50:01 PM,%RH,42.399
4/6/23, 6:50:01 PM,%RH,60.507
4/6/23, 7:50:01 PM,%RH,70.029
4/6/23, 8:50:01 PM,%RH,75.238
4/6/23, 9:50:01 PM,%RH,84.789
4/6/23, 10:50:01 PM,%RH,83.685
4/6/23, 11:50:01 PM,%RH,89.693
4/7/23, 12:50:01 AM,%RH,73.513
4/7/23, 1:50:01 AM,%RH,78.652
4/7/23, 2:50:01 AM,%RH,82.576
4/7/23, 3:50:01 AM,%RH,72.357
4/7/23, 4:50:01 AM,%RH,67.089
4/7/23, 5:50:01 AM,%RH,71.195
4/7/23, 6:50:01 AM,%RH,71.777
4/7/23, 7:50:01 AM,%RH,57.463
4/7/23, 8:50:01 AM,%RH,46.871
4/7/23, 9:50:01 AM,%RH,35.901
4/7/23, 10:50:01 AM,%RH,37.211
4/7/23, 11:50:01 AM,%RH,37.864
4/7/23, 12:50:01 PM,%RH,35.901
4/7/23, 1:50:01 PM,%RH,42.399
4/7/23, 2:50:01 PM,%RH,31.275
4/7/23, 3:50:01 PM,%RH,32.603
4/7/23, 4:50:01 PM,%RH,41.11
4/7/23, 5:50:01 PM,%RH,56.237
4/7/23, 6:50:01 PM,%RH,66.497
4/7/23, 7:50:01 PM,%RH,77.519
4/7/23, 8:50:01 PM,%RH,88.613
4/7/23, 9:50:01 PM,%RH,93.964
4/7/23, 10:50:01 PM,%RH,98.151
4/7/23, 11:50:01 PM,%RH,100
4/8/23, 12:50:01 AM,%RH,93.435
4/8/23, 1:50:01 AM,%RH,99.7
4/8/23, 2:50:01 AM,%RH,100
4/8/23, 3:50:01 AM,%RH,98.151
4/8/23, 4:50:01 AM,%RH,98.669
4/8/23, 5:50:01 AM,%RH,96.068
4/8/23, 6:50:01 AM,%RH,99.7
4/8/23, 7:50:01 AM,%RH,86.436
4/8/23, 8:50:01 AM,%RH,65.904
4/8/23, 9:50:01 AM,%RH,55.005
4/8/23, 10:50:01 AM,%RH,47.504
4/8/23, 11:50:01 AM,%RH,46.871
4/8/23, 12:50:01 PM,%RH,42.399
4/8/23, 1:50:01 PM,%RH,46.236
4/8/23, 2:50:01 PM,%RH,51.902
4/8/23, 3:50:01 PM,%RH,47.504
4/8/23, 4:50:01 PM,%RH,56.237
4/8/23, 5:50:01 PM,%RH,75.81
4/8/23, 6:50:01 PM,%RH,82.576
4/8/23, 7:50:01 PM,%RH,88.613
4/8/23, 8:50:01 PM,%RH,96.068
