1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 250000006D981041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:48:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 22:48:01 PDT 2023
Total Mission Samples:  4894
Total Device Samples:  27466
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 10:48:01 PM,%RH,76.333
4/4/23, 11:48:01 PM,%RH,65.748
4/5/23, 12:48:01 AM,%RH,68.037
4/5/23, 1:48:01 AM,%RH,65.171
4/5/23, 2:48:01 AM,%RH,72.518
4/5/23, 3:48:01 AM,%RH,69.169
4/5/23, 4:48:01 AM,%RH,67.468
4/5/23, 5:48:01 AM,%RH,75.253
4/5/23, 6:48:01 AM,%RH,79.525
4/5/23, 7:48:01 AM,%RH,56.269
4/5/23, 8:48:01 AM,%RH,49.453
4/5/23, 9:48:01 AM,%RH,38.439
4/5/23, 10:48:01 AM,%RH,33.735
4/5/23, 11:48:01 AM,%RH,34.413
4/5/23, 12:48:01 PM,%RH,40.425
4/5/23, 1:48:01 PM,%RH,33.735
4/5/23, 2:48:01 PM,%RH,39.765
4/5/23, 3:48:01 PM,%RH,37.773
4/5/23, 4:48:01 PM,%RH,37.105
4/5/23, 5:48:01 PM,%RH,38.439
4/5/23, 6:48:01 PM,%RH,66.897
4/5/23, 7:48:01 PM,%RH,64.592
4/5/23, 8:48:01 PM,%RH,65.171
4/5/23, 9:48:01 PM,%RH,65.748
4/5/23, 10:48:01 PM,%RH,75.253
4/5/23, 11:48:01 PM,%RH,80.572
4/6/23, 12:48:01 AM,%RH,71.41
4/6/23, 1:48:01 AM,%RH,76.87
4/6/23, 2:48:01 AM,%RH,76.87
4/6/23, 3:48:01 AM,%RH,71.965
4/6/23, 4:48:01 AM,%RH,71.41
4/6/23, 5:48:01 AM,%RH,69.169
4/6/23, 6:48:01 AM,%RH,71.41
4/6/23, 7:48:01 AM,%RH,47.552
4/6/23, 8:48:01 AM,%RH,38.439
4/6/23, 9:48:01 AM,%RH,31.688
4/6/23, 10:48:01 AM,%RH,30.314
4/6/23, 11:48:01 AM,%RH,33.735
4/6/23, 12:48:01 PM,%RH,29.623
4/6/23, 1:48:01 PM,%RH,31.688
4/6/23, 2:48:01 PM,%RH,35.763
4/6/23, 3:48:01 PM,%RH,32.372
4/6/23, 4:48:01 PM,%RH,31.688
4/6/23, 5:48:01 PM,%RH,46.914
4/6/23, 6:48:01 PM,%RH,65.171
4/6/23, 7:48:01 PM,%RH,76.333
4/6/23, 8:48:01 PM,%RH,81.612
4/6/23, 9:48:01 PM,%RH,83.667
4/6/23, 10:48:01 PM,%RH,82.644
4/6/23, 11:48:01 PM,%RH,81.612
4/7/23, 12:48:01 AM,%RH,72.518
4/7/23, 1:48:01 AM,%RH,71.965
4/7/23, 2:48:01 AM,%RH,73.618
4/7/23, 3:48:01 AM,%RH,68.037
4/7/23, 4:48:01 AM,%RH,67.468
4/7/23, 5:48:01 AM,%RH,73.618
4/7/23, 6:48:01 AM,%RH,73.618
4/7/23, 7:48:01 AM,%RH,53.201
4/7/23, 8:48:01 AM,%RH,46.914
4/7/23, 9:48:01 AM,%RH,39.765
4/7/23, 10:48:01 AM,%RH,39.765
4/7/23, 11:48:01 AM,%RH,43.045
4/7/23, 12:48:01 PM,%RH,42.393
4/7/23, 1:48:01 PM,%RH,45.633
4/7/23, 2:48:01 PM,%RH,41.739
4/7/23, 3:48:01 PM,%RH,44.343
4/7/23, 4:48:01 PM,%RH,51.96
4/7/23, 5:48:01 PM,%RH,62.254
4/7/23, 6:48:01 PM,%RH,71.41
4/7/23, 7:48:01 PM,%RH,80.572
4/7/23, 8:48:01 PM,%RH,91.564
4/7/23, 9:48:01 PM,%RH,95.319
4/7/23, 10:48:01 PM,%RH,98.945
