1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E10000006CBCF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:45:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 23:45:01 PDT 2023
Total Mission Samples:  4895
Total Device Samples:  27852
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 11:45:01 PM,%RH,68.225
4/5/23, 12:45:01 AM,%RH,61.217
4/5/23, 1:45:01 AM,%RH,57.619
4/5/23, 2:45:01 AM,%RH,71.071
4/5/23, 3:45:01 AM,%RH,65.917
4/5/23, 4:45:01 AM,%RH,67.074
4/5/23, 5:45:01 AM,%RH,73.874
4/5/23, 6:45:01 AM,%RH,76.085
4/5/23, 7:45:01 AM,%RH,72.197
4/5/23, 8:45:01 AM,%RH,50.235
4/5/23, 9:45:01 AM,%RH,43.892
4/5/23, 10:45:01 AM,%RH,36.712
4/5/23, 11:45:01 AM,%RH,32.708
4/5/23, 12:45:01 PM,%RH,33.38
4/5/23, 1:45:01 PM,%RH,31.359
4/5/23, 2:45:01 PM,%RH,30.682
4/5/23, 3:45:01 PM,%RH,30.004
4/5/23, 4:45:01 PM,%RH,29.323
4/5/23, 5:45:01 PM,%RH,31.359
4/5/23, 6:45:01 PM,%RH,61.81
4/5/23, 7:45:01 PM,%RH,62.402
4/5/23, 8:45:01 PM,%RH,61.217
4/5/23, 9:45:01 PM,%RH,65.335
4/5/23, 10:45:01 PM,%RH,76.633
4/5/23, 11:45:01 PM,%RH,79.887
4/6/23, 12:45:01 AM,%RH,71.071
4/6/23, 1:45:01 AM,%RH,78.268
4/6/23, 2:45:01 AM,%RH,77.18
4/6/23, 3:45:01 AM,%RH,67.074
4/6/23, 4:45:01 AM,%RH,68.225
4/6/23, 5:45:01 AM,%RH,67.074
4/6/23, 6:45:01 AM,%RH,69.369
4/6/23, 7:45:01 AM,%RH,60.621
4/6/23, 8:45:01 AM,%RH,41.954
4/6/23, 9:45:01 AM,%RH,34.718
4/6/23, 10:45:01 AM,%RH,27.957
4/6/23, 11:45:01 AM,%RH,27.957
