1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 140000005EB8BC21
Is Mission Active?  true
Mission Start:  Thu Mar 02 14:40:00 PST 2023
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  4893
Total Samples:  4893
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  High Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  29 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
3/2/23, 2:40:00 PM,C,26
3/2/23, 3:40:00 PM,C,23
3/2/23, 4:40:00 PM,C,15
3/2/23, 5:40:00 PM,C,9.5
3/2/23, 6:40:00 PM,C,6
3/2/23, 7:40:00 PM,C,4.5
3/2/23, 8:40:00 PM,C,4
3/2/23, 9:40:00 PM,C,4
3/2/23, 10:40:00 PM,C,4.5
3/2/23, 11:40:00 PM,C,4
3/3/23, 12:40:00 AM,C,4
3/3/23, 1:40:00 AM,C,4
3/3/23, 2:40:00 AM,C,3.5
3/3/23, 3:40:00 AM,C,3.5
3/3/23, 4:40:00 AM,C,3.5
3/3/23, 5:40:00 AM,C,3
3/3/23, 6:40:00 AM,C,2
3/3/23, 7:40:00 AM,C,4
3/3/23, 8:40:00 AM,C,7
3/3/23, 9:40:00 AM,C,17.5
3/3/23, 10:40:00 AM,C,20.5
3/3/23, 11:40:00 AM,C,22.5
3/3/23, 12:40:00 PM,C,23
3/3/23, 1:40:00 PM,C,23
3/3/23, 2:40:00 PM,C,21
3/3/23, 3:40:00 PM,C,18.5
3/3/23, 4:40:00 PM,C,12.5
3/3/23, 5:40:00 PM,C,9
3/3/23, 6:40:00 PM,C,6.5
3/3/23, 7:40:00 PM,C,6
3/3/23, 8:40:00 PM,C,4
3/3/23, 9:40:00 PM,C,4
3/3/23, 10:40:00 PM,C,4
3/3/23, 11:40:00 PM,C,5
3/4/23, 12:40:00 AM,C,4.5
3/4/23, 1:40:00 AM,C,4
3/4/23, 2:40:00 AM,C,3
3/4/23, 3:40:00 AM,C,3.5
3/4/23, 4:40:00 AM,C,2.5
3/4/23, 5:40:00 AM,C,2
3/4/23, 6:40:00 AM,C,2
3/4/23, 7:40:00 AM,C,6
3/4/23, 8:40:00 AM,C,12
3/4/23, 9:40:00 AM,C,10.5
3/4/23, 10:40:00 AM,C,11
3/4/23, 11:40:00 AM,C,11.5
3/4/23, 12:40:00 PM,C,20
3/4/23, 1:40:00 PM,C,13
3/4/23, 2:40:00 PM,C,12.5
3/4/23, 3:40:00 PM,C,13
3/4/23, 4:40:00 PM,C,9.5
3/4/23, 5:40:00 PM,C,8
3/4/23, 6:40:00 PM,C,7.5
3/4/23, 7:40:00 PM,C,7
3/4/23, 8:40:00 PM,C,7
3/4/23, 9:40:00 PM,C,5.5
3/4/23, 10:40:00 PM,C,5
3/4/23, 11:40:00 PM,C,5.5
3/5/23, 12:40:00 AM,C,5
3/5/23, 1:40:00 AM,C,4.5
3/5/23, 2:40:00 AM,C,5.5
3/5/23, 3:40:00 AM,C,5
3/5/23, 4:40:00 AM,C,5
3/5/23, 5:40:00 AM,C,5.5
3/5/23, 6:40:00 AM,C,5.5
3/5/23, 7:40:00 AM,C,5.5
3/5/23, 8:40:00 AM,C,11
3/5/23, 9:40:00 AM,C,12.5
3/5/23, 10:40:00 AM,C,15
3/5/23, 11:40:00 AM,C,10.5
3/5/23, 12:40:00 PM,C,10
3/5/23, 1:40:00 PM,C,10.5
3/5/23, 2:40:00 PM,C,10
3/5/23, 3:40:00 PM,C,9.5
3/5/23, 4:40:00 PM,C,9
3/5/23, 5:40:00 PM,C,7.5
3/5/23, 6:40:00 PM,C,7
3/5/23, 7:40:00 PM,C,6.5
3/5/23, 8:40:00 PM,C,7
3/5/23, 9:40:00 PM,C,7
3/5/23, 10:40:00 PM,C,6.5
3/5/23, 11:40:00 PM,C,5.5
3/6/23, 12:40:00 AM,C,4
3/6/23, 1:40:00 AM,C,4.5
3/6/23, 2:40:00 AM,C,4.5
3/6/23, 3:40:00 AM,C,3.5
3/6/23, 4:40:00 AM,C,2.5
3/6/23, 5:40:00 AM,C,2.5
3/6/23, 6:40:00 AM,C,2.5
3/6/23, 7:40:00 AM,C,11.5
3/6/23, 8:40:00 AM,C,15
3/6/23, 9:40:00 AM,C,17
3/6/23, 10:40:00 AM,C,15
3/6/23, 11:40:00 AM,C,13.5
3/6/23, 12:40:00 PM,C,19
3/6/23, 1:40:00 PM,C,17
3/6/23, 2:40:00 PM,C,17
3/6/23, 3:40:00 PM,C,13
3/6/23, 4:40:00 PM,C,10.5
3/6/23, 5:40:00 PM,C,8.5
3/6/23, 6:40:00 PM,C,8
3/6/23, 7:40:00 PM,C,7
3/6/23, 8:40:00 PM,C,6.5
3/6/23, 9:40:00 PM,C,5
3/6/23, 10:40:00 PM,C,4
3/6/23, 11:40:00 PM,C,3
3/7/23, 12:40:00 AM,C,3
3/7/23, 1:40:00 AM,C,3.5
3/7/23, 2:40:00 AM,C,3
3/7/23, 3:40:00 AM,C,2.5
3/7/23, 4:40:00 AM,C,2
3/7/23, 5:40:00 AM,C,1.5
3/7/23, 6:40:00 AM,C,1.5
