1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000006D9DC141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Tue Apr 04 13:38:01 PDT 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Apr 07 20:38:01 PDT 2023
Total Mission Samples:  4175
Total Device Samples:  27881
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/7/23, 8:38:01 PM,C,10.086
4/7/23, 9:38:01 PM,C,9.083
4/7/23, 10:38:01 PM,C,7.077
4/7/23, 11:38:01 PM,C,7.077
4/8/23, 12:38:01 AM,C,8.581
4/8/23, 1:38:01 AM,C,7.077
4/8/23, 2:38:01 AM,C,6.576
4/8/23, 3:38:01 AM,C,7.579
4/8/23, 4:38:01 AM,C,7.579
4/8/23, 5:38:01 AM,C,8.08
4/8/23, 6:38:01 AM,C,7.077
4/8/23, 7:38:01 AM,C,11.088
4/8/23, 8:38:01 AM,C,19.602
4/8/23, 9:38:01 AM,C,24.105
4/8/23, 10:38:01 AM,C,26.105
4/8/23, 11:38:01 AM,C,26.605
4/8/23, 12:38:01 PM,C,26.605
4/8/23, 1:38:01 PM,C,26.605
4/8/23, 2:38:01 PM,C,24.105
4/8/23, 3:38:01 PM,C,25.105
4/8/23, 4:38:01 PM,C,22.605
4/8/23, 5:38:01 PM,C,19.102
4/8/23, 6:38:01 PM,C,15.597
4/8/23, 7:38:01 PM,C,13.092
4/8/23, 8:38:01 PM,C,11.589
4/8/23, 9:38:01 PM,C,9.584
4/8/23, 10:38:01 PM,C,8.581
4/8/23, 11:38:01 PM,C,8.581
4/9/23, 12:38:01 AM,C,8.08
4/9/23, 1:38:01 AM,C,8.581
4/9/23, 2:38:01 AM,C,8.581
4/9/23, 3:38:01 AM,C,8.08
4/9/23, 4:38:01 AM,C,6.074
4/9/23, 5:38:01 AM,C,8.08
4/9/23, 6:38:01 AM,C,7.077
4/9/23, 7:38:01 AM,C,16.098
4/9/23, 8:38:01 AM,C,21.104
4/9/23, 9:38:01 AM,C,26.605
4/9/23, 10:38:01 AM,C,31.103
4/9/23, 11:38:01 AM,C,33.101
4/9/23, 12:38:01 PM,C,34.1
4/9/23, 1:38:01 PM,C,35.098
4/9/23, 2:38:01 PM,C,34.1
4/9/23, 3:38:01 PM,C,34.1
4/9/23, 4:38:01 PM,C,30.104
4/9/23, 5:38:01 PM,C,25.105
4/9/23, 6:38:01 PM,C,19.102
4/9/23, 7:38:01 PM,C,17.099
4/9/23, 8:38:01 PM,C,12.591
4/9/23, 9:38:01 PM,C,12.09
4/9/23, 10:38:01 PM,C,12.591
4/9/23, 11:38:01 PM,C,14.094
4/10/23, 12:38:01 AM,C,12.09
4/10/23, 1:38:01 AM,C,14.094
4/10/23, 2:38:01 AM,C,14.094
4/10/23, 3:38:01 AM,C,13.593
4/10/23, 4:38:01 AM,C,13.593
4/10/23, 5:38:01 AM,C,13.092
4/10/23, 6:38:01 AM,C,13.092
4/10/23, 7:38:01 AM,C,20.103
4/10/23, 8:38:01 AM,C,25.105
4/10/23, 9:38:01 AM,C,29.105
4/10/23, 10:38:01 AM,C,33.101
4/10/23, 11:38:01 AM,C,34.599
4/10/23, 12:38:01 PM,C,33.6
4/10/23, 1:38:01 PM,C,33.101
4/10/23, 2:38:01 PM,C,33.101
4/10/23, 3:38:01 PM,C,31.103
4/10/23, 4:38:01 PM,C,29.105
4/10/23, 5:38:01 PM,C,24.105
4/10/23, 6:38:01 PM,C,19.602
4/10/23, 7:38:01 PM,C,17.6
4/10/23, 8:38:01 PM,C,15.096
4/10/23, 9:38:01 PM,C,13.092
4/10/23, 10:38:01 PM,C,13.593
4/10/23, 11:38:01 PM,C,14.094
4/11/23, 12:38:01 AM,C,13.593
4/11/23, 1:38:01 AM,C,12.591
4/11/23, 2:38:01 AM,C,12.591
4/11/23, 3:38:01 AM,C,11.088
4/11/23, 4:38:01 AM,C,11.088
4/11/23, 5:38:01 AM,C,8.08
4/11/23, 6:38:01 AM,C,7.579
4/11/23, 7:38:01 AM,C,19.602
