1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3900000069B71741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:16:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Apr 07 20:16:01 PDT 2023
Total Mission Samples:  4964
Total Device Samples:  24714
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/7/23, 8:16:01 PM,C,11.643
4/7/23, 9:16:01 PM,C,10.138
4/7/23, 10:16:01 PM,C,8.633
4/7/23, 11:16:01 PM,C,8.131
4/8/23, 12:16:01 AM,C,9.636
4/8/23, 1:16:01 AM,C,8.633
4/8/23, 2:16:01 AM,C,7.63
4/8/23, 3:16:01 AM,C,8.633
4/8/23, 4:16:01 AM,C,8.633
4/8/23, 5:16:01 AM,C,8.633
4/8/23, 6:16:01 AM,C,7.63
4/8/23, 7:16:01 AM,C,8.633
4/8/23, 8:16:01 AM,C,18.157
4/8/23, 9:16:01 AM,C,25.662
4/8/23, 10:16:01 AM,C,28.661
4/8/23, 11:16:01 AM,C,29.66
4/8/23, 12:16:01 PM,C,30.16
4/8/23, 1:16:01 PM,C,29.66
4/8/23, 2:16:01 PM,C,27.662
4/8/23, 3:16:01 PM,C,25.162
4/8/23, 4:16:01 PM,C,23.162
4/8/23, 5:16:01 PM,C,20.159
4/8/23, 6:16:01 PM,C,16.654
4/8/23, 7:16:01 PM,C,14.65
4/8/23, 8:16:01 PM,C,12.645
4/8/23, 9:16:01 PM,C,11.643
4/8/23, 10:16:01 PM,C,10.64
4/8/23, 11:16:01 PM,C,9.135
4/9/23, 12:16:01 AM,C,8.633
4/9/23, 1:16:01 AM,C,9.135
4/9/23, 2:16:01 AM,C,9.135
4/9/23, 3:16:01 AM,C,9.636
4/9/23, 4:16:01 AM,C,7.63
4/9/23, 5:16:01 AM,C,9.135
4/9/23, 6:16:01 AM,C,8.633
4/9/23, 7:16:01 AM,C,10.138
4/9/23, 8:16:01 AM,C,22.161
4/9/23, 9:16:01 AM,C,27.662
4/9/23, 10:16:01 AM,C,29.66
4/9/23, 11:16:01 AM,C,35.153
4/9/23, 12:16:01 PM,C,34.154
4/9/23, 1:16:01 PM,C,36.15
4/9/23, 2:16:01 PM,C,38.146
4/9/23, 3:16:01 PM,C,35.652
4/9/23, 4:16:01 PM,C,32.657
4/9/23, 5:16:01 PM,C,27.662
4/9/23, 6:16:01 PM,C,21.661
4/9/23, 7:16:01 PM,C,18.657
4/9/23, 8:16:01 PM,C,14.149
4/9/23, 9:16:01 PM,C,13.648
4/9/23, 10:16:01 PM,C,12.645
4/9/23, 11:16:01 PM,C,13.648
4/10/23, 12:16:01 AM,C,12.645
4/10/23, 1:16:01 AM,C,13.648
4/10/23, 2:16:01 AM,C,14.149
4/10/23, 3:16:01 AM,C,12.144
4/10/23, 4:16:01 AM,C,12.645
4/10/23, 5:16:01 AM,C,12.144
4/10/23, 6:16:01 AM,C,12.645
4/10/23, 7:16:01 AM,C,13.648
4/10/23, 8:16:01 AM,C,21.16
4/10/23, 9:16:01 AM,C,29.66
4/10/23, 10:16:01 AM,C,35.153
4/10/23, 11:16:01 AM,C,38.644
4/10/23, 12:16:01 PM,C,39.143
4/10/23, 1:16:01 PM,C,37.148
4/10/23, 2:16:01 PM,C,38.146
4/10/23, 3:16:01 PM,C,32.657
4/10/23, 4:16:01 PM,C,30.659
4/10/23, 5:16:01 PM,C,26.662
4/10/23, 6:16:01 PM,C,21.16
4/10/23, 7:16:01 PM,C,18.657
4/10/23, 8:16:01 PM,C,16.153
4/10/23, 9:16:01 PM,C,14.149
4/10/23, 10:16:01 PM,C,13.147
4/10/23, 11:16:01 PM,C,14.65
4/11/23, 12:16:01 AM,C,14.149
4/11/23, 1:16:01 AM,C,13.147
4/11/23, 2:16:01 AM,C,13.648
4/11/23, 3:16:01 AM,C,11.643
4/11/23, 4:16:01 AM,C,10.64
4/11/23, 5:16:01 AM,C,10.138
4/11/23, 6:16:01 AM,C,9.636
4/11/23, 7:16:01 AM,C,11.643
4/11/23, 8:16:01 AM,C,25.162
4/11/23, 9:16:01 AM,C,30.16
4/11/23, 10:16:01 AM,C,33.655
4/11/23, 11:16:01 AM,C,34.154
4/11/23, 12:16:01 PM,C,31.159
4/11/23, 1:16:01 PM,C,34.154
4/11/23, 2:16:01 PM,C,33.655
4/11/23, 3:16:01 PM,C,29.161
4/11/23, 4:16:01 PM,C,28.161
4/11/23, 5:16:01 PM,C,23.162
4/11/23, 6:16:01 PM,C,20.159
4/11/23, 7:16:01 PM,C,17.155
4/11/23, 8:16:01 PM,C,14.149
4/11/23, 9:16:01 PM,C,13.147
4/11/23, 10:16:01 PM,C,12.144
4/11/23, 11:16:01 PM,C,11.141
4/12/23, 12:16:01 AM,C,10.64
4/12/23, 1:16:01 AM,C,10.138
4/12/23, 2:16:01 AM,C,9.636
4/12/23, 3:16:01 AM,C,10.64
4/12/23, 4:16:01 AM,C,10.64
4/12/23, 5:16:01 AM,C,11.141
4/12/23, 6:16:01 AM,C,10.64
4/12/23, 7:16:01 AM,C,11.643
4/12/23, 8:16:01 AM,C,11.643
4/12/23, 9:16:01 AM,C,13.147
4/12/23, 10:16:01 AM,C,14.65
4/12/23, 11:16:01 AM,C,18.157
4/12/23, 12:16:01 PM,C,22.161
4/12/23, 1:16:01 PM,C,25.662
4/12/23, 2:16:01 PM,C,21.661
4/12/23, 3:16:01 PM,C,18.157
4/12/23, 4:16:01 PM,C,16.153
4/12/23, 5:16:01 PM,C,14.65
4/12/23, 6:16:01 PM,C,13.648
4/12/23, 7:16:01 PM,C,12.144
4/12/23, 8:16:01 PM,C,11.643
4/12/23, 9:16:01 PM,C,11.643
4/12/23, 10:16:01 PM,C,11.643
4/12/23, 11:16:01 PM,C,11.643
4/13/23, 12:16:01 AM,C,11.643
4/13/23, 1:16:01 AM,C,11.643
4/13/23, 2:16:01 AM,C,11.643
4/13/23, 3:16:01 AM,C,11.643
4/13/23, 4:16:01 AM,C,11.643
4/13/23, 5:16:01 AM,C,11.141
4/13/23, 6:16:01 AM,C,11.141
4/13/23, 7:16:01 AM,C,11.141
4/13/23, 8:16:01 AM,C,12.645
4/13/23, 9:16:01 AM,C,24.662
4/13/23, 10:16:01 AM,C,21.16
4/13/23, 11:16:01 AM,C,17.155
4/13/23, 12:16:01 PM,C,18.657
4/13/23, 1:16:01 PM,C,22.161
4/13/23, 2:16:01 PM,C,16.654
4/13/23, 3:16:01 PM,C,14.65
4/13/23, 4:16:01 PM,C,14.149
4/13/23, 5:16:01 PM,C,13.648
4/13/23, 6:16:01 PM,C,12.645
4/13/23, 7:16:01 PM,C,11.643
4/13/23, 8:16:01 PM,C,11.141
4/13/23, 9:16:01 PM,C,10.64
4/13/23, 10:16:01 PM,C,10.138
4/13/23, 11:16:01 PM,C,8.633
4/14/23, 12:16:01 AM,C,8.131
4/14/23, 1:16:01 AM,C,8.131
4/14/23, 2:16:01 AM,C,6.124
4/14/23, 3:16:01 AM,C,5.12
4/14/23, 4:16:01 AM,C,6.626
4/14/23, 5:16:01 AM,C,6.626
4/14/23, 6:16:01 AM,C,5.622
4/14/23, 7:16:01 AM,C,7.63
4/14/23, 8:16:01 AM,C,16.153
4/14/23, 9:16:01 AM,C,24.162
4/14/23, 10:16:01 AM,C,19.659
4/14/23, 11:16:01 AM,C,28.161
4/14/23, 12:16:01 PM,C,27.662
4/14/23, 1:16:01 PM,C,27.162
4/14/23, 2:16:01 PM,C,27.162
4/14/23, 3:16:01 PM,C,24.162
4/14/23, 4:16:01 PM,C,22.661
4/14/23, 5:16:01 PM,C,18.657
4/14/23, 6:16:01 PM,C,14.149
4/14/23, 7:16:01 PM,C,12.144
4/14/23, 8:16:01 PM,C,10.138
4/14/23, 9:16:01 PM,C,8.131
4/14/23, 10:16:01 PM,C,7.128
4/14/23, 11:16:01 PM,C,6.626
4/15/23, 12:16:01 AM,C,6.626
4/15/23, 1:16:01 AM,C,6.626
4/15/23, 2:16:01 AM,C,6.124
4/15/23, 3:16:01 AM,C,6.626
4/15/23, 4:16:01 AM,C,6.626
4/15/23, 5:16:01 AM,C,6.124
4/15/23, 6:16:01 AM,C,6.124
4/15/23, 7:16:01 AM,C,9.636
4/15/23, 8:16:01 AM,C,16.153
4/15/23, 9:16:01 AM,C,22.661
4/15/23, 10:16:01 AM,C,27.162
