1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BE0000006D9AC441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 17:00:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Apr 05 00:00:01 PDT 2023
Total Mission Samples:  4894
Total Device Samples:  59312
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/5/23, 12:00:01 AM,C,7.119
4/5/23, 1:00:01 AM,C,7.119
4/5/23, 2:00:01 AM,C,5.114
4/5/23, 3:00:01 AM,C,3.61
4/5/23, 4:00:01 AM,C,5.616
4/5/23, 5:00:01 AM,C,6.117
4/5/23, 6:00:01 AM,C,4.112
4/5/23, 7:00:01 AM,C,2.608
4/5/23, 8:00:01 AM,C,14.633
4/5/23, 9:00:01 AM,C,16.636
4/5/23, 10:00:01 AM,C,19.138
4/5/23, 11:00:01 AM,C,20.139
4/5/23, 12:00:01 PM,C,21.64
4/5/23, 1:00:01 PM,C,23.14
4/5/23, 2:00:01 PM,C,23.14
4/5/23, 3:00:01 PM,C,23.14
4/5/23, 4:00:01 PM,C,20.639
4/5/23, 5:00:01 PM,C,21.14
4/5/23, 6:00:01 PM,C,15.134
4/5/23, 7:00:01 PM,C,10.627
4/5/23, 8:00:01 PM,C,10.627
4/5/23, 9:00:01 PM,C,11.128
4/5/23, 10:00:01 PM,C,8.623
4/5/23, 11:00:01 PM,C,8.122
4/6/23, 12:00:01 AM,C,5.616
4/6/23, 1:00:01 AM,C,7.621
4/6/23, 2:00:01 AM,C,7.119
4/6/23, 3:00:01 AM,C,6.618
4/6/23, 4:00:01 AM,C,7.119
4/6/23, 5:00:01 AM,C,6.117
4/6/23, 6:00:01 AM,C,5.616
4/6/23, 7:00:01 AM,C,5.616
4/6/23, 8:00:01 AM,C,15.635
4/6/23, 9:00:01 AM,C,19.639
4/6/23, 10:00:01 AM,C,20.639
4/6/23, 11:00:01 AM,C,22.64
4/6/23, 12:00:01 PM,C,24.641
4/6/23, 1:00:01 PM,C,27.14
4/6/23, 2:00:01 PM,C,26.141
4/6/23, 3:00:01 PM,C,26.141
4/6/23, 4:00:01 PM,C,25.641
4/6/23, 5:00:01 PM,C,24.141
4/6/23, 6:00:01 PM,C,16.636
4/6/23, 7:00:01 PM,C,12.63
4/6/23, 8:00:01 PM,C,9.124
4/6/23, 9:00:01 PM,C,6.618
4/6/23, 10:00:01 PM,C,7.621
4/6/23, 11:00:01 PM,C,6.618
4/7/23, 12:00:01 AM,C,6.117
4/7/23, 1:00:01 AM,C,8.122
4/7/23, 2:00:01 AM,C,8.122
4/7/23, 3:00:01 AM,C,8.122
4/7/23, 4:00:01 AM,C,8.623
4/7/23, 5:00:01 AM,C,9.124
4/7/23, 6:00:01 AM,C,8.623
4/7/23, 7:00:01 AM,C,8.122
4/7/23, 8:00:01 AM,C,16.636
4/7/23, 9:00:01 AM,C,21.64
4/7/23, 10:00:01 AM,C,23.64
4/7/23, 11:00:01 AM,C,25.641
4/7/23, 12:00:01 PM,C,23.64
4/7/23, 1:00:01 PM,C,25.141
4/7/23, 2:00:01 PM,C,24.641
4/7/23, 3:00:01 PM,C,24.141
4/7/23, 4:00:01 PM,C,21.64
4/7/23, 5:00:01 PM,C,18.638
4/7/23, 6:00:01 PM,C,15.635
4/7/23, 7:00:01 PM,C,13.131
4/7/23, 8:00:01 PM,C,11.128
4/7/23, 9:00:01 PM,C,8.623
4/7/23, 10:00:01 PM,C,7.621
4/7/23, 11:00:01 PM,C,6.618
4/8/23, 12:00:01 AM,C,7.621
4/8/23, 1:00:01 AM,C,8.623
4/8/23, 2:00:01 AM,C,7.119
4/8/23, 3:00:01 AM,C,6.618
4/8/23, 4:00:01 AM,C,7.621
4/8/23, 5:00:01 AM,C,7.621
4/8/23, 6:00:01 AM,C,7.119
4/8/23, 7:00:01 AM,C,7.621
4/8/23, 8:00:01 AM,C,11.629
4/8/23, 9:00:01 AM,C,19.639
4/8/23, 10:00:01 AM,C,22.14
4/8/23, 11:00:01 AM,C,24.641
