1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2B0000006D986941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:40:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 23:40:01 PDT 2023
Total Mission Samples:  4895
Total Device Samples:  27469
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 11:40:01 PM,C,7.07
4/5/23, 12:40:01 AM,C,7.573
4/5/23, 1:40:01 AM,C,6.568
4/5/23, 2:40:01 AM,C,4.054
4/5/23, 3:40:01 AM,C,6.568
4/5/23, 4:40:01 AM,C,6.065
4/5/23, 5:40:01 AM,C,3.551
4/5/23, 6:40:01 AM,C,3.048
4/5/23, 7:40:01 AM,C,13.095
4/5/23, 8:40:01 AM,C,16.104
4/5/23, 9:40:01 AM,C,18.609
4/5/23, 10:40:01 AM,C,20.612
4/5/23, 11:40:01 AM,C,21.614
4/5/23, 12:40:01 PM,C,22.114
4/5/23, 1:40:01 PM,C,23.615
4/5/23, 2:40:01 PM,C,22.114
4/5/23, 3:40:01 PM,C,22.614
4/5/23, 4:40:01 PM,C,21.113
4/5/23, 5:40:01 PM,C,17.106
4/5/23, 6:40:01 PM,C,12.594
4/5/23, 7:40:01 PM,C,11.088
4/5/23, 8:40:01 PM,C,11.088
4/5/23, 9:40:01 PM,C,9.582
4/5/23, 10:40:01 PM,C,7.07
4/5/23, 11:40:01 PM,C,4.557
4/6/23, 12:40:01 AM,C,6.568
4/6/23, 1:40:01 AM,C,7.573
4/6/23, 2:40:01 AM,C,7.07
4/6/23, 3:40:01 AM,C,7.07
4/6/23, 4:40:01 AM,C,7.07
4/6/23, 5:40:01 AM,C,5.563
4/6/23, 6:40:01 AM,C,5.06
4/6/23, 7:40:01 AM,C,12.594
4/6/23, 8:40:01 AM,C,18.609
4/6/23, 9:40:01 AM,C,22.614
4/6/23, 10:40:01 AM,C,23.115
4/6/23, 11:40:01 AM,C,24.615
4/6/23, 12:40:01 PM,C,26.115
4/6/23, 1:40:01 PM,C,25.615
4/6/23, 2:40:01 PM,C,26.115
4/6/23, 3:40:01 PM,C,24.615
4/6/23, 4:40:01 PM,C,24.115
4/6/23, 5:40:01 PM,C,18.108
4/6/23, 6:40:01 PM,C,14.6
4/6/23, 7:40:01 PM,C,10.586
4/6/23, 8:40:01 PM,C,9.08
4/6/23, 9:40:01 PM,C,5.563
4/6/23, 10:40:01 PM,C,6.568
4/6/23, 11:40:01 PM,C,5.563
4/7/23, 12:40:01 AM,C,7.07
4/7/23, 1:40:01 AM,C,7.573
4/7/23, 2:40:01 AM,C,7.573
4/7/23, 3:40:01 AM,C,7.573
4/7/23, 4:40:01 AM,C,8.577
4/7/23, 5:40:01 AM,C,7.573
4/7/23, 6:40:01 AM,C,9.08
4/7/23, 7:40:01 AM,C,16.104
4/7/23, 8:40:01 AM,C,19.611
4/7/23, 9:40:01 AM,C,22.114
4/7/23, 10:40:01 AM,C,24.115
4/7/23, 11:40:01 AM,C,22.614
4/7/23, 12:40:01 PM,C,23.615
4/7/23, 1:40:01 PM,C,22.114
4/7/23, 2:40:01 PM,C,23.115
4/7/23, 3:40:01 PM,C,22.114
4/7/23, 4:40:01 PM,C,20.112
4/7/23, 5:40:01 PM,C,16.605
4/7/23, 6:40:01 PM,C,14.098
4/7/23, 7:40:01 PM,C,12.092
4/7/23, 8:40:01 PM,C,9.582
4/7/23, 9:40:01 PM,C,8.075
4/7/23, 10:40:01 PM,C,7.07
4/7/23, 11:40:01 PM,C,6.568
4/8/23, 12:40:01 AM,C,8.075
4/8/23, 1:40:01 AM,C,6.568
4/8/23, 2:40:01 AM,C,6.065
4/8/23, 3:40:01 AM,C,7.07
4/8/23, 4:40:01 AM,C,7.07
4/8/23, 5:40:01 AM,C,7.573
4/8/23, 6:40:01 AM,C,6.568
4/8/23, 7:40:01 AM,C,11.59
4/8/23, 8:40:01 AM,C,17.607
4/8/23, 9:40:01 AM,C,21.113
4/8/23, 10:40:01 AM,C,23.115
4/8/23, 11:40:01 AM,C,23.115
4/8/23, 12:40:01 PM,C,23.615
4/8/23, 1:40:01 PM,C,23.615
4/8/23, 2:40:01 PM,C,21.614
4/8/23, 3:40:01 PM,C,23.115
4/8/23, 4:40:01 PM,C,20.612
4/8/23, 5:40:01 PM,C,17.106
4/8/23, 6:40:01 PM,C,15.101
4/8/23, 7:40:01 PM,C,13.095
4/8/23, 8:40:01 PM,C,11.088
4/8/23, 9:40:01 PM,C,9.08
4/8/23, 10:40:01 PM,C,8.577
4/8/23, 11:40:01 PM,C,8.075
4/9/23, 12:40:01 AM,C,8.075
4/9/23, 1:40:01 AM,C,8.075
4/9/23, 2:40:01 AM,C,7.573
4/9/23, 3:40:01 AM,C,7.573
4/9/23, 4:40:01 AM,C,6.065
4/9/23, 5:40:01 AM,C,7.07
4/9/23, 6:40:01 AM,C,6.568
4/9/23, 7:40:01 AM,C,15.101
4/9/23, 8:40:01 AM,C,20.612
4/9/23, 9:40:01 AM,C,25.615
4/9/23, 10:40:01 AM,C,28.614
4/9/23, 11:40:01 AM,C,31.61
4/9/23, 12:40:01 PM,C,32.109
4/9/23, 1:40:01 PM,C,32.608
4/9/23, 2:40:01 PM,C,32.109
4/9/23, 3:40:01 PM,C,31.11
4/9/23, 4:40:01 PM,C,27.614
4/9/23, 5:40:01 PM,C,22.614
4/9/23, 6:40:01 PM,C,18.609
4/9/23, 7:40:01 PM,C,16.104
4/9/23, 8:40:01 PM,C,12.594
4/9/23, 9:40:01 PM,C,12.092
4/9/23, 10:40:01 PM,C,12.594
4/9/23, 11:40:01 PM,C,14.6
4/10/23, 12:40:01 AM,C,11.59
4/10/23, 1:40:01 AM,C,14.6
4/10/23, 2:40:01 AM,C,14.098
4/10/23, 3:40:01 AM,C,14.098
4/10/23, 4:40:01 AM,C,14.098
4/10/23, 5:40:01 AM,C,14.098
4/10/23, 6:40:01 AM,C,13.597
4/10/23, 7:40:01 AM,C,19.611
4/10/23, 8:40:01 AM,C,24.115
4/10/23, 9:40:01 AM,C,28.614
4/10/23, 10:40:01 AM,C,30.611
4/10/23, 11:40:01 AM,C,31.61
4/10/23, 12:40:01 PM,C,31.11
4/10/23, 1:40:01 PM,C,30.112
4/10/23, 2:40:01 PM,C,30.611
4/10/23, 3:40:01 PM,C,29.113
4/10/23, 4:40:01 PM,C,27.115
4/10/23, 5:40:01 PM,C,22.114
4/10/23, 6:40:01 PM,C,19.611
4/10/23, 7:40:01 PM,C,16.605
4/10/23, 8:40:01 PM,C,14.098
4/10/23, 9:40:01 PM,C,12.594
4/10/23, 10:40:01 PM,C,12.594
4/10/23, 11:40:01 PM,C,13.597
4/11/23, 12:40:01 AM,C,12.594
4/11/23, 1:40:01 AM,C,12.594
4/11/23, 2:40:01 AM,C,11.59
4/11/23, 3:40:01 AM,C,10.084
4/11/23, 4:40:01 AM,C,10.586
4/11/23, 5:40:01 AM,C,8.075
4/11/23, 6:40:01 AM,C,8.075
4/11/23, 7:40:01 AM,C,18.609
4/11/23, 8:40:01 AM,C,23.115
