1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1600000069B95C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:21:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 20:21:01 PDT 2023
Total Mission Samples:  4892
Total Device Samples:  24372
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 8:21:01 PM,C,6.592
4/4/23, 9:21:01 PM,C,6.089
4/4/23, 10:21:01 PM,C,5.084
4/4/23, 11:21:01 PM,C,7.094
4/5/23, 12:21:01 AM,C,8.098
4/5/23, 1:21:01 AM,C,7.094
4/5/23, 2:21:01 AM,C,5.084
4/5/23, 3:21:01 AM,C,5.587
4/5/23, 4:21:01 AM,C,6.592
4/5/23, 5:21:01 AM,C,4.079
4/5/23, 6:21:01 AM,C,4.079
4/5/23, 7:21:01 AM,C,5.587
4/5/23, 8:21:01 AM,C,15.624
4/5/23, 9:21:01 AM,C,18.631
4/5/23, 10:21:01 AM,C,20.634
4/5/23, 11:21:01 AM,C,21.635
4/5/23, 12:21:01 PM,C,24.136
4/5/23, 1:21:01 PM,C,24.136
4/5/23, 2:21:01 PM,C,25.637
4/5/23, 3:21:01 PM,C,26.137
4/5/23, 4:21:01 PM,C,23.636
4/5/23, 5:21:01 PM,C,22.135
4/5/23, 6:21:01 PM,C,13.619
4/5/23, 7:21:01 PM,C,11.612
4/5/23, 8:21:01 PM,C,11.612
4/5/23, 9:21:01 PM,C,10.609
4/5/23, 10:21:01 PM,C,9.103
4/5/23, 11:21:01 PM,C,7.094
4/6/23, 12:21:01 AM,C,7.094
4/6/23, 1:21:01 AM,C,7.596
4/6/23, 2:21:01 AM,C,7.596
4/6/23, 3:21:01 AM,C,7.094
4/6/23, 4:21:01 AM,C,7.596
4/6/23, 5:21:01 AM,C,6.592
4/6/23, 6:21:01 AM,C,6.089
4/6/23, 7:21:01 AM,C,9.103
4/6/23, 8:21:01 AM,C,17.128
4/6/23, 9:21:01 AM,C,21.635
4/6/23, 10:21:01 AM,C,23.136
4/6/23, 11:21:01 AM,C,23.636
4/6/23, 12:21:01 PM,C,27.137
4/6/23, 1:21:01 PM,C,27.137
4/6/23, 2:21:01 PM,C,27.137
4/6/23, 3:21:01 PM,C,29.135
4/6/23, 4:21:01 PM,C,28.636
4/6/23, 5:21:01 PM,C,26.137
4/6/23, 6:21:01 PM,C,15.123
4/6/23, 7:21:01 PM,C,12.114
4/6/23, 8:21:01 PM,C,10.107
4/6/23, 9:21:01 PM,C,6.592
4/6/23, 10:21:01 PM,C,9.103
4/6/23, 11:21:01 PM,C,7.094
4/7/23, 12:21:01 AM,C,7.596
4/7/23, 1:21:01 AM,C,8.601
4/7/23, 2:21:01 AM,C,8.601
4/7/23, 3:21:01 AM,C,8.601
4/7/23, 4:21:01 AM,C,9.103
4/7/23, 5:21:01 AM,C,9.605
4/7/23, 6:21:01 AM,C,9.605
4/7/23, 7:21:01 AM,C,10.107
4/7/23, 8:21:01 AM,C,19.131
4/7/23, 9:21:01 AM,C,25.637
4/7/23, 10:21:01 AM,C,26.137
4/7/23, 11:21:01 AM,C,26.137
4/7/23, 12:21:01 PM,C,26.637
4/7/23, 1:21:01 PM,C,27.137
4/7/23, 2:21:01 PM,C,26.637
4/7/23, 3:21:01 PM,C,25.137
4/7/23, 4:21:01 PM,C,23.136
4/7/23, 5:21:01 PM,C,19.131
4/7/23, 6:21:01 PM,C,15.624
4/7/23, 7:21:01 PM,C,12.616
4/7/23, 8:21:01 PM,C,10.609
4/7/23, 9:21:01 PM,C,9.605
4/7/23, 10:21:01 PM,C,8.098
4/7/23, 11:21:01 PM,C,7.596
4/8/23, 12:21:01 AM,C,9.605
4/8/23, 1:21:01 AM,C,8.601
4/8/23, 2:21:01 AM,C,7.094
4/8/23, 3:21:01 AM,C,8.098
4/8/23, 4:21:01 AM,C,8.601
4/8/23, 5:21:01 AM,C,8.098
4/8/23, 6:21:01 AM,C,7.596
4/8/23, 7:21:01 AM,C,9.103
4/8/23, 8:21:01 AM,C,16.125
4/8/23, 9:21:01 AM,C,22.636
4/8/23, 10:21:01 AM,C,25.637
4/8/23, 11:21:01 AM,C,26.637
4/8/23, 12:21:01 PM,C,27.137
4/8/23, 1:21:01 PM,C,26.137
4/8/23, 2:21:01 PM,C,25.637
4/8/23, 3:21:01 PM,C,24.637
4/8/23, 4:21:01 PM,C,23.136
4/8/23, 5:21:01 PM,C,21.635
4/8/23, 6:21:01 PM,C,16.125
4/8/23, 7:21:01 PM,C,14.12
4/8/23, 8:21:01 PM,C,11.612
4/8/23, 9:21:01 PM,C,10.609
4/8/23, 10:21:01 PM,C,9.605
4/8/23, 11:21:01 PM,C,8.601
4/9/23, 12:21:01 AM,C,8.098
4/9/23, 1:21:01 AM,C,8.601
4/9/23, 2:21:01 AM,C,8.098
4/9/23, 3:21:01 AM,C,9.605
4/9/23, 4:21:01 AM,C,7.094
4/9/23, 5:21:01 AM,C,8.601
4/9/23, 6:21:01 AM,C,8.098
4/9/23, 7:21:01 AM,C,11.612
4/9/23, 8:21:01 AM,C,19.131
4/9/23, 9:21:01 AM,C,25.637
4/9/23, 10:21:01 AM,C,29.635
4/9/23, 11:21:01 AM,C,33.13
4/9/23, 12:21:01 PM,C,32.631
4/9/23, 1:21:01 PM,C,35.624
4/9/23, 2:21:01 PM,C,36.622
4/9/23, 3:21:01 PM,C,34.627
4/9/23, 4:21:01 PM,C,33.13
4/9/23, 5:21:01 PM,C,28.636
4/9/23, 6:21:01 PM,C,20.133
4/9/23, 7:21:01 PM,C,17.629
4/9/23, 8:21:01 PM,C,13.619
4/9/23, 9:21:01 PM,C,12.616
4/9/23, 10:21:01 PM,C,12.114
4/9/23, 11:21:01 PM,C,15.123
4/10/23, 12:21:01 AM,C,14.622
4/10/23, 1:21:01 AM,C,15.123
4/10/23, 2:21:01 AM,C,14.622
4/10/23, 3:21:01 AM,C,14.12
4/10/23, 4:21:01 AM,C,14.12
4/10/23, 5:21:01 AM,C,14.12
4/10/23, 6:21:01 AM,C,14.12
4/10/23, 7:21:01 AM,C,16.627
4/10/23, 8:21:01 AM,C,22.135
4/10/23, 9:21:01 AM,C,27.636
4/10/23, 10:21:01 AM,C,33.13
4/10/23, 11:21:01 AM,C,34.627
4/10/23, 12:21:01 PM,C,33.629
4/10/23, 1:21:01 PM,C,32.631
4/10/23, 2:21:01 PM,C,35.126
4/10/23, 3:21:01 PM,C,32.132
4/10/23, 4:21:01 PM,C,31.133
4/10/23, 5:21:01 PM,C,27.636
4/10/23, 6:21:01 PM,C,20.133
4/10/23, 7:21:01 PM,C,17.629
4/10/23, 8:21:01 PM,C,15.624
4/10/23, 9:21:01 PM,C,13.619
4/10/23, 10:21:01 PM,C,14.12
4/10/23, 11:21:01 PM,C,15.123
4/11/23, 12:21:01 AM,C,14.12
4/11/23, 1:21:01 AM,C,13.619
4/11/23, 2:21:01 AM,C,13.619
4/11/23, 3:21:01 AM,C,11.612
4/11/23, 4:21:01 AM,C,11.11
4/11/23, 5:21:01 AM,C,10.107
4/11/23, 6:21:01 AM,C,8.601
4/11/23, 7:21:01 AM,C,13.619
4/11/23, 8:21:01 AM,C,22.135
4/11/23, 9:21:01 AM,C,27.137
4/11/23, 10:21:01 AM,C,30.634
4/11/23, 11:21:01 AM,C,29.635
4/11/23, 12:21:01 PM,C,28.136
4/11/23, 1:21:01 PM,C,30.634
4/11/23, 2:21:01 PM,C,30.134
4/11/23, 3:21:01 PM,C,28.136
4/11/23, 4:21:01 PM,C,27.636
4/11/23, 5:21:01 PM,C,23.636
4/11/23, 6:21:01 PM,C,19.131
4/11/23, 7:21:01 PM,C,16.627
4/11/23, 8:21:01 PM,C,13.117
4/11/23, 9:21:01 PM,C,12.114
4/11/23, 10:21:01 PM,C,11.612
4/11/23, 11:21:01 PM,C,10.609
4/12/23, 12:21:01 AM,C,10.107
4/12/23, 1:21:01 AM,C,9.605
4/12/23, 2:21:01 AM,C,8.601
4/12/23, 3:21:01 AM,C,10.609
4/12/23, 4:21:01 AM,C,10.609
4/12/23, 5:21:01 AM,C,11.11
4/12/23, 6:21:01 AM,C,10.107
