1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 910000006CB4DC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:50:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 23:50:01 PDT 2023
Total Mission Samples:  4895
Total Device Samples:  27831
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 11:50:01 PM,C,7.047
4/5/23, 12:50:01 AM,C,6.545
4/5/23, 1:50:01 AM,C,6.043
4/5/23, 2:50:01 AM,C,4.536
4/5/23, 3:50:01 AM,C,6.043
4/5/23, 4:50:01 AM,C,6.043
4/5/23, 5:50:01 AM,C,4.536
4/5/23, 6:50:01 AM,C,4.034
4/5/23, 7:50:01 AM,C,11.06
4/5/23, 8:50:01 AM,C,16.072
4/5/23, 9:50:01 AM,C,19.577
4/5/23, 10:50:01 AM,C,20.578
4/5/23, 11:50:01 AM,C,23.58
4/5/23, 12:50:01 PM,C,25.58
4/5/23, 1:50:01 PM,C,26.08
4/5/23, 2:50:01 PM,C,25.58
4/5/23, 3:50:01 PM,C,26.08
4/5/23, 4:50:01 PM,C,24.08
4/5/23, 5:50:01 PM,C,16.072
4/5/23, 6:50:01 PM,C,12.063
4/5/23, 7:50:01 PM,C,11.06
4/5/23, 8:50:01 PM,C,11.06
4/5/23, 9:50:01 PM,C,9.555
4/5/23, 10:50:01 PM,C,7.047
4/5/23, 11:50:01 PM,C,6.545
4/6/23, 12:50:01 AM,C,8.05
4/6/23, 1:50:01 AM,C,6.545
4/6/23, 2:50:01 AM,C,6.545
4/6/23, 3:50:01 AM,C,7.047
4/6/23, 4:50:01 AM,C,6.043
4/6/23, 5:50:01 AM,C,6.043
4/6/23, 6:50:01 AM,C,5.541
4/6/23, 7:50:01 AM,C,12.063
4/6/23, 8:50:01 AM,C,18.075
4/6/23, 9:50:01 AM,C,22.079
4/6/23, 10:50:01 AM,C,23.08
4/6/23, 11:50:01 AM,C,26.58
4/6/23, 12:50:01 PM,C,28.579
4/6/23, 1:50:01 PM,C,29.078
4/6/23, 2:50:01 PM,C,30.077
4/6/23, 3:50:01 PM,C,30.077
4/6/23, 4:50:01 PM,C,28.079
4/6/23, 5:50:01 PM,C,17.574
4/6/23, 6:50:01 PM,C,13.065
4/6/23, 7:50:01 PM,C,10.057
4/6/23, 8:50:01 PM,C,8.552
4/6/23, 9:50:01 PM,C,7.548
4/6/23, 10:50:01 PM,C,7.548
4/6/23, 11:50:01 PM,C,6.545
4/7/23, 12:50:01 AM,C,9.054
4/7/23, 1:50:01 AM,C,8.552
4/7/23, 2:50:01 AM,C,8.05
4/7/23, 3:50:01 AM,C,9.054
4/7/23, 4:50:01 AM,C,9.555
4/7/23, 5:50:01 AM,C,9.054
4/7/23, 6:50:01 AM,C,9.054
4/7/23, 7:50:01 AM,C,14.569
4/7/23, 8:50:01 AM,C,22.079
4/7/23, 9:50:01 AM,C,25.08
4/7/23, 10:50:01 AM,C,28.079
4/7/23, 11:50:01 AM,C,27.579
4/7/23, 12:50:01 PM,C,28.079
4/7/23, 1:50:01 PM,C,22.079
4/7/23, 2:50:01 PM,C,27.08
4/7/23, 3:50:01 PM,C,25.58
4/7/23, 4:50:01 PM,C,21.579
4/7/23, 5:50:01 PM,C,17.074
4/7/23, 6:50:01 PM,C,14.569
4/7/23, 7:50:01 PM,C,12.063
4/7/23, 8:50:01 PM,C,10.057
4/7/23, 9:50:01 PM,C,8.552
4/7/23, 10:50:01 PM,C,7.548
4/7/23, 11:50:01 PM,C,7.047
4/8/23, 12:50:01 AM,C,9.054
4/8/23, 1:50:01 AM,C,7.548
4/8/23, 2:50:01 AM,C,6.545
4/8/23, 3:50:01 AM,C,8.05
4/8/23, 4:50:01 AM,C,8.05
4/8/23, 5:50:01 AM,C,8.05
4/8/23, 6:50:01 AM,C,7.548
4/8/23, 7:50:01 AM,C,11.06
4/8/23, 8:50:01 AM,C,19.577
4/8/23, 9:50:01 AM,C,24.08
4/8/23, 10:50:01 AM,C,27.08
4/8/23, 11:50:01 AM,C,27.579
4/8/23, 12:50:01 PM,C,29.078
4/8/23, 1:50:01 PM,C,27.08
4/8/23, 2:50:01 PM,C,25.58
4/8/23, 3:50:01 PM,C,27.579
4/8/23, 4:50:01 PM,C,22.58
4/8/23, 5:50:01 PM,C,17.574
4/8/23, 6:50:01 PM,C,15.07
4/8/23, 7:50:01 PM,C,13.065
4/8/23, 8:50:01 PM,C,11.06
4/8/23, 9:50:01 PM,C,9.054
4/8/23, 10:50:01 PM,C,9.054
4/8/23, 11:50:01 PM,C,8.05
4/9/23, 12:50:01 AM,C,8.05
4/9/23, 1:50:01 AM,C,8.552
4/9/23, 2:50:01 AM,C,9.054
4/9/23, 3:50:01 AM,C,7.548
4/9/23, 4:50:01 AM,C,7.047
4/9/23, 5:50:01 AM,C,7.548
4/9/23, 6:50:01 AM,C,7.548
4/9/23, 7:50:01 AM,C,14.569
4/9/23, 8:50:01 AM,C,20.578
4/9/23, 9:50:01 AM,C,25.58
4/9/23, 10:50:01 AM,C,32.574
4/9/23, 11:50:01 AM,C,33.073
4/9/23, 12:50:01 PM,C,34.57
4/9/23, 1:50:01 PM,C,36.067
4/9/23, 2:50:01 PM,C,37.064
4/9/23, 3:50:01 PM,C,36.566
4/9/23, 4:50:01 PM,C,31.076
4/9/23, 5:50:01 PM,C,22.58
4/9/23, 6:50:01 PM,C,18.576
4/9/23, 7:50:01 PM,C,15.571
4/9/23, 8:50:01 PM,C,13.065
4/9/23, 9:50:01 PM,C,12.063
4/9/23, 10:50:01 PM,C,13.567
4/9/23, 11:50:01 PM,C,15.07
4/10/23, 12:50:01 AM,C,13.567
4/10/23, 1:50:01 AM,C,14.569
4/10/23, 2:50:01 AM,C,13.567
4/10/23, 3:50:01 AM,C,14.068
4/10/23, 4:50:01 AM,C,14.068
4/10/23, 5:50:01 AM,C,14.068
4/10/23, 6:50:01 AM,C,13.567
4/10/23, 7:50:01 AM,C,18.576
4/10/23, 8:50:01 AM,C,25.08
4/10/23, 9:50:01 AM,C,29.078
4/10/23, 10:50:01 AM,C,34.071
4/10/23, 11:50:01 AM,C,36.566
4/10/23, 12:50:01 PM,C,37.064
4/10/23, 1:50:01 PM,C,37.064
4/10/23, 2:50:01 PM,C,34.57
4/10/23, 3:50:01 PM,C,34.071
4/10/23, 4:50:01 PM,C,28.579
4/10/23, 5:50:01 PM,C,22.079
4/10/23, 6:50:01 PM,C,19.077
4/10/23, 7:50:01 PM,C,16.573
4/10/23, 8:50:01 PM,C,15.07
4/10/23, 9:50:01 PM,C,13.567
4/10/23, 10:50:01 PM,C,14.068
4/10/23, 11:50:01 PM,C,14.068
4/11/23, 12:50:01 AM,C,13.567
4/11/23, 1:50:01 AM,C,13.567
4/11/23, 2:50:01 AM,C,12.063
4/11/23, 3:50:01 AM,C,11.561
4/11/23, 4:50:01 AM,C,10.558
4/11/23, 5:50:01 AM,C,8.05
4/11/23, 6:50:01 AM,C,8.552
4/11/23, 7:50:01 AM,C,17.574
4/11/23, 8:50:01 AM,C,24.58
4/11/23, 9:50:01 AM,C,28.579
4/11/23, 10:50:01 AM,C,29.578
4/11/23, 11:50:01 AM,C,30.077
4/11/23, 12:50:01 PM,C,31.076
4/11/23, 1:50:01 PM,C,31.575
4/11/23, 2:50:01 PM,C,31.076
4/11/23, 3:50:01 PM,C,32.075
4/11/23, 4:50:01 PM,C,25.58
4/11/23, 5:50:01 PM,C,21.079
4/11/23, 6:50:01 PM,C,18.075
4/11/23, 7:50:01 PM,C,14.569
4/11/23, 8:50:01 PM,C,12.564
4/11/23, 9:50:01 PM,C,11.561
4/11/23, 10:50:01 PM,C,11.561
4/11/23, 11:50:01 PM,C,10.057
4/12/23, 12:50:01 AM,C,10.057
4/12/23, 1:50:01 AM,C,9.054
4/12/23, 2:50:01 AM,C,10.057
4/12/23, 3:50:01 AM,C,11.06
4/12/23, 4:50:01 AM,C,11.06
4/12/23, 5:50:01 AM,C,10.558
4/12/23, 6:50:01 AM,C,10.558
4/12/23, 7:50:01 AM,C,11.06
4/12/23, 8:50:01 AM,C,12.063
4/12/23, 9:50:01 AM,C,13.567
4/12/23, 10:50:01 AM,C,16.072
4/12/23, 11:50:01 AM,C,20.578
4/12/23, 12:50:01 PM,C,24.58
4/12/23, 1:50:01 PM,C,21.579
4/12/23, 2:50:01 PM,C,19.577
4/12/23, 3:50:01 PM,C,17.074
4/12/23, 4:50:01 PM,C,14.569
4/12/23, 5:50:01 PM,C,14.068
4/12/23, 6:50:01 PM,C,12.564
4/12/23, 7:50:01 PM,C,12.063
4/12/23, 8:50:01 PM,C,11.561
4/12/23, 9:50:01 PM,C,11.561
4/12/23, 10:50:01 PM,C,11.561
4/12/23, 11:50:01 PM,C,11.561
4/13/23, 12:50:01 AM,C,11.561
4/13/23, 1:50:01 AM,C,11.561
4/13/23, 2:50:01 AM,C,11.561
4/13/23, 3:50:01 AM,C,11.561
4/13/23, 4:50:01 AM,C,11.561
4/13/23, 5:50:01 AM,C,11.06
4/13/23, 6:50:01 AM,C,11.06
4/13/23, 7:50:01 AM,C,11.561
4/13/23, 8:50:01 AM,C,20.578
4/13/23, 9:50:01 AM,C,24.08
4/13/23, 10:50:01 AM,C,18.075
4/13/23, 11:50:01 AM,C,16.573
4/13/23, 12:50:01 PM,C,16.573
4/13/23, 1:50:01 PM,C,17.574
4/13/23, 2:50:01 PM,C,15.571
4/13/23, 3:50:01 PM,C,14.068
4/13/23, 4:50:01 PM,C,14.068
4/13/23, 5:50:01 PM,C,13.065
4/13/23, 6:50:01 PM,C,12.063
4/13/23, 7:50:01 PM,C,11.561
4/13/23, 8:50:01 PM,C,10.558
4/13/23, 9:50:01 PM,C,10.057
4/13/23, 10:50:01 PM,C,9.054
4/13/23, 11:50:01 PM,C,8.552
4/14/23, 12:50:01 AM,C,8.552
4/14/23, 1:50:01 AM,C,6.545
4/14/23, 2:50:01 AM,C,5.039
4/14/23, 3:50:01 AM,C,4.034
4/14/23, 4:50:01 AM,C,6.043
4/14/23, 5:50:01 AM,C,4.536
4/14/23, 6:50:01 AM,C,7.047
4/14/23, 7:50:01 AM,C,8.552
4/14/23, 8:50:01 AM,C,17.574
4/14/23, 9:50:01 AM,C,21.579
4/14/23, 10:50:01 AM,C,23.08
4/14/23, 11:50:01 AM,C,26.08
4/14/23, 12:50:01 PM,C,26.58
4/14/23, 1:50:01 PM,C,27.08
4/14/23, 2:50:01 PM,C,25.08
4/14/23, 3:50:01 PM,C,27.08
4/14/23, 4:50:01 PM,C,24.08
4/14/23, 5:50:01 PM,C,15.571
4/14/23, 6:50:01 PM,C,13.065
4/14/23, 7:50:01 PM,C,10.057
4/14/23, 8:50:01 PM,C,8.05
4/14/23, 9:50:01 PM,C,7.047
4/14/23, 10:50:01 PM,C,5.541
4/14/23, 11:50:01 PM,C,5.541
4/15/23, 12:50:01 AM,C,6.545
4/15/23, 1:50:01 AM,C,5.541
4/15/23, 2:50:01 AM,C,6.043
4/15/23, 3:50:01 AM,C,6.545
4/15/23, 4:50:01 AM,C,6.545
4/15/23, 5:50:01 AM,C,6.043
4/15/23, 6:50:01 AM,C,6.043
4/15/23, 7:50:01 AM,C,10.558
4/15/23, 8:50:01 AM,C,18.075
4/15/23, 9:50:01 AM,C,23.58
4/15/23, 10:50:01 AM,C,27.579
4/15/23, 11:50:01 AM,C,30.577
4/15/23, 12:50:01 PM,C,33.572
4/15/23, 1:50:01 PM,C,35.069
4/15/23, 2:50:01 PM,C,34.071
4/15/23, 3:50:01 PM,C,31.575
4/15/23, 4:50:01 PM,C,27.579
