1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 250000006D981041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:48:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 22:48:01 PDT 2023
Total Mission Samples:  4894
Total Device Samples:  27466
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 10:48:01 PM,C,5.625
4/4/23, 11:48:01 PM,C,7.133
4/5/23, 12:48:01 AM,C,6.63
4/5/23, 1:48:01 AM,C,6.128
4/5/23, 2:48:01 AM,C,4.62
4/5/23, 3:48:01 AM,C,5.625
4/5/23, 4:48:01 AM,C,5.625
4/5/23, 5:48:01 AM,C,4.117
4/5/23, 6:48:01 AM,C,4.117
4/5/23, 7:48:01 AM,C,14.662
4/5/23, 8:48:01 AM,C,18.171
4/5/23, 9:48:01 AM,C,21.175
4/5/23, 10:48:01 AM,C,20.675
4/5/23, 11:48:01 AM,C,22.677
4/5/23, 12:48:01 PM,C,23.677
4/5/23, 1:48:01 PM,C,23.177
4/5/23, 2:48:01 PM,C,21.676
4/5/23, 3:48:01 PM,C,21.175
4/5/23, 4:48:01 PM,C,19.173
4/5/23, 5:48:01 PM,C,16.166
4/5/23, 6:48:01 PM,C,11.652
4/5/23, 7:48:01 PM,C,10.649
4/5/23, 8:48:01 PM,C,10.147
4/5/23, 9:48:01 PM,C,9.644
4/5/23, 10:48:01 PM,C,7.635
4/5/23, 11:48:01 PM,C,6.63
4/6/23, 12:48:01 AM,C,8.138
4/6/23, 1:48:01 AM,C,6.63
4/6/23, 2:48:01 AM,C,6.128
4/6/23, 3:48:01 AM,C,6.63
4/6/23, 4:48:01 AM,C,6.128
4/6/23, 5:48:01 AM,C,6.128
4/6/23, 6:48:01 AM,C,5.122
4/6/23, 7:48:01 AM,C,16.166
4/6/23, 8:48:01 AM,C,18.171
4/6/23, 9:48:01 AM,C,23.177
4/6/23, 10:48:01 AM,C,24.178
4/6/23, 11:48:01 AM,C,25.678
4/6/23, 12:48:01 PM,C,27.177
4/6/23, 1:48:01 PM,C,25.678
4/6/23, 2:48:01 PM,C,24.678
4/6/23, 3:48:01 PM,C,23.677
4/6/23, 4:48:01 PM,C,22.176
4/6/23, 5:48:01 PM,C,17.169
4/6/23, 6:48:01 PM,C,12.656
4/6/23, 7:48:01 PM,C,9.142
4/6/23, 8:48:01 PM,C,8.138
4/6/23, 9:48:01 PM,C,7.635
4/6/23, 10:48:01 PM,C,7.133
4/6/23, 11:48:01 PM,C,7.133
4/7/23, 12:48:01 AM,C,9.142
4/7/23, 1:48:01 AM,C,9.142
4/7/23, 2:48:01 AM,C,9.142
4/7/23, 3:48:01 AM,C,9.142
4/7/23, 4:48:01 AM,C,9.644
4/7/23, 5:48:01 AM,C,8.64
4/7/23, 6:48:01 AM,C,9.142
4/7/23, 7:48:01 AM,C,17.67
4/7/23, 8:48:01 AM,C,23.177
4/7/23, 9:48:01 AM,C,26.677
4/7/23, 10:48:01 AM,C,28.177
4/7/23, 11:48:01 AM,C,27.677
4/7/23, 12:48:01 PM,C,27.177
4/7/23, 1:48:01 PM,C,21.175
4/7/23, 2:48:01 PM,C,23.677
4/7/23, 3:48:01 PM,C,22.176
4/7/23, 4:48:01 PM,C,19.673
4/7/23, 5:48:01 PM,C,17.169
4/7/23, 6:48:01 PM,C,14.161
4/7/23, 7:48:01 PM,C,11.652
4/7/23, 8:48:01 PM,C,9.644
4/7/23, 9:48:01 PM,C,8.64
4/7/23, 10:48:01 PM,C,7.635
4/7/23, 11:48:01 PM,C,7.133
4/8/23, 12:48:01 AM,C,8.64
4/8/23, 1:48:01 AM,C,8.138
4/8/23, 2:48:01 AM,C,7.133
4/8/23, 3:48:01 AM,C,8.138
4/8/23, 4:48:01 AM,C,8.138
4/8/23, 5:48:01 AM,C,8.138
4/8/23, 6:48:01 AM,C,8.138
4/8/23, 7:48:01 AM,C,13.158
4/8/23, 8:48:01 AM,C,21.175
4/8/23, 9:48:01 AM,C,26.178
4/8/23, 10:48:01 AM,C,28.676
4/8/23, 11:48:01 AM,C,28.676
4/8/23, 12:48:01 PM,C,28.676
4/8/23, 1:48:01 PM,C,27.677
4/8/23, 2:48:01 PM,C,24.678
4/8/23, 3:48:01 PM,C,23.677
