1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1A00000069B6B141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:23:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 23:23:01 PDT 2023
Total Mission Samples:  4895
Total Device Samples:  24649
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 11:23:01 PM,C,6.556
4/5/23, 12:23:01 AM,C,7.558
4/5/23, 1:23:01 AM,C,6.055
4/5/23, 2:23:01 AM,C,3.549
4/5/23, 3:23:01 AM,C,3.549
4/5/23, 4:23:01 AM,C,5.053
4/5/23, 5:23:01 AM,C,3.048
4/5/23, 6:23:01 AM,C,4.05
4/5/23, 7:23:01 AM,C,8.059
4/5/23, 8:23:01 AM,C,16.072
4/5/23, 9:23:01 AM,C,19.574
4/5/23, 10:23:01 AM,C,24.076
4/5/23, 11:23:01 AM,C,23.576
4/5/23, 12:23:01 PM,C,27.076
4/5/23, 1:23:01 PM,C,26.076
4/5/23, 2:23:01 PM,C,26.076
4/5/23, 3:23:01 PM,C,27.076
4/5/23, 4:23:01 PM,C,23.576
4/5/23, 5:23:01 PM,C,16.572
4/5/23, 6:23:01 PM,C,11.566
4/5/23, 7:23:01 PM,C,11.065
4/5/23, 8:23:01 PM,C,9.562
4/5/23, 9:23:01 PM,C,9.061
4/5/23, 10:23:01 PM,C,8.059
4/5/23, 11:23:01 PM,C,6.055
4/6/23, 12:23:01 AM,C,5.053
4/6/23, 1:23:01 AM,C,5.554
4/6/23, 2:23:01 AM,C,5.554
4/6/23, 3:23:01 AM,C,5.554
4/6/23, 4:23:01 AM,C,6.556
4/6/23, 5:23:01 AM,C,5.554
4/6/23, 6:23:01 AM,C,4.551
4/6/23, 7:23:01 AM,C,10.564
4/6/23, 8:23:01 AM,C,18.073
4/6/23, 9:23:01 AM,C,23.076
4/6/23, 10:23:01 AM,C,23.576
4/6/23, 11:23:01 AM,C,26.076
4/6/23, 12:23:01 PM,C,29.575
4/6/23, 1:23:01 PM,C,29.075
4/6/23, 2:23:01 PM,C,27.576
4/6/23, 3:23:01 PM,C,29.575
4/6/23, 4:23:01 PM,C,28.076
4/6/23, 5:23:01 PM,C,19.574
4/6/23, 6:23:01 PM,C,12.567
4/6/23, 7:23:01 PM,C,9.562
4/6/23, 8:23:01 PM,C,8.059
4/6/23, 9:23:01 PM,C,5.053
4/6/23, 10:23:01 PM,C,7.558
4/6/23, 11:23:01 PM,C,6.556
4/7/23, 12:23:01 AM,C,8.059
4/7/23, 1:23:01 AM,C,8.059
4/7/23, 2:23:01 AM,C,9.061
4/7/23, 3:23:01 AM,C,9.061
4/7/23, 4:23:01 AM,C,9.061
4/7/23, 5:23:01 AM,C,9.061
