1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3C00000069B58641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:29:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 21:29:01 PDT 2023
Total Mission Samples:  4893
Total Device Samples:  24595
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 9:29:01 PM,C,6.095
4/4/23, 10:29:01 PM,C,4.59
4/4/23, 11:29:01 PM,C,6.095
4/5/23, 12:29:01 AM,C,7.098
4/5/23, 1:29:01 AM,C,6.095
4/5/23, 2:29:01 AM,C,4.59
4/5/23, 3:29:01 AM,C,5.092
4/5/23, 4:29:01 AM,C,6.095
4/5/23, 5:29:01 AM,C,3.587
4/5/23, 6:29:01 AM,C,3.587
4/5/23, 7:29:01 AM,C,5.593
4/5/23, 8:29:01 AM,C,12.111
4/5/23, 9:29:01 AM,C,16.118
4/5/23, 10:29:01 AM,C,19.622
4/5/23, 11:29:01 AM,C,23.125
4/5/23, 12:29:01 PM,C,25.625
4/5/23, 1:29:01 PM,C,29.124
4/5/23, 2:29:01 PM,C,29.124
4/5/23, 3:29:01 PM,C,27.625
4/5/23, 4:29:01 PM,C,23.625
4/5/23, 5:29:01 PM,C,16.118
4/5/23, 6:29:01 PM,C,12.612
4/5/23, 7:29:01 PM,C,10.607
4/5/23, 8:29:01 PM,C,10.106
4/5/23, 9:29:01 PM,C,9.605
4/5/23, 10:29:01 PM,C,8.101
4/5/23, 11:29:01 PM,C,7.098
4/6/23, 12:29:01 AM,C,6.597
4/6/23, 1:29:01 AM,C,6.597
4/6/23, 2:29:01 AM,C,6.597
4/6/23, 3:29:01 AM,C,6.597
4/6/23, 4:29:01 AM,C,6.597
4/6/23, 5:29:01 AM,C,6.095
4/6/23, 6:29:01 AM,C,5.092
4/6/23, 7:29:01 AM,C,8.602
4/6/23, 8:29:01 AM,C,13.614
4/6/23, 9:29:01 AM,C,18.121
4/6/23, 10:29:01 AM,C,20.123
4/6/23, 11:29:01 AM,C,24.125
4/6/23, 12:29:01 PM,C,30.123
4/6/23, 1:29:01 PM,C,32.122
4/6/23, 2:29:01 PM,C,32.122
4/6/23, 3:29:01 PM,C,30.623
4/6/23, 4:29:01 PM,C,27.125
4/6/23, 5:29:01 PM,C,18.121
4/6/23, 6:29:01 PM,C,13.614
4/6/23, 7:29:01 PM,C,11.108
4/6/23, 8:29:01 PM,C,9.605
4/6/23, 9:29:01 PM,C,6.597
4/6/23, 10:29:01 PM,C,8.101
4/6/23, 11:29:01 PM,C,7.599
