1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3E0000006D97D541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:11:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 22:11:01 PDT 2023
Total Mission Samples:  4894
Total Device Samples:  27444
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 10:11:01 PM,C,4.089
4/4/23, 11:11:01 PM,C,5.596
4/5/23, 12:11:01 AM,C,7.605
4/5/23, 1:11:01 AM,C,7.605
4/5/23, 2:11:01 AM,C,5.094
4/5/23, 3:11:01 AM,C,4.089
4/5/23, 4:11:01 AM,C,5.094
4/5/23, 5:11:01 AM,C,4.591
4/5/23, 6:11:01 AM,C,3.084
4/5/23, 7:11:01 AM,C,2.581
4/5/23, 8:11:01 AM,C,14.126
4/5/23, 9:11:01 AM,C,17.634
4/5/23, 10:11:01 AM,C,21.139
4/5/23, 11:11:01 AM,C,21.639
4/5/23, 12:11:01 PM,C,25.141
4/5/23, 1:11:01 PM,C,24.641
4/5/23, 2:11:01 PM,C,25.641
4/5/23, 3:11:01 PM,C,25.641
4/5/23, 4:11:01 PM,C,22.139
4/5/23, 5:11:01 PM,C,17.634
4/5/23, 6:11:01 PM,C,13.625
4/5/23, 7:11:01 PM,C,9.11
4/5/23, 8:11:01 PM,C,10.114
4/5/23, 9:11:01 PM,C,10.616
4/5/23, 10:11:01 PM,C,7.605
4/5/23, 11:11:01 PM,C,7.102
4/6/23, 12:11:01 AM,C,6.098
4/6/23, 1:11:01 AM,C,6.6
4/6/23, 2:11:01 AM,C,7.102
4/6/23, 3:11:01 AM,C,6.098
4/6/23, 4:11:01 AM,C,6.6
4/6/23, 5:11:01 AM,C,6.098
4/6/23, 6:11:01 AM,C,5.596
4/6/23, 7:11:01 AM,C,5.596
4/6/23, 8:11:01 AM,C,17.133
4/6/23, 9:11:01 AM,C,20.638
4/6/23, 10:11:01 AM,C,23.14
4/6/23, 11:11:01 AM,C,24.641
4/6/23, 12:11:01 PM,C,27.64
4/6/23, 1:11:01 PM,C,28.14
4/6/23, 2:11:01 PM,C,28.639
4/6/23, 3:11:01 PM,C,28.14
4/6/23, 4:11:01 PM,C,27.64
4/6/23, 5:11:01 PM,C,19.637
4/6/23, 6:11:01 PM,C,14.126
4/6/23, 7:11:01 PM,C,10.616
4/6/23, 8:11:01 PM,C,8.609
4/6/23, 9:11:01 PM,C,6.098
4/6/23, 10:11:01 PM,C,7.102
4/6/23, 11:11:01 PM,C,8.107
4/7/23, 12:11:01 AM,C,7.102
4/7/23, 1:11:01 AM,C,8.609
4/7/23, 2:11:01 AM,C,8.609
4/7/23, 3:11:01 AM,C,8.609
4/7/23, 4:11:01 AM,C,9.11
4/7/23, 5:11:01 AM,C,9.11
4/7/23, 6:11:01 AM,C,9.11
4/7/23, 7:11:01 AM,C,9.612
4/7/23, 8:11:01 AM,C,17.133
4/7/23, 9:11:01 AM,C,23.64
4/7/23, 10:11:01 AM,C,27.14
4/7/23, 11:11:01 AM,C,28.639
4/7/23, 12:11:01 PM,C,27.64
4/7/23, 1:11:01 PM,C,27.64
4/7/23, 2:11:01 PM,C,27.64
4/7/23, 3:11:01 PM,C,26.141
4/7/23, 4:11:01 PM,C,23.64
4/7/23, 5:11:01 PM,C,18.636
4/7/23, 6:11:01 PM,C,15.63
4/7/23, 7:11:01 PM,C,12.622
4/7/23, 8:11:01 PM,C,10.114
4/7/23, 9:11:01 PM,C,8.609
4/7/23, 10:11:01 PM,C,7.605
4/7/23, 11:11:01 PM,C,7.605
4/8/23, 12:11:01 AM,C,9.11
4/8/23, 1:11:01 AM,C,8.609
4/8/23, 2:11:01 AM,C,7.102
4/8/23, 3:11:01 AM,C,7.102
4/8/23, 4:11:01 AM,C,8.107
4/8/23, 5:11:01 AM,C,8.609
4/8/23, 6:11:01 AM,C,7.605
4/8/23, 7:11:01 AM,C,8.609
4/8/23, 8:11:01 AM,C,14.627
4/8/23, 9:11:01 AM,C,21.139
4/8/23, 10:11:01 AM,C,24.641
4/8/23, 11:11:01 AM,C,29.139
4/8/23, 12:11:01 PM,C,28.639
4/8/23, 1:11:01 PM,C,27.64
4/8/23, 2:11:01 PM,C,27.14
4/8/23, 3:11:01 PM,C,25.141
4/8/23, 4:11:01 PM,C,23.64
4/8/23, 5:11:01 PM,C,18.636
4/8/23, 6:11:01 PM,C,16.131
4/8/23, 7:11:01 PM,C,13.625
4/8/23, 8:11:01 PM,C,10.616
4/8/23, 9:11:01 PM,C,10.114
4/8/23, 10:11:01 PM,C,9.612
4/8/23, 11:11:01 PM,C,8.609
4/9/23, 12:11:01 AM,C,8.107
4/9/23, 1:11:01 AM,C,8.107
4/9/23, 2:11:01 AM,C,8.107
4/9/23, 3:11:01 AM,C,9.11
4/9/23, 4:11:01 AM,C,7.102
4/9/23, 5:11:01 AM,C,8.107
