plot,par_plot,par_ambient,soil_moisture,probe_length,date,community
11,1446,1725,9.7,30,2/17/2022,
11,1537,1659,18.2,30,2/17/2022,
11,1025,1711,13.5,30,2/17/2022,
11,1067,1690,12.8,30,2/17/2022,
11,1284,1692,9.8,30,2/17/2022,
12,1503,1742,10.9,30,2/17/2022,
12,1510,1742,7.3,30,2/17/2022,
12,1448,1711,8.9,30,2/17/2022,
12,1386,1711,11.2,30,2/17/2022,
12,1232,1710,12.4,30,2/17/2022,
13,1383,1750,12.1,30,2/17/2022,
13,985,1735,16.9,30,2/17/2022,
13,1152,1702,8.1,30,2/17/2022,
13,1245,1742,12.1,30,2/17/2022,
13,1248,1735,8.4,30,2/17/2022,
14,1580,1744,18,30,2/17/2022,
14,1526,1716,19.2,30,2/17/2022,
14,1428,1741,16.5,30,2/17/2022,
14,1618,1730,18.5,30,2/17/2022,
14,1538,1721,,30,2/17/2022,
15,1286,1722,13.1,30,2/17/2022,
15,1215,1741,8.4,30,2/17/2022,
15,1127,1717,8.5,30,2/17/2022,
15,1110,1711,8.2,30,2/17/2022,
15,1159,1726,5.1,30,2/17/2022,
2401,651,1727,11.4,30,2/17/2022,
2401,892,1725,8.8,30,2/17/2022,
2401,1440,1659,11.3,30,2/17/2022,
2401,1492,1692,9.8,30,2/17/2022,
2401,541,1721,10.1,30,2/17/2022,
2402,1144,1729,11.2,30,2/17/2022,
2402,1420,1721,13.2,30,2/17/2022,
2402,1208,1741,11.5,30,2/17/2022,
2402,1493,1734,7.4,30,2/17/2022,
2402,1220,1748,9.2,30,2/17/2022,
2403,1506,1664,16.6,30,2/17/2022,
2403,1263,1754,12.2,30,2/17/2022,
2403,1376,1745,16.7,30,2/17/2022,
2403,971,1752,11.5,30,2/17/2022,
2403,1452,1678,12.4,30,2/17/2022,
2404,1272,1711,10.5,30,2/17/2022,
2404,1153,1744,18.4,30,2/17/2022,
2404,1444,1741,16.9,30,2/17/2022,
2404,1503,1742,6.8,30,2/17/2022,
2404,1400,1705,9.9,30,2/17/2022,
2405,1421,1730,10.5,30,2/17/2022,
2405,1390,1732,14,30,2/17/2022,
2405,1380,1654,10.3,30,2/17/2022,
2405,897,1716,9.8,30,2/17/2022,
2405,1501,1735,10.1,30,2/17/2022,
2458,1481,1711,13.1,30,2/17/2022,
2458,1523,1731,13.2,30,2/17/2022,
2458,1053,1692,21,30,2/17/2022,
2458,1013,1729,9.5,30,2/17/2022,
2458,1400,1628,10.4,30,2/17/2022,
2459,1159,1741,9.8,30,2/17/2022,
2459,1200,1735,12.5,30,2/17/2022,
2459,1116,1750,18.9,30,2/17/2022,
2459,1460,1741,17.2,30,2/17/2022,
2459,1518,1751,12.4,30,2/17/2022,
2460,1556,1735,19.8,30,2/17/2022,
2460,1505,1750,15.6,30,2/17/2022,
2460,1572,1736,19.3,30,2/17/2022,
2460,1534,1731,16.4,30,2/17/2022,
2460,1494,1735,17.4,30,2/17/2022,
2461,1313,1700,8.8,30,2/17/2022,
2461,1418,1659,18.1,30,2/17/2022,
2461,710,1676,8.8,30,2/17/2022,
2461,1091,1616,13.2,30,2/17/2022,
2461,1573,1697,14.3,30,2/17/2022,
2462,1439,1721,10.5,30,2/17/2022,
2462,1497,1730,10.8,30,2/17/2022,
2462,903,1729,12.1,30,2/17/2022,
2462,1435,1744,14.8,30,2/17/2022,
2462,1337,1684,8.6,30,2/17/2022,
