,,,,,,,,,,
,Sample #,Site #,# of Vesicles,# of Arbuscules,# of Hyphae,Vesicular Colonization,Arbuscular Colonization,Hyphal Colonization,,
,12-6,1,1,0,2,0.20,0.33,0.13,,note: vesicular colonization and arbuscular colonization are both total number of vesicles/arbuscules measured divided by total number of sites. hyphal colonization is the proportion of non-zero hyphal sites.
,,2,0,0,0,,,,,
,,3,0,0,0,,,,,
,,4,0,0,1,,,,,
,,5,0,0,0,,,,,
,,6,0,0,0,,,,,
,,7,0,1,0,,,,,
,,8,0,1,0,,,,,
,,9,0,0,0,,,,,
,,10,0,0,0,,,,,
,,11,1,1,0,,,,,
,,12,0,0,0,,,,,
,,13,1,0,0,,,,,
,,14,0,1,0,,,,,
,,15,0,1,0,,,,,
,12-8,1,0,0,0,0.00,0.27,0.47,,
,,2,0,0,0,,,,,
,,3,0,0,0,,,,,
,,4,0,0,0,,,,,
,,5,0,1,0,,,,,
,,6,0,0,0,,,,,
,,7,0,1,0,,,,,
,,8,0,1,1,,,,,
,,9,0,0,1,,,,,
,,10,0,0,1,,,,,
,,11,0,1,1,,,,,
,,12,0,0,0,,,,,
,,13,0,0,4,,,,,
,,14,0,0,1,,,,,
,,15,0,0,2,,,,,
,14-2,1,0,0,0,0.00,0.00,0.067,,
,,2,0,0,0,,,,,
,,3,0,0,0,,,,,
,,4,0,0,0,,,,,
,,5,0,0,0,,,,,
,,6,0,0,0,,,,,
,,7,0,0,2,,,,,
,,8,0,0,0,,,,,
,,9,0,0,0,,,,,
,,10,0,0,0,,,,,
,,11,0,0,0,,,,,
,,12,0,0,0,,,,,
,,13,0,0,0,,,,,
,,14,0,0,0,,,,,
,,15,0,0,0,,,,,
,2458-7,1,1,0,0,0.067,0.00,0.40,,
,,2,0,0,1,,,,,
,,3,0,0,2,,,,,
,,4,0,0,1,,,,,
,,5,0,0,0,,,,,
,,6,0,0,0,,,,,
,,7,0,0,1,,,,,
,,8,0,0,0,,,,,
,,9,0,0,0,,,,,
,,10,0,0,0,,,,,
,,11,0,0,0,,,,,
,,12,0,0,0,,,,,
,,13,0,0,1,,,,,
,,14,0,0,0,,,,,
,,15,0,0,1,,,,,
,12-1,1,0,0,0,0.067,0.33,0.13,,
,,2,0,1,0,,,,,
,,3,0,0,0,,,,,
,,4,0,0,0,,,,,
,,5,0,1,0,,,,,
,,6,0,0,0,,,,,
,,7,0,0,0,,,,,
,,8,0,1,0,,,,,
,,9,0,0,0,,,,,
,,10,0,1,0,,,,,
,,11,1,0,0,,,,,
,,12,0,0,1,,,,,
,,13,0,1,0,,,,,
,,14,0,0,1,,,,,
,,15,0,0,0,,,,,
,15-1,1,1,1,0,0.20,0.067,0.33,,
,,2,0,0,0,,,,,
,,3,1,0,1,,,,,
,,4,0,0,0,,,,,
,,5,1,0,0,,,,,
,,6,0,0,0,,,,,
,,7,0,0,0,,,,,
,,8,0,0,2,,,,,
,,9,0,0,0,,,,,
,,10,0,0,1,,,,,
,,11,0,0,0,,,,,
,,12,0,0,1,,,,,
,,13,0,0,0,,,,,
,,14,0,0,0,,,,,
,,15,0,0,1,,,,,
,2458-3,1,0,0,2,0.13,0.33,0.40,,
,,2,0,0,0,,,,,
,,3,0,0,0,,,,,
,,4,0,0,0,,,,,
,,5,0,0,2,,,,,
,,6,0,0,0,,,,,
,,7,0,0,1,,,,,
,,8,0,1,0,,,,,
,,9,0,0,0,,,,,
,,10,0,0,0,,,,,
,,11,1,0,0,,,,,
,,12,0,1,1,,,,,
,,13,0,2,0,,,,,
,,14,1,1,1,,,,,
,,15,0,0,2,,,,,
,14-37,1,0,0,2,0.13,0.53,0.80,,
,,2,1,0,2,,,,,
,,3,0,1,1,,,,,
,,4,0,0,1,,,,,
,,5,0,0,2,,,,,
,,6,0,0,0,,,,,
,,7,0,1,4,,,,,
,,8,0,1,0,,,,,
,,9,0,2,0,,,,,
,,10,0,1,2,,,,,
,,11,0,1,2,,,,,
,,12,1,0,2,,,,,
,,13,0,0,2,,,,,
,,14,0,0,3,,,,,
,,15,0,1,2,,,,,
,2459-12,1,0,0,2,0.13,0.067,0.73,,
,,2,0,0,1,,,,,
,,3,1,0,1,,,,,
,,4,1,0,2,,,,,
,,5,0,0,3,,,,,
,,6,0,0,2,,,,,
,,7,0,0,0,,,,,
,,8,0,1,1,,,,,
,,9,0,0,1,,,,,
,,10,0,0,0,,,,,
,,11,0,0,0,,,,,
,,12,0,0,0,,,,,
,,13,0,0,1,,,,,
,,14,0,0,1,,,,,
,,15,0,0,1,,,,,
,2460-11,1,0,0,1,0.13,0.27,0.60,,
,,2,0,0,0,,,,,
,,3,0,0,2,,,,,
,,4,1,0,2,,,,,
,,5,0,1,1,,,,,
,,6,0,0,1,,,,,
,,7,0,1,0,,,,,
,,8,0,0,0,,,,,
,,9,1,0,0,,,,,
,,10,0,0,0,,,,,
,,11,0,0,2,,,,,
,,12,0,0,2,,,,,
,,13,0,1,0,,,,,
,,14,0,0,2,,,,,
,,15,0,1,1,,,,,
,2459-14,1,0,0,0,0.067,0.20,0.60,,
,,2,0,0,4,,,,,
,,3,0,0,2,,,,,
,,4,0,0,0,,,,,
,,5,0,0,2,,,,,
,,6,0,0,4,,,,,
,,7,0,0,1,,,,,
,,8,0,1,1,,,,,
,,9,0,0,0,,,,,
,,10,0,0,0,,,,,
,,11,1,1,1,,,,,
,,12,0,0,1,,,,,
,,13,0,0,2,,,,,
,,14,0,1,0,,,,,
,,15,0,0,0,,,,,
,12-11,1,0,0,0,0.067,0.33,0.60,,
,,2,0,0,2,,,,,
,,3,0,0,1,,,,,
,,4,1,0,4,,,,,
,,5,0,1,2,,,,,
,,6,0,0,3,,,,,
,,7,0,1,0,,,,,
,,8,0,0,2,,,,,
,,9,0,1,0,,,,,
,,10,0,0,1,,,,,
,,11,0,0,2,,,,,
,,12,0,0,1,,,,,
,,13,0,1,0,,,,,
,,14,0,1,0,,,,,
,,15,0,0,1,,,,,
,2408-8,1,0,2,0,0.33,0.47,0.20,,
,,2,2,0,0,,,,,
,,3,0,0,0,,,,,
,,4,1,0,1,,,,,
,,5,0,1,0,,,,,
,,6,0,1,0,,,,,
,,7,0,0,0,,,,,
,,8,0,1,0,,,,,
,,9,0,0,0,,,,,
,,10,0,1,0,,,,,
,,11,0,1,1,,,,,
,,12,1,0,0,,,,,
,,13,0,0,0,,,,,
,,14,0,0,1,,,,,
,,15,1,0,0,,,,,
,2459-9,1,0,0,0,0.20,0.20,0.67,,
,,2,1,0,1,,,,,
,,3,0,0,2,,,,,
,,4,0,0,0,,,,,
,,5,0,1,0,,,,,
,,6,0,0,1,,,,,
,,7,0,0,0,,,,,
,,8,0,0,1,,,,,
,,9,0,0,0,,,,,
,,10,1,0,2,,,,,
,,11,1,0,2,,,,,
,,12,0,0,1,,,,,
,,13,0,1,3,,,,,
,,14,0,1,4,,,,,
,,15,0,0,1,,,,,
,2460-20,1,0,1,0,0.067,0.20,0.067,,
,,2,1,0,0,,,,,
,,3,0,0,0,,,,,
,,4,0,0,0,,,,,
