"Shane Dewees and NONE , University of California Santa Barbara, California, Santa Barbara",,,,,,,,,,,,,,,,,,,,,,,,,
PRS(tm)-probe nutrient supply rates 2023 (in-situ burials).,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 'Total N' is based on addition of NO3--N and NH4+-N.,,,,,,,,,,,,,,,,,,,,,,,,,
"Shipment 6325, Received 2023-05-25, Tracking # UJ 750167651 US",,,,,,,,,,,,,,,,,,,,,,,,,
PRS(tm)-probe supply rate (micro grams/10cm2/burial length),,,,,,,,,,,,,,,,,,,,,,,,,
WAL #,Sample ID,Burial Date,Retrieval Date,# Anion,# Cation,Notes,Total N,NO3-N,NH4-N,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd,,,
Method Detection Limits (mdl):,,,,,,,2,2,2,2,4,4,0.2,0.4,0.2,0.2,0.2,0.2,2,0.2,0.4,0.2,,,
217987,1,2023-04-12,2023-05-03,4,4,,11.46,6.94,4.52,1793.36,216.07,45.61,2.68,1.55,0.38,0.16,0.99,1.04,17.13,0.03,16.76,0.05,,,
217988,2,2023-04-12,2023-05-03,4,4,,7.80,5.68,2.12,1487.12,229.50,43.92,2.24,1.66,0.40,0.09,0.44,0.70,13.92,0.04,15.04,0.02,,,
217989,3,2023-04-12,2023-05-03,4,4,,5.96,4.50,1.46,1761.69,223.72,30.12,4.65,2.18,0.97,0.15,0.63,0.45,22.97,0.03,13.39,0.03,,,
217990,4,2023-04-12,2023-05-03,3,4,,15.35,13.93,1.42,1872.23,269.05,33.43,2.48,1.85,0.60,0.15,0.56,0.77,21.22,0.04,19.67,0.05,,,
217991,5,2023-04-12,2023-05-03,4,4,,22.54,21.86,0.68,1451.64,227.36,25.76,3.07,1.45,0.49,0.16,0.86,0.45,13.59,0.00,10.70,0.03,,,
217992,6,2023-04-12,2023-05-03,4,3,,22.28,21.63,0.65,1466.56,248.56,40.76,1.91,1.04,0.46,0.14,0.64,0.34,11.98,0.08,10.77,0.02,,,
217993,7,2023-04-12,2023-05-03,4,4,,17.48,16.22,1.26,1906.93,291.67,26.60,3.04,1.77,0.48,0.14,0.74,0.48,17.14,0.05,17.95,0.04,,,
217994,8,2023-04-12,2023-05-03,4,4,,12.72,12.36,0.36,1922.65,288.76,38.73,3.93,1.63,0.60,0.12,0.52,0.44,18.01,0.02,12.93,0.03,,,
217995,9,2023-04-12,2023-05-03,4,4,,34.24,33.10,1.14,2039.83,241.48,31.78,4.74,1.85,0.48,0.19,0.52,0.36,19.29,0.01,13.13,0.04,,,
217996,10,2023-04-12,2023-05-03,4,4,,21.72,21.24,0.48,2027.01,223.00,25.04,4.37,1.87,0.66,0.13,0.32,0.44,20.36,0.00,15.20,0.03,,,
217997,11,2023-04-12,2023-05-03,4,4,,24.22,24.08,0.14,1924.55,220.68,30.21,4.32,1.56,0.63,0.13,0.48,0.48,18.81,0.00,13.83,0.03,,,
217998,12,2023-04-12,2023-05-03,4,4,,9.12,8.60,0.52,1594.48,201.06,27.67,2.95,1.48,0.61,0.09,0.43,0.52,17.93,0.02,12.50,0.03,,,
217999,13,2023-04-12,2023-05-03,4,4,,12.86,12.68,0.18,1860.14,236.90,27.56,2.13,1.45,0.49,0.10,0.44,0.44,16.49,0.00,10.27,0.02,,,
