Plot,PAR ambient,PAR plot,% moisture,Date,,,,,,,,,,,,,,,,,,,,,
2405,1665,1067,9.2,9/25/23,,,,,,,,,,,,,,,,,,,,,
2405,1684,1058,9.2,9/25/23,,,,,,,,,,,,,,,,,,,,,
2405,1636,1381,9.1,9/25/23,,,,,,,,,,,,,,,,,,,,,
2405,1632,1039,8.1,9/25/23,,,,,,,,,,,,,,,,,,,,,
2405,1674,1045,8.9,9/25/23,,,,,,,,,,,,,,,,,,,,,
11,1632,1100,9.1,9/25/23,,,,,,,,,,,,,,,,,,,,,
11,1635,1368,11,9/25/23,,,,,,,,,,,,,,,,,,,,,
11,1656,1330,8,9/25/23,,,,,,,,,,,,,,,,,,,,,
11,1710,1298,8,9/25/23,,,,,,,,,,,,,,,,,,,,,
11,1633,947,9.5,9/25/23,,,,,,,,,,,,,,,,,,,,,
12,1611,988,10.3,9/25/23,,,,,,,,,,,,,,,,,,,,,
12,1679,1251,9.1,9/25/23,,,,,,,,,,,,,,,,,,,,,
12,1724,1440,9.1,9/25/23,,,,,,,,,,,,,,,,,,,,,
12,1646,1148,12.9,9/25/23,,,,,,,,,,,,,,,,,,,,,
12,1751,850,11.5,9/25/23,,,,,,,,,,,,,,,,,,,,,
13,1655,1134,8.5,9/25/23,,,,,,,,,,,,,,,,,,,,,
13,1697,979,8.5,9/25/23,,,,,,,,,,,,,,,,,,,,,
13,1668,462,8.8,9/25/23,,,,,,,,,,,,,,,,,,,,,
13,1642,1484,6.8,9/25/23,,,,,,,,,,,,,,,,,,,,,
13,1666,1392,9.2,9/25/23,,,,,,,,,,,,,,,,,,,,,
14,1685,1128,10,9/25/23,,,,,,,,,,,,,,,,,,,,,
14,1651,1435,10,9/25/23,,,,,,,,,,,,,,,,,,,,,
14,1638,340,7.8,9/25/23,,,,,,,,,,,,,,,,,,,,,
14,1640,1250,7,9/25/23,,,,,,,,,,,,,,,,,,,,,
14,1699,1204,11.4,9/25/23,,,,,,,,,,,,,,,,,,,,,
